tag_id,plant,unit,device_type,ip_address,compliance_status,last_audit,audit_findings,remediation_required,policy_violations,certification_status,documentation_complete,change_management,backup_configured
"BOD-001","Detroit Assembly","Body Shop","Assembly Robot","192.168.86.254","Non-Compliant","2025-08-16T07:01:10.371Z","4","false","2","Pending","true","false","true"
"BOD-002","Detroit Assembly","Body Shop","HMI Station","192.168.100.37","Compliant","2025-07-27T02:19:00.623Z","3","true","2","Pending","true","false","false"
"BOD-003","Detroit Assembly","Body Shop","Quality Scanner","192.168.97.246","Unknown","2025-10-07T06:07:46.459Z","2","false","0","Pending","true","false","true"
"BOD-004","Detroit Assembly","Body Shop","Safety PLC","192.168.41.120","Unknown","2025-10-01T10:10:50.844Z","1","false","1","Pending","true","true","true"
"BOD-005","Detroit Assembly","Body Shop","Quality Scanner","192.168.60.220","Under Review","2025-08-02T17:25:02.535Z","4","false","2","Expired","false","true","false"
"BOD-006","Detroit Assembly","Body Shop","Safety PLC","192.168.183.16","Non-Compliant","2025-08-06T10:16:13.696Z","0","false","1","Not Required","false","true","false"
"BOD-007","Detroit Assembly","Body Shop","Safety PLC","192.168.77.207","Unknown","2025-08-21T01:44:53.000Z","4","false","2","Expired","true","true","true"
"BOD-008","Detroit Assembly","Body Shop","Robot Controller","192.168.131.217","Unknown","2025-08-04T21:47:22.111Z","1","false","2","Pending","true","true","true"
"BOD-009","Detroit Assembly","Body Shop","Robot Controller","192.168.16.26","Under Review","2025-09-08T03:07:53.612Z","3","false","2","Pending","false","true","true"
"BOD-010","Detroit Assembly","Body Shop","Quality Scanner","192.168.61.41","Compliant","2025-09-18T10:11:45.586Z","1","false","2","Pending","true","false","true"
"BOD-011","Detroit Assembly","Body Shop","HMI Station","192.168.130.129","Under Review","2025-07-29T06:45:52.882Z","0","true","2","Expired","false","false","true"
"BOD-012","Detroit Assembly","Body Shop","Safety PLC","192.168.26.66","Non-Compliant","2025-08-09T19:59:45.869Z","4","true","2","Pending","false","true","true"
"BOD-013","Detroit Assembly","Body Shop","Safety PLC","192.168.202.210","Compliant","2025-10-03T10:06:14.710Z","4","false","1","Pending","true","false","true"
"BOD-014","Detroit Assembly","Body Shop","Vision System","192.168.5.34","Non-Compliant","2025-10-09T00:31:13.700Z","0","false","2","Not Required","false","true","false"
"BOD-015","Detroit Assembly","Body Shop","Robot Controller","192.168.237.207","Under Review","2025-09-26T18:23:21.785Z","0","true","2","Certified","true","true","true"
"BOD-016","Detroit Assembly","Body Shop","Assembly Robot","192.168.135.227","Unknown","2025-09-04T11:27:53.578Z","2","false","0","Expired","false","true","true"
"BOD-017","Detroit Assembly","Body Shop","HMI Station","192.168.145.79","Under Review","2025-08-02T07:24:03.710Z","2","false","1","Certified","true","true","true"
"BOD-018","Detroit Assembly","Body Shop","Safety PLC","192.168.136.140","Under Review","2025-08-22T18:03:44.444Z","4","false","1","Expired","false","true","false"
"BOD-019","Detroit Assembly","Body Shop","Vision System","192.168.65.235","Non-Compliant","2025-08-24T04:13:30.145Z","0","false","0","Certified","false","true","true"
"BOD-020","Detroit Assembly","Body Shop","Assembly Robot","192.168.71.114","Compliant","2025-10-14T01:11:49.055Z","1","false","1","Certified","true","true","false"
