tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location
"BOD-001","Detroit Assembly","Body Shop","Quality Scanner","Critical","Quality Scanner for Body Shop operations","KUKA","QualityScanner-1745","Body Shop - Station 1"
"BOD-002","Detroit Assembly","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","Rockwell","AssemblyRobot-1221","Body Shop - Station 2"
"BOD-003","Detroit Assembly","Body Shop","Welding Controller","Critical","Welding Controller for Body Shop operations","ABB","WeldingController-6982","Body Shop - Station 3"
"BOD-004","Detroit Assembly","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","ABB","ConveyorController-9816","Body Shop - Station 4"
"BOD-005","Detroit Assembly","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","Fanuc","HMIStation-7060","Body Shop - Station 5"
"BOD-006","Detroit Assembly","Body Shop","Welding Robot","Critical","Welding Robot for Body Shop operations","Fanuc","WeldingRobot-3903","Body Shop - Station 6"
"BOD-007","Detroit Assembly","Body Shop","Paint Robot","Critical","Paint Robot for Body Shop operations","Rockwell","PaintRobot-6144","Body Shop - Station 7"
"BOD-008","Detroit Assembly","Body Shop","Robot Controller","Critical","Robot Controller for Body Shop operations","Rockwell","RobotController-4264","Body Shop - Station 8"
"BOD-009","Detroit Assembly","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","KUKA","HMIStation-9052","Body Shop - Station 9"
"BOD-010","Detroit Assembly","Body Shop","Paint Controller","Critical","Paint Controller for Body Shop operations","Fanuc","PaintController-9757","Body Shop - Station 10"
"BOD-011","Detroit Assembly","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","Fanuc","AssemblyRobot-7906","Body Shop - Station 11"
"BOD-012","Detroit Assembly","Body Shop","Welding Robot","Critical","Welding Robot for Body Shop operations","KUKA","WeldingRobot-9062","Body Shop - Station 12"
"BOD-013","Detroit Assembly","Body Shop","Paint Controller","Critical","Paint Controller for Body Shop operations","KUKA","PaintController-5312","Body Shop - Station 13"
"BOD-014","Detroit Assembly","Body Shop","Robot Controller","Critical","Robot Controller for Body Shop operations","Fanuc","RobotController-4776","Body Shop - Station 14"
