tag_id,plant,unit,device_type,ip_address,mac_address,protocol,vendor,model,firmware_version,last_seen,discovery_method,confidence_level,network_segment,criticality,is_managed,has_security_patches,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"BOD-0001","Toyota Georgetown","Body Shop","Welding Robot","192.168.162.162","51:95:ea:59:15:1f","Modbus TCP","ABB","WeldingRobot-8932","2.0.10","2025-10-19T18:26:55.537Z","Protocol Analysis","95","VLAN-89","Critical","true","true","1","1","2025-10-03T18:59:44.076Z","false","true","None","true","false","13"
"BOD-0006","Toyota Georgetown","Body Shop","Quality Scanner","192.168.228.30","98:2f:ab:b9:d9:07","Modbus TCP","ABB","QualityScanner-2846","5.0.99","2025-10-24T14:32:24.208Z","Network Scan","94","VLAN-70","Low","true","false","1","0","2025-10-09T19:48:46.553Z","true","true","Enterprise","true","false","73"
"BOD-0007","Toyota Georgetown","Body Shop","Safety PLC","192.168.251.215","53:8c:ce:57:90:63","OPC UA","Siemens","SafetyPLC-5759","2.6.41","2025-10-23T00:12:09.908Z","Asset Inventory","92","VLAN-86","High","true","true","3","2","2025-10-04T05:10:29.005Z","false","true","Advanced","false","true","40"
"BOD-0008","Toyota Georgetown","Body Shop","Welding Robot","192.168.102.11","53:0e:66:bf:35:db","Profinet","Honeywell","WeldingRobot-8376","1.6.62","2025-10-19T19:50:31.462Z","Network Scan","91","VLAN-70","Medium","true","false","4","1","2025-10-24T20:00:32.468Z","true","true","Basic","true","true","59"
"BOD-0009","Toyota Georgetown","Body Shop","Safety PLC","192.168.154.35","ca:1f:5b:11:52:3f","DNP3","Siemens","SafetyPLC-6600","3.6.65","2025-10-21T17:27:31.461Z","SNMP","75","VLAN-38","Low","true","false","0","0","2025-09-28T21:21:24.386Z","true","false","Basic","true","true","62"
"BOD-0010","Toyota Georgetown","Body Shop","Conveyor Controller","192.168.230.171","92:2d:64:36:bc:7e","OPC UA","Siemens","ConveyorController-6633","5.2.42","2025-10-18T22:50:57.702Z","Network Scan","80","VLAN-8","Low","false","false","1","2","2025-10-07T21:30:09.776Z","true","false","Enterprise","true","true","77"
"BOD-0013","Toyota Georgetown","Body Shop","SCADA System","192.168.52.247","f1:4e:e3:26:11:24","Modbus TCP","ABB","SCADASystem-9178","5.7.45","2025-10-20T14:27:37.476Z","Protocol Analysis","95","VLAN-38","Medium","true","false","1","0","2025-10-16T19:40:51.911Z","true","true","Enterprise","true","false","4"
"BOD-0015","Toyota Georgetown","Body Shop","Quality Scanner","192.168.38.166","ff:a1:2f:e3:49:90","OPC UA","Honeywell","QualityScanner-3565","4.4.39","2025-10-22T18:36:38.129Z","SNMP","94","VLAN-11","High","true","false","4","0","2025-09-30T11:51:13.340Z","true","true","Basic","true","true","77"
"BOD-0016","Toyota Georgetown","Body Shop","Assembly Robot","192.168.151.227","2c:0a:6f:43:77:23","Profinet","Honeywell","AssemblyRobot-6135","4.7.5","2025-10-19T18:10:34.980Z","Protocol Analysis","97","VLAN-62","Critical","false","true","2","2","2025-10-11T01:32:18.861Z","true","true","None","true","false","3"
"BOD-0017","Toyota Georgetown","Body Shop","Paint Robot","192.168.180.85","75:4c:fd:e1:8a:f9","Profinet","Honeywell","PaintRobot-8903","4.1.21","2025-10-23T12:36:58.296Z","SNMP","94","VLAN-41","Critical","true","true","3","0","2025-10-01T13:00:31.557Z","true","false","None","false","true","47"
"BOD-0018","Toyota Georgetown","Body Shop","Conveyor Controller","192.168.223.177","b7:ae:30:79:ba:a0","OPC UA","Honeywell","ConveyorController-2103","2.8.55","2025-10-23T17:42:37.430Z","Network Scan","98","VLAN-12","Medium","false","false","2","1","2025-10-21T18:11:45.065Z","true","true","Enterprise","false","true","11"
"BOD-0019","Toyota Georgetown","Body Shop","HMI Station","192.168.121.194","49:56:d6:1d:b6:2d","DNP3","Siemens","HMIStation-5249","3.6.31","2025-10-20T19:54:36.920Z","SNMP","78","VLAN-99","High","true","true","0","1","2025-10-12T00:33:08.256Z","false","true","Basic","true","true","19"
"BOD-0021","Toyota Georgetown","Body Shop","Assembly Robot","192.168.11.9","d7:07:90:13:b2:af","Modbus TCP","Emerson","AssemblyRobot-1682","3.3.82","2025-10-19T20:38:04.248Z","Asset Inventory","91","VLAN-79","Low","true","true","4","2","2025-10-14T20:17:56.758Z","true","false","Advanced","false","true","73"
"BOD-0022","Toyota Georgetown","Body Shop","Quality Scanner","192.168.241.33","12:48:46:43:d9:45","Profinet","ABB","QualityScanner-5182","1.8.41","2025-10-21T09:11:59.216Z","Network Scan","76","VLAN-42","Low","true","false","3","0","2025-10-04T21:41:57.597Z","false","false","Advanced","false","true","66"
"PAI-0023","Toyota Georgetown","Paint Shop","Vision System","192.168.90.140","f9:df:43:f8:c5:58","Profinet","Schneider","VisionSystem-5685","2.6.33","2025-10-19T21:03:29.327Z","Network Scan","97","VLAN-31","High","true","true","4","0","2025-10-06T13:37:25.418Z","false","false","Advanced","false","true","51"
"PAI-0024","Toyota Georgetown","Paint Shop","Vision System","192.168.133.167","0e:23:c8:90:ba:8e","Ethernet/IP","Emerson","VisionSystem-5748","3.4.92","2025-10-24T14:01:58.645Z","Asset Inventory","75","VLAN-58","Critical","true","false","3","0","2025-10-20T03:31:49.326Z","false","false","None","true","true","18"
"PAI-0025","Toyota Georgetown","Paint Shop","SCADA System","192.168.16.52","1c:c0:dd:23:f8:4e","Ethernet/IP","Rockwell","SCADASystem-5986","2.3.46","2025-10-20T15:05:15.752Z","Asset Inventory","99","VLAN-22","Critical","true","false","3","2","2025-10-11T15:45:09.117Z","false","false","Enterprise","true","true","78"
"PAI-0026","Toyota Georgetown","Paint Shop","Safety PLC","192.168.115.24","70:19:ad:d0:6a:a5","Modbus TCP","Honeywell","SafetyPLC-3318","5.2.40","2025-10-24T11:19:16.844Z","Network Scan","91","VLAN-53","Low","true","true","3","1","2025-10-23T14:11:54.940Z","false","false","None","true","true","57"
"PAI-0027","Toyota Georgetown","Paint Shop","Vision System","192.168.41.167","67:0f:46:7a:38:09","DNP3","ABB","VisionSystem-7483","3.6.97","2025-10-21T10:13:04.768Z","Protocol Analysis","78","VLAN-22","High","true","false","1","2","2025-09-30T06:22:57.898Z","false","true","Basic","false","true","78"
"PAI-0028","Toyota Georgetown","Paint Shop","Quality Scanner","192.168.171.213","37:d3:f8:21:b0:99","Profinet","Honeywell","QualityScanner-2065","5.3.23","2025-10-22T21:03:51.132Z","Asset Inventory","92","VLAN-79","Low","true","false","4","2","2025-10-22T06:59:57.760Z","false","true","Basic","true","true","83"
"PAI-0030","Toyota Georgetown","Paint Shop","Vision System","192.168.146.60","2f:8e:a9:01:43:31","OPC UA","Rockwell","VisionSystem-9752","1.1.16","2025-10-18T23:26:58.163Z","SNMP","86","VLAN-3","High","true","true","2","1","2025-10-19T13:21:54.729Z","true","false","Enterprise","false","true","62"
"PAI-0031","Toyota Georgetown","Paint Shop","Safety PLC","192.168.148.70","74:5d:b6:35:2c:45","Ethernet/IP","Siemens","SafetyPLC-4256","4.4.33","2025-10-18T20:56:49.176Z","Network Scan","75","VLAN-10","Low","true","true","2","0","2025-09-27T19:40:02.425Z","true","false","Basic","true","true","69"
"PAI-0032","Toyota Georgetown","Paint Shop","Vision System","192.168.23.195","14:7b:d8:3f:c4:8c","OPC UA","Rockwell","VisionSystem-5282","4.1.72","2025-10-18T08:28:46.338Z","SNMP","95","VLAN-63","High","true","false","3","1","2025-10-21T11:32:26.544Z","true","false","Enterprise","false","false","24"
"PAI-0034","Toyota Georgetown","Paint Shop","Paint Robot","192.168.227.128","99:d1:89:f3:87:99","OPC UA","Honeywell","PaintRobot-7975","2.1.92","2025-10-22T18:21:09.928Z","Network Scan","74","VLAN-92","High","false","true","2","0","2025-09-28T21:02:05.829Z","true","false","Enterprise","false","true","47"
"PAI-0035","Toyota Georgetown","Paint Shop","Robot Controller","192.168.89.122","6f:29:b2:b6:86:68","Ethernet/IP","Emerson","RobotController-1409","5.1.96","2025-10-19T09:54:35.969Z","SNMP","87","VLAN-26","Critical","true","true","4","1","2025-10-11T04:37:12.225Z","true","true","Basic","true","false","56"
"PAI-0037","Toyota Georgetown","Paint Shop","Conveyor Controller","192.168.57.173","e3:16:db:57:65:47","Profinet","Emerson","ConveyorController-3291","1.0.31","2025-10-19T18:30:37.293Z","Network Scan","96","VLAN-35","Medium","false","true","1","2","2025-10-07T11:48:35.681Z","false","false","Enterprise","false","false","80"
"PAI-0038","Toyota Georgetown","Paint Shop","HMI Station","192.168.143.44","7a:09:7b:aa:b1:e6","Modbus TCP","Rockwell","HMIStation-1882","2.1.60","2025-10-22T23:52:46.649Z","Asset Inventory","79","VLAN-23","High","false","true","0","1","2025-10-10T22:00:52.419Z","true","true","Enterprise","true","true","60"
"PAI-0039","Toyota Georgetown","Paint Shop","SCADA System","192.168.232.156","3c:4b:7c:62:c0:78","Ethernet/IP","Schneider","SCADASystem-9580","3.8.4","2025-10-22T07:41:23.703Z","Network Scan","79","VLAN-73","Critical","false","true","3","1","2025-09-26T17:08:12.105Z","false","true","Enterprise","false","true","24"
"PAI-0040","Toyota Georgetown","Paint Shop","Welding Robot","192.168.175.33","66:99:c4:cf:a0:b2","Modbus TCP","Emerson","WeldingRobot-8210","1.0.61","2025-10-23T21:56:10.401Z","Asset Inventory","99","VLAN-38","Low","true","true","4","1","2025-10-20T17:20:08.085Z","false","false","None","true","true","51"
"PAI-0041","Toyota Georgetown","Paint Shop","Paint Robot","192.168.229.224","90:5c:ef:33:b8:13","Ethernet/IP","Schneider","PaintRobot-4211","4.0.3","2025-10-21T06:40:15.697Z","SNMP","89","VLAN-28","High","true","true","1","0","2025-10-03T08:32:10.372Z","true","false","Enterprise","false","true","38"
"PAI-0042","Toyota Georgetown","Paint Shop","HMI Station","192.168.41.182","46:ee:54:23:a2:33","OPC UA","Schneider","HMIStation-4066","2.0.44","2025-10-24T18:46:59.881Z","SNMP","86","VLAN-4","Low","true","true","4","0","2025-10-01T16:48:15.797Z","true","false","Basic","true","true","91"
"PAI-0043","Toyota Georgetown","Paint Shop","Paint Robot","192.168.45.152","9e:fd:c5:b9:a5:d8","OPC UA","ABB","PaintRobot-4161","3.8.63","2025-10-22T11:08:15.721Z","SNMP","73","VLAN-63","Critical","true","true","4","2","2025-10-19T01:42:11.804Z","false","false","None","false","true","6"
"PAI-0044","Toyota Georgetown","Paint Shop","Robot Controller","192.168.79.157","1b:9a:e8:34:38:09","Modbus TCP","Siemens","RobotController-2534","4.5.13","2025-10-22T18:05:53.516Z","Network Scan","88","VLAN-2","Medium","true","true","2","0","2025-10-03T19:56:58.771Z","true","true","Enterprise","true","true","99"
"PAI-0046","Toyota Georgetown","Paint Shop","Assembly Robot","192.168.78.72","16:17:ca:7a:61:0d","Profinet","Siemens","AssemblyRobot-5317","2.5.0","2025-10-22T01:46:11.427Z","Protocol Analysis","84","VLAN-95","Low","true","true","0","0","2025-10-22T19:54:22.254Z","false","true","None","true","false","27"
"PAI-0048","Toyota Georgetown","Paint Shop","Conveyor Controller","192.168.185.68","04:6e:e0:51:e3:d3","DNP3","ABB","ConveyorController-6204","5.6.66","2025-10-23T18:47:48.465Z","Protocol Analysis","87","VLAN-21","Critical","true","true","3","0","2025-10-22T23:14:24.533Z","true","false","Advanced","true","true","52"
