tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,measurement_accuracy,calibration_date,next_calibration,iatf16949_compliant,measurement_type
"QC-BOD-001","Toyota Georgetown","Body Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Body Shop quality control","Cognex","CoordinateMeasuringMachine-9298","Body Shop - Quality Station 1","0.019mm","2025-08-09","2025-11-17","Yes","Force"
"QC-BOD-002","Toyota Georgetown","Body Shop","Calibration System","High","Calibration System for Body Shop quality control","Zeiss","CalibrationSystem-1041","Body Shop - Quality Station 2","0.092mm","2025-07-27","2026-01-20","Yes","Color"
"QC-BOD-003","Toyota Georgetown","Body Shop","Test Fixture","High","Test Fixture for Body Shop quality control","Mitutoyo","TestFixture-3276","Body Shop - Quality Station 3","0.043mm","2025-09-08","2025-11-03","Yes","Force"
"QC-BOD-004","Toyota Georgetown","Body Shop","Torque Wrench","High","Torque Wrench for Body Shop quality control","Cognex","TorqueWrench-3853","Body Shop - Quality Station 4","0.101mm","2025-08-31","2025-11-08","Yes","Surface Finish"
"QC-BOD-005","Toyota Georgetown","Body Shop","Torque Wrench","High","Torque Wrench for Body Shop quality control","Keyence","TorqueWrench-1519","Body Shop - Quality Station 5","0.047mm","2025-10-02","2026-01-02","Yes","Color"
"QC-BOD-006","Toyota Georgetown","Body Shop","Force Gauge","High","Force Gauge for Body Shop quality control","Hexagon","ForceGauge-6503","Body Shop - Quality Station 6","0.028mm","2025-09-05","2025-12-19","Yes","Surface Finish"
"QC-BOD-007","Toyota Georgetown","Body Shop","Vision System","High","Vision System for Body Shop quality control","Cognex","VisionSystem-9977","Body Shop - Quality Station 7","0.068mm","2025-09-12","2026-01-17","Yes","Dimensional"
"QC-BOD-008","Toyota Georgetown","Body Shop","Test Fixture","High","Test Fixture for Body Shop quality control","Zeiss","TestFixture-5915","Body Shop - Quality Station 8","0.024mm","2025-10-08","2025-12-29","Yes","Surface Finish"
"QC-BOD-009","Toyota Georgetown","Body Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Body Shop quality control","Zeiss","CoordinateMeasuringMachine-6910","Body Shop - Quality Station 9","0.036mm","2025-09-11","2025-10-29","No","Color"
"QC-BOD-010","Toyota Georgetown","Body Shop","Vision System","High","Vision System for Body Shop quality control","Mitutoyo","VisionSystem-2247","Body Shop - Quality Station 10","0.077mm","2025-10-05","2026-01-11","No","Color"
