tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,robot_controller,safety_system,programming_language,payload_capacity,reach,safety_rated,iso26262_level
"ROB-BOD-001","Toyota Georgetown","Body Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Body Shop operations","Fanuc","QualityInspectionRobot-2576","Body Shop - Robot Station 1","RC-BOD-1","Safety PLC","Python","50kg","1820mm","Yes","ASIL-C"
"ROB-BOD-002","Toyota Georgetown","Body Shop","Paint Robot","Critical","Paint Robot for Body Shop operations","Fanuc","PaintRobot-4382","Body Shop - Robot Station 2","RC-BOD-2","Safety PLC","Python","44kg","1416mm","Yes","ASIL-B"
"ROB-BOD-003","Toyota Georgetown","Body Shop","Welding Robot","Critical","Welding Robot for Body Shop operations","Fanuc","WeldingRobot-6368","Body Shop - Robot Station 3","RC-BOD-3","Safety PLC","RAPID","14kg","1472mm","Yes","ASIL-B"
"ROB-BOD-004","Toyota Georgetown","Body Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Body Shop operations","ABB","QualityInspectionRobot-1870","Body Shop - Robot Station 4","RC-BOD-4","Safety PLC","Python","34kg","2301mm","No","ASIL-C"
"ROB-BOD-005","Toyota Georgetown","Body Shop","Paint Robot","Critical","Paint Robot for Body Shop operations","ABB","PaintRobot-3646","Body Shop - Robot Station 5","RC-BOD-5","Safety PLC","KAREL","41kg","2037mm","Yes","ASIL-D"
"ROB-BOD-006","Toyota Georgetown","Body Shop","Welding Robot","Critical","Welding Robot for Body Shop operations","KUKA","WeldingRobot-4107","Body Shop - Robot Station 6","RC-BOD-6","Safety PLC","RAPID","15kg","2113mm","Yes","ASIL-D"
"ROB-PAI-001","Toyota Georgetown","Paint Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Paint Shop operations","Kawasaki","QualityInspectionRobot-4116","Paint Shop - Robot Station 1","RC-PAI-1","Safety PLC","KRL","47kg","1817mm","Yes","ASIL-D"
"ROB-PAI-002","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","KUKA","AssemblyRobot-6386","Paint Shop - Robot Station 2","RC-PAI-2","Safety PLC","RAPID","10kg","2915mm","Yes","ASIL-B"
"ROB-PAI-003","Toyota Georgetown","Paint Shop","Material Handling Robot","Critical","Material Handling Robot for Paint Shop operations","Fanuc","MaterialHandlingRobot-9328","Paint Shop - Robot Station 3","RC-PAI-3","Safety PLC","KRL","53kg","1468mm","Yes","ASIL-B"
"ROB-PAI-004","Toyota Georgetown","Paint Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Paint Shop operations","Fanuc","QualityInspectionRobot-5338","Paint Shop - Robot Station 4","RC-PAI-4","Safety PLC","RAPID","56kg","2306mm","Yes","ASIL-D"
"ROB-PAI-005","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","ABB","AssemblyRobot-2843","Paint Shop - Robot Station 5","RC-PAI-5","Safety PLC","Python","42kg","2394mm","Yes","ASIL-B"
"ROB-PAI-006","Toyota Georgetown","Paint Shop","Paint Robot","Critical","Paint Robot for Paint Shop operations","KUKA","PaintRobot-8537","Paint Shop - Robot Station 6","RC-PAI-6","Safety PLC","RAPID","35kg","1110mm","No","ASIL-B"
"ROB-PAI-007","Toyota Georgetown","Paint Shop","Material Handling Robot","Critical","Material Handling Robot for Paint Shop operations","ABB","MaterialHandlingRobot-7296","Paint Shop - Robot Station 7","RC-PAI-7","Safety PLC","KRL","38kg","1693mm","Yes","ASIL-C"
"ROB-PAI-008","Toyota Georgetown","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","ABB","WeldingRobot-8323","Paint Shop - Robot Station 8","RC-PAI-8","Safety PLC","RAPID","20kg","1016mm","Yes","ASIL-C"
"ROB-PAI-009","Toyota Georgetown","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","KUKA","PackagingRobot-8046","Paint Shop - Robot Station 9","RC-PAI-9","Safety PLC","KAREL","36kg","1245mm","No","ASIL-C"
"ROB-PAI-010","Toyota Georgetown","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","Yaskawa","PackagingRobot-1829","Paint Shop - Robot Station 10","RC-PAI-10","Safety PLC","Python","15kg","1694mm","Yes","ASIL-C"
"ROB-PAI-011","Toyota Georgetown","Paint Shop","Material Handling Robot","Critical","Material Handling Robot for Paint Shop operations","KUKA","MaterialHandlingRobot-5314","Paint Shop - Robot Station 11","RC-PAI-11","Safety PLC","KAREL","41kg","2016mm","Yes","ASIL-B"
"ROB-PAI-012","Toyota Georgetown","Paint Shop","Paint Robot","Critical","Paint Robot for Paint Shop operations","ABB","PaintRobot-5137","Paint Shop - Robot Station 12","RC-PAI-12","Safety PLC","KRL","31kg","1713mm","Yes","ASIL-C"
"ROB-PAI-013","Toyota Georgetown","Paint Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Paint Shop operations","Kawasaki","QualityInspectionRobot-1559","Paint Shop - Robot Station 13","RC-PAI-13","Safety PLC","Python","45kg","2550mm","Yes","ASIL-C"
"ROB-PAI-014","Toyota Georgetown","Paint Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Paint Shop operations","Kawasaki","QualityInspectionRobot-1902","Paint Shop - Robot Station 14","RC-PAI-14","Safety PLC","RAPID","45kg","2722mm","Yes","ASIL-D"
"ROB-PAI-015","Toyota Georgetown","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","Yaskawa","WeldingRobot-2794","Paint Shop - Robot Station 15","RC-PAI-15","Safety PLC","KRL","28kg","2319mm","Yes","ASIL-C"
"ROB-PAI-016","Toyota Georgetown","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","Kawasaki","PackagingRobot-7154","Paint Shop - Robot Station 16","RC-PAI-16","Safety PLC","RAPID","57kg","1511mm","No","ASIL-C"
"ROB-PAI-017","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Yaskawa","AssemblyRobot-5143","Paint Shop - Robot Station 17","RC-PAI-17","Safety PLC","KRL","22kg","1095mm","No","ASIL-B"
"ROB-ASS-001","Toyota Georgetown","Assembly Line","Packaging Robot","Critical","Packaging Robot for Assembly Line operations","ABB","PackagingRobot-2284","Assembly Line - Robot Station 1","RC-ASS-1","Safety PLC","KRL","37kg","2058mm","Yes","ASIL-C"
"ROB-ASS-002","Toyota Georgetown","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","KUKA","MaterialHandlingRobot-5236","Assembly Line - Robot Station 2","RC-ASS-2","Safety PLC","Python","10kg","1490mm","No","ASIL-D"
"ROB-ASS-003","Toyota Georgetown","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","Fanuc","MaterialHandlingRobot-7231","Assembly Line - Robot Station 3","RC-ASS-3","Safety PLC","RAPID","40kg","2190mm","Yes","ASIL-C"
"ROB-ASS-004","Toyota Georgetown","Assembly Line","Quality Inspection Robot","Critical","Quality Inspection Robot for Assembly Line operations","Fanuc","QualityInspectionRobot-3460","Assembly Line - Robot Station 4","RC-ASS-4","Safety PLC","KAREL","58kg","2629mm","Yes","ASIL-B"
"ROB-ASS-005","Toyota Georgetown","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","KUKA","PaintRobot-8615","Assembly Line - Robot Station 5","RC-ASS-5","Safety PLC","Python","59kg","1508mm","No","ASIL-C"
"ROB-ASS-006","Toyota Georgetown","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","Kawasaki","MaterialHandlingRobot-1503","Assembly Line - Robot Station 6","RC-ASS-6","Safety PLC","Python","59kg","2188mm","Yes","ASIL-D"
"ROB-ASS-007","Toyota Georgetown","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Fanuc","AssemblyRobot-1513","Assembly Line - Robot Station 7","RC-ASS-7","Safety PLC","KRL","34kg","2767mm","Yes","ASIL-D"
"ROB-ASS-008","Toyota Georgetown","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Fanuc","AssemblyRobot-5039","Assembly Line - Robot Station 8","RC-ASS-8","Safety PLC","KRL","54kg","1437mm","Yes","ASIL-D"
"ROB-ASS-009","Toyota Georgetown","Assembly Line","Quality Inspection Robot","Critical","Quality Inspection Robot for Assembly Line operations","Fanuc","QualityInspectionRobot-9575","Assembly Line - Robot Station 9","RC-ASS-9","Safety PLC","KAREL","16kg","2034mm","Yes","ASIL-C"
"ROB-ASS-010","Toyota Georgetown","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","KUKA","AssemblyRobot-2465","Assembly Line - Robot Station 10","RC-ASS-10","Safety PLC","Python","45kg","1323mm","Yes","ASIL-B"
"ROB-ASS-011","Toyota Georgetown","Assembly Line","Packaging Robot","Critical","Packaging Robot for Assembly Line operations","KUKA","PackagingRobot-1294","Assembly Line - Robot Station 11","RC-ASS-11","Safety PLC","KAREL","21kg","1002mm","No","ASIL-B"
"ROB-ASS-012","Toyota Georgetown","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","ABB","WeldingRobot-2331","Assembly Line - Robot Station 12","RC-ASS-12","Safety PLC","KRL","36kg","1764mm","No","ASIL-D"
"ROB-ASS-013","Toyota Georgetown","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Kawasaki","PaintRobot-6997","Assembly Line - Robot Station 13","RC-ASS-13","Safety PLC","RAPID","27kg","1831mm","Yes","ASIL-B"
"ROB-ASS-014","Toyota Georgetown","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","KUKA","WeldingRobot-1141","Assembly Line - Robot Station 14","RC-ASS-14","Safety PLC","Python","41kg","2618mm","Yes","ASIL-D"
"ROB-ASS-015","Toyota Georgetown","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Fanuc","PaintRobot-4432","Assembly Line - Robot Station 15","RC-ASS-15","Safety PLC","KRL","56kg","2161mm","Yes","ASIL-D"
"ROB-ASS-016","Toyota Georgetown","Assembly Line","Quality Inspection Robot","Critical","Quality Inspection Robot for Assembly Line operations","KUKA","QualityInspectionRobot-8905","Assembly Line - Robot Station 16","RC-ASS-16","Safety PLC","Python","20kg","1354mm","Yes","ASIL-B"
"ROB-BOD-001","Honda Marysville","Body Shop","Material Handling Robot","Critical","Material Handling Robot for Body Shop operations","Fanuc","MaterialHandlingRobot-1505","Body Shop - Robot Station 1","RC-BOD-1","Safety PLC","Python","36kg","1800mm","No","ASIL-B"
"ROB-BOD-002","Honda Marysville","Body Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Body Shop operations","KUKA","QualityInspectionRobot-9296","Body Shop - Robot Station 2","RC-BOD-2","Safety PLC","RAPID","11kg","1908mm","Yes","ASIL-D"
"ROB-BOD-003","Honda Marysville","Body Shop","Paint Robot","Critical","Paint Robot for Body Shop operations","Kawasaki","PaintRobot-6625","Body Shop - Robot Station 3","RC-BOD-3","Safety PLC","RAPID","11kg","1729mm","Yes","ASIL-B"
"ROB-BOD-004","Honda Marysville","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","ABB","AssemblyRobot-3976","Body Shop - Robot Station 4","RC-BOD-4","Safety PLC","KAREL","12kg","2017mm","Yes","ASIL-B"
"ROB-BOD-005","Honda Marysville","Body Shop","Packaging Robot","Critical","Packaging Robot for Body Shop operations","Yaskawa","PackagingRobot-5826","Body Shop - Robot Station 5","RC-BOD-5","Safety PLC","Python","46kg","2725mm","Yes","ASIL-B"
"ROB-BOD-006","Honda Marysville","Body Shop","Material Handling Robot","Critical","Material Handling Robot for Body Shop operations","KUKA","MaterialHandlingRobot-9015","Body Shop - Robot Station 6","RC-BOD-6","Safety PLC","KAREL","19kg","1838mm","No","ASIL-B"
"ROB-BOD-007","Honda Marysville","Body Shop","Packaging Robot","Critical","Packaging Robot for Body Shop operations","Kawasaki","PackagingRobot-6003","Body Shop - Robot Station 7","RC-BOD-7","Safety PLC","RAPID","23kg","1935mm","No","ASIL-B"
"ROB-PAI-001","Honda Marysville","Paint Shop","Material Handling Robot","Critical","Material Handling Robot for Paint Shop operations","Yaskawa","MaterialHandlingRobot-9343","Paint Shop - Robot Station 1","RC-PAI-1","Safety PLC","KRL","22kg","1600mm","Yes","ASIL-C"
"ROB-PAI-002","Honda Marysville","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","KUKA","PackagingRobot-4565","Paint Shop - Robot Station 2","RC-PAI-2","Safety PLC","KAREL","52kg","2404mm","No","ASIL-D"
"ROB-PAI-003","Honda Marysville","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","Fanuc","PackagingRobot-6343","Paint Shop - Robot Station 3","RC-PAI-3","Safety PLC","KAREL","28kg","1499mm","Yes","ASIL-D"
"ROB-PAI-004","Honda Marysville","Paint Shop","Material Handling Robot","Critical","Material Handling Robot for Paint Shop operations","Fanuc","MaterialHandlingRobot-7627","Paint Shop - Robot Station 4","RC-PAI-4","Safety PLC","KRL","16kg","1714mm","No","ASIL-D"
"ROB-PAI-005","Honda Marysville","Paint Shop","Paint Robot","Critical","Paint Robot for Paint Shop operations","Fanuc","PaintRobot-3029","Paint Shop - Robot Station 5","RC-PAI-5","Safety PLC","KAREL","22kg","1643mm","Yes","ASIL-C"
"ROB-PAI-006","Honda Marysville","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","KUKA","AssemblyRobot-8582","Paint Shop - Robot Station 6","RC-PAI-6","Safety PLC","Python","11kg","1249mm","Yes","ASIL-D"
"ROB-PAI-007","Honda Marysville","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","Yaskawa","PackagingRobot-1923","Paint Shop - Robot Station 7","RC-PAI-7","Safety PLC","KAREL","58kg","2057mm","No","ASIL-D"
"ROB-PAI-008","Honda Marysville","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","Kawasaki","WeldingRobot-7990","Paint Shop - Robot Station 8","RC-PAI-8","Safety PLC","KAREL","36kg","2781mm","Yes","ASIL-B"
"ROB-PAI-009","Honda Marysville","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","ABB","WeldingRobot-4801","Paint Shop - Robot Station 9","RC-PAI-9","Safety PLC","KRL","20kg","1409mm","No","ASIL-D"
"ROB-PAI-010","Honda Marysville","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","Yaskawa","WeldingRobot-2828","Paint Shop - Robot Station 10","RC-PAI-10","Safety PLC","KRL","55kg","2231mm","Yes","ASIL-C"
"ROB-PAI-011","Honda Marysville","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Kawasaki","AssemblyRobot-1605","Paint Shop - Robot Station 11","RC-PAI-11","Safety PLC","KRL","39kg","2457mm","Yes","ASIL-C"
"ROB-PAI-012","Honda Marysville","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","Yaskawa","PackagingRobot-1277","Paint Shop - Robot Station 12","RC-PAI-12","Safety PLC","RAPID","31kg","1686mm","No","ASIL-B"
"ROB-PAI-013","Honda Marysville","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","Fanuc","WeldingRobot-7101","Paint Shop - Robot Station 13","RC-PAI-13","Safety PLC","KAREL","43kg","2513mm","Yes","ASIL-D"
"ROB-PAI-014","Honda Marysville","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Yaskawa","AssemblyRobot-9111","Paint Shop - Robot Station 14","RC-PAI-14","Safety PLC","KRL","48kg","1342mm","Yes","ASIL-C"
"ROB-ASS-001","Honda Marysville","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","Yaskawa","MaterialHandlingRobot-3690","Assembly Line - Robot Station 1","RC-ASS-1","Safety PLC","Python","11kg","1353mm","Yes","ASIL-C"
"ROB-ASS-002","Honda Marysville","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","Yaskawa","WeldingRobot-5029","Assembly Line - Robot Station 2","RC-ASS-2","Safety PLC","KRL","19kg","1873mm","No","ASIL-B"
"ROB-ASS-003","Honda Marysville","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","ABB","PaintRobot-6151","Assembly Line - Robot Station 3","RC-ASS-3","Safety PLC","RAPID","33kg","2479mm","No","ASIL-B"
"ROB-ASS-004","Honda Marysville","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","ABB","PaintRobot-5958","Assembly Line - Robot Station 4","RC-ASS-4","Safety PLC","Python","50kg","1671mm","Yes","ASIL-C"
"ROB-ASS-005","Honda Marysville","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","KUKA","MaterialHandlingRobot-2374","Assembly Line - Robot Station 5","RC-ASS-5","Safety PLC","KRL","23kg","1166mm","Yes","ASIL-C"
"ROB-ASS-006","Honda Marysville","Assembly Line","Quality Inspection Robot","Critical","Quality Inspection Robot for Assembly Line operations","Kawasaki","QualityInspectionRobot-8956","Assembly Line - Robot Station 6","RC-ASS-6","Safety PLC","Python","17kg","2072mm","Yes","ASIL-B"
