tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,supplier_integration,jit_enabled,inventory_level,lead_time,supplier_count,kanban_cards
"SC-BOD-001","Toyota Georgetown","Body Shop","Material Tracking System","Medium","Material Tracking System for Body Shop supply chain management","Oracle","MaterialTrackingSystem-4907","Body Shop - Supply Chain Station 1","Yes","No","151 units","1 days","19","54"
"SC-BOD-002","Toyota Georgetown","Body Shop","JIT Controller","Medium","JIT Controller for Body Shop supply chain management","Oracle","JITController-5662","Body Shop - Supply Chain Station 2","No","No","524 units","9 days","8","15"
"SC-BOD-003","Toyota Georgetown","Body Shop","Supplier Quality System","Medium","Supplier Quality System for Body Shop supply chain management","SAP","SupplierQualitySystem-1888","Body Shop - Supply Chain Station 3","Yes","Yes","715 units","7 days","6","46"
"SC-BOD-004","Toyota Georgetown","Body Shop","JIT Controller","Medium","JIT Controller for Body Shop supply chain management","Microsoft","JITController-1726","Body Shop - Supply Chain Station 4","No","No","398 units","3 days","20","42"
"SC-BOD-005","Toyota Georgetown","Body Shop","Supplier Portal","Medium","Supplier Portal for Body Shop supply chain management","Custom","SupplierPortal-3544","Body Shop - Supply Chain Station 5","No","Yes","661 units","12 days","11","42"
"SC-BOD-006","Toyota Georgetown","Body Shop","Supplier Portal","Medium","Supplier Portal for Body Shop supply chain management","Microsoft","SupplierPortal-6969","Body Shop - Supply Chain Station 6","No","Yes","629 units","1 days","17","53"
"SC-BOD-007","Toyota Georgetown","Body Shop","Inventory Management System","Medium","Inventory Management System for Body Shop supply chain management","Oracle","InventoryManagementSystem-7818","Body Shop - Supply Chain Station 7","Yes","No","443 units","13 days","15","30"
"SC-BOD-008","Toyota Georgetown","Body Shop","Inventory Management System","Medium","Inventory Management System for Body Shop supply chain management","Oracle","InventoryManagementSystem-5029","Body Shop - Supply Chain Station 8","Yes","Yes","1047 units","14 days","5","54"
"SC-PAI-001","Toyota Georgetown","Paint Shop","Inventory Management System","Medium","Inventory Management System for Paint Shop supply chain management","Oracle","InventoryManagementSystem-9298","Paint Shop - Supply Chain Station 1","Yes","No","965 units","2 days","14","30"
"SC-PAI-002","Toyota Georgetown","Paint Shop","Kanban Controller","Medium","Kanban Controller for Paint Shop supply chain management","SAP","KanbanController-1543","Paint Shop - Supply Chain Station 2","No","Yes","748 units","10 days","20","19"
