tag_id,plant,unit,device_type,ip_address,mac_address,protocol,vendor,model,firmware_version,last_seen,discovery_method,confidence_level,network_segment,criticality,is_managed,has_security_patches,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"CRU-0001","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.201.119","2c:59:73:74:ec:3c","OPC UA","ABB","TemperatureTransmitter-9398","5.6.33","2025-10-22T19:08:49.781Z","SNMP","80","VLAN-66","Critical","true","true","0","1","2025-10-19T18:55:02.208Z","false","true","None","true","true","73"
"CRU-0002","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.136.246","63:dd:01:27:48:e0","Profinet","ABB","TemperatureTransmitter-4247","4.7.59","2025-10-24T16:56:32.121Z","Protocol Analysis","87","VLAN-46","High","false","true","0","2","2025-09-30T15:31:07.218Z","true","true","Advanced","true","true","59"
"CRU-0003","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.65.189","d8:13:e0:a2:8c:57","Modbus TCP","Emerson","FlowTransmitter-1769","4.9.20","2025-10-18T09:24:21.987Z","Protocol Analysis","78","VLAN-31","High","true","false","3","0","2025-10-09T19:21:24.443Z","false","true","None","true","true","31"
"CRU-0004","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.67.150","31:0a:7d:39:cd:4b","Ethernet/IP","Honeywell","ControlValve-2676","1.4.22","2025-10-18T16:43:17.534Z","Asset Inventory","90","VLAN-80","Low","true","false","4","2","2025-10-11T02:41:30.069Z","false","true","None","true","true","70"
"CRU-0006","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.240.203","8f:83:a7:e9:4d:e2","Profinet","Honeywell","RTU-6282","1.5.57","2025-10-18T08:43:22.748Z","SNMP","87","VLAN-10","Medium","true","true","3","1","2025-09-25T18:24:20.968Z","false","true","Enterprise","false","true","58"
"CRU-0007","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.186.179","06:08:9e:65:9c:26","DNP3","Siemens","TemperatureTransmitter-7158","5.4.71","2025-10-18T10:46:29.577Z","Asset Inventory","76","VLAN-77","High","true","true","2","2","2025-10-13T18:42:25.757Z","true","false","Basic","true","true","72"
"CRU-0008","Gulf Coast Refinery","Crude Distillation Unit (CDU)","HMI","192.168.79.198","0a:dd:71:1e:07:6a","OPC UA","Schneider","HMI-8949","5.4.53","2025-10-20T09:56:44.494Z","Network Scan","73","VLAN-58","High","false","true","1","0","2025-10-11T12:34:33.802Z","false","false","Advanced","true","false","18"
"CRU-0010","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.158.170","d0:93:a1:05:b3:06","Profinet","Schneider","ControlValve-1905","3.8.4","2025-10-19T00:21:12.232Z","Network Scan","99","VLAN-30","Critical","false","false","4","0","2025-10-06T00:12:00.490Z","false","true","Enterprise","false","true","46"
"CRU-0011","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Motor Starter","192.168.9.96","15:5f:5b:15:bf:ae","OPC UA","Honeywell","MotorStarter-2473","2.2.60","2025-10-23T22:49:59.494Z","SNMP","95","VLAN-27","High","true","true","3","1","2025-10-08T19:08:22.824Z","true","true","None","false","true","83"
"CRU-0013","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.227.127","a9:35:8c:5c:ac:51","Modbus TCP","Honeywell","RTU-8150","5.4.98","2025-10-18T17:00:45.499Z","Asset Inventory","95","VLAN-38","Critical","true","true","0","2","2025-10-01T17:54:36.026Z","true","false","Advanced","false","false","6"
