tag_id,plant,unit,device_type,ip_address,mac_address,protocol,vendor,model,firmware_version,last_seen,discovery_method,confidence_level,network_segment,criticality,is_managed,has_security_patches,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"API-0002","Boston Pharma","API Manufacturing","Serialization System","192.168.49.29","57:84:38:0b:53:9c","Modbus TCP","Siemens","SerializationSystem-2131","5.2.42","2025-10-18T21:48:49.264Z","SNMP","89","VLAN-8","High","true","false","4","0","2025-09-25T10:27:27.352Z","false","true","Advanced","false","true","94"
"API-0003","Boston Pharma","API Manufacturing","Temperature Controller","192.168.173.159","e9:8b:d6:af:c4:29","DNP3","Schneider","TemperatureController-1984","1.6.20","2025-10-22T09:56:06.114Z","Network Scan","98","VLAN-42","Critical","false","false","0","0","2025-10-13T14:30:16.651Z","true","true","None","true","true","59"
"API-0005","Boston Pharma","API Manufacturing","MES","192.168.34.88","95:65:5f:b4:16:17","Ethernet/IP","Siemens","MES-8919","3.0.19","2025-10-19T13:03:51.506Z","Protocol Analysis","87","VLAN-91","Medium","false","true","1","1","2025-10-22T09:49:56.490Z","false","false","Basic","false","true","4"
"API-0006","Boston Pharma","API Manufacturing","Batch Controller","192.168.212.159","d7:a7:48:fd:06:b4","Ethernet/IP","Siemens","BatchController-9596","3.0.97","2025-10-20T22:55:27.469Z","Protocol Analysis","79","VLAN-56","Low","true","false","2","0","2025-09-25T03:20:04.449Z","true","true","Basic","true","true","38"
"API-0007","Boston Pharma","API Manufacturing","HMI","192.168.205.201","40:34:d9:cc:e1:d9","Ethernet/IP","Honeywell","HMI-7841","4.6.97","2025-10-23T18:49:06.726Z","Network Scan","90","VLAN-46","Critical","true","true","2","1","2025-10-06T00:25:38.342Z","false","false","Enterprise","true","true","80"
"API-0008","Boston Pharma","API Manufacturing","MES","192.168.61.146","e7:5c:b2:0b:bf:cb","Profinet","Honeywell","MES-2424","4.5.3","2025-10-21T03:09:22.168Z","Network Scan","81","VLAN-69","Medium","true","true","1","2","2025-10-13T21:03:05.961Z","false","false","Advanced","true","true","55"
"API-0009","Boston Pharma","API Manufacturing","MES","192.168.237.140","4f:cd:9c:e6:2d:dd","Modbus TCP","Schneider","MES-1451","4.2.74","2025-10-22T12:44:08.195Z","Asset Inventory","79","VLAN-46","Low","true","true","3","0","2025-10-16T10:13:13.331Z","true","true","Advanced","true","true","24"
"API-0013","Boston Pharma","API Manufacturing","HMI","192.168.159.134","e9:bd:48:d6:fa:78","Profinet","Siemens","HMI-8127","2.5.19","2025-10-19T13:03:11.459Z","Protocol Analysis","88","VLAN-34","Critical","true","true","3","1","2025-10-11T07:01:13.298Z","true","true","None","true","true","32"
"API-0014","Boston Pharma","API Manufacturing","Batch Controller","192.168.167.84","72:55:9d:69:53:80","Ethernet/IP","Schneider","BatchController-9354","1.6.17","2025-10-20T20:30:09.794Z","Protocol Analysis","73","VLAN-7","Low","true","true","4","2","2025-10-23T12:11:15.638Z","true","true","None","false","true","35"
"API-0021","Boston Pharma","API Manufacturing","Serialization System","192.168.67.109","34:4d:7d:4e:0d:85","DNP3","Emerson","SerializationSystem-2185","4.4.79","2025-10-19T04:06:52.345Z","Protocol Analysis","84","VLAN-74","High","true","true","2","0","2025-10-09T18:03:02.072Z","false","false","None","true","true","33"
"API-0024","Boston Pharma","API Manufacturing","Serialization System","192.168.99.198","06:0b:7d:4c:15:ad","Profinet","ABB","SerializationSystem-5581","1.1.94","2025-10-18T14:58:02.558Z","Network Scan","97","VLAN-9","Medium","false","true","2","1","2025-10-19T07:03:27.047Z","true","true","None","false","true","100"
"API-0025","Boston Pharma","API Manufacturing","PLC","192.168.242.120","67:89:8b:e2:4e:fe","OPC UA","Schneider","PLC-3968","5.9.95","2025-10-21T02:36:26.750Z","Asset Inventory","84","VLAN-32","Low","true","false","2","1","2025-10-07T13:10:39.159Z","true","true","Basic","true","true","44"
"API-0027","Boston Pharma","API Manufacturing","HMI","192.168.208.197","31:48:54:f7:56:09","OPC UA","Rockwell","HMI-8347","2.1.61","2025-10-20T16:50:17.990Z","Network Scan","83","VLAN-38","Critical","true","false","1","1","2025-10-02T12:00:51.542Z","false","true","Advanced","true","true","18"
"FOR-0029","Boston Pharma","Formulation","Serialization System","192.168.35.25","32:a9:44:0a:5e:63","Modbus TCP","Schneider","SerializationSystem-1606","5.3.40","2025-10-19T04:49:34.810Z","SNMP","95","VLAN-27","Critical","true","true","0","2","2025-10-15T10:49:25.567Z","true","false","Basic","false","false","29"
"FOR-0032","Boston Pharma","Formulation","Batch Controller","192.168.154.66","71:cf:3c:e7:65:9c","Ethernet/IP","Rockwell","BatchController-4922","3.3.38","2025-10-22T02:55:25.724Z","SNMP","75","VLAN-82","Critical","true","true","1","1","2025-10-22T19:06:03.296Z","true","true","Advanced","true","true","50"
