tag_id,plant,unit,device_type,ip_address,mac_address,protocol,vendor,model,firmware_version,last_seen,discovery_method,confidence_level,network_segment,criticality,is_managed,has_security_patches,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"GEN-0003","Pacific Power","Generation Unit","SCADA","192.168.245.243","e9:d5:c3:07:78:67","DNP3","Schneider","SCADA-6390","5.3.78","2025-10-19T22:21:19.756Z","SNMP","70","VLAN-18","Critical","true","true","2","2","2025-10-17T11:16:12.838Z","true","true","Enterprise","true","true","67"
"GEN-0004","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.151.166","82:b3:78:ab:26:27","OPC UA","ABB","ArcFlashMonitor-4081","3.6.43","2025-10-20T04:04:11.185Z","Asset Inventory","82","VLAN-91","High","false","false","2","0","2025-10-21T07:46:43.725Z","true","true","Enterprise","false","true","20"
"GEN-0005","Pacific Power","Generation Unit","RTU","192.168.81.134","96:c4:bc:b5:06:c0","Modbus TCP","Emerson","RTU-3406","4.9.47","2025-10-19T21:26:11.546Z","Asset Inventory","90","VLAN-77","Critical","false","false","0","0","2025-09-26T11:20:44.258Z","true","true","Basic","true","true","87"
"GEN-0006","Pacific Power","Generation Unit","DMS","192.168.224.141","66:84:13:cd:20:8d","Modbus TCP","ABB","DMS-5015","5.9.80","2025-10-20T09:46:52.375Z","Protocol Analysis","93","VLAN-2","Medium","true","false","2","0","2025-09-28T19:06:50.010Z","true","true","Enterprise","false","true","69"
"GEN-0007","Pacific Power","Generation Unit","IED","192.168.80.23","eb:1c:0d:34:1f:d2","Modbus TCP","Schneider","IED-2324","1.6.81","2025-10-23T10:10:17.533Z","Protocol Analysis","80","VLAN-93","Low","false","true","3","2","2025-10-23T01:25:24.208Z","false","true","Enterprise","true","false","64"
"GEN-0008","Pacific Power","Generation Unit","Grid Controller","192.168.45.56","4b:c1:3c:6a:4e:f0","OPC UA","Siemens","GridController-6435","1.5.88","2025-10-19T17:27:07.935Z","Network Scan","92","VLAN-32","Low","true","true","4","0","2025-09-25T02:19:46.318Z","true","false","Basic","true","true","75"
"GEN-0009","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.238.175","dd:e5:a8:b3:a3:67","OPC UA","Emerson","ArcFlashMonitor-9162","3.1.59","2025-10-18T00:17:14.529Z","SNMP","77","VLAN-54","Low","false","false","0","0","2025-10-11T07:22:06.800Z","true","false","Enterprise","false","true","71"
"GEN-0010","Pacific Power","Generation Unit","SCADA","192.168.185.149","d7:ec:a2:66:76:be","OPC UA","Honeywell","SCADA-1681","2.8.0","2025-10-23T22:58:19.427Z","SNMP","93","VLAN-97","High","true","true","0","0","2025-10-13T05:58:34.705Z","true","false","None","true","false","6"
"GEN-0012","Pacific Power","Generation Unit","SCADA","192.168.74.200","6f:6e:d2:b0:a3:de","Ethernet/IP","Honeywell","SCADA-8587","1.4.44","2025-10-22T18:22:42.737Z","SNMP","90","VLAN-48","Critical","false","true","0","2","2025-09-28T10:28:17.459Z","true","false","Basic","false","false","36"
"GEN-0013","Pacific Power","Generation Unit","DMS","192.168.115.109","3f:19:15:ae:f0:6b","Modbus TCP","ABB","DMS-2842","1.1.88","2025-10-21T06:27:59.815Z","Network Scan","87","VLAN-80","Low","true","true","3","2","2025-10-08T10:36:41.435Z","true","true","None","true","false","36"
"GEN-0014","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.101.109","f3:ad:bf:26:87:38","OPC UA","Emerson","ArcFlashMonitor-9472","2.9.42","2025-10-20T19:55:19.047Z","SNMP","85","VLAN-37","High","true","true","0","1","2025-09-28T09:27:57.025Z","true","true","None","true","true","48"
"GEN-0015","Pacific Power","Generation Unit","HMI","192.168.206.84","75:c9:43:66:2b:6b","OPC UA","ABB","HMI-3273","1.6.54","2025-10-21T13:22:10.833Z","Asset Inventory","72","VLAN-82","High","true","false","1","0","2025-10-12T09:43:45.187Z","true","true","Advanced","true","true","99"
"GEN-0016","Pacific Power","Generation Unit","EMS","192.168.214.30","50:90:4b:3f:a7:33","Modbus TCP","Schneider","EMS-2801","2.7.30","2025-10-19T20:39:25.785Z","SNMP","80","VLAN-71","High","true","false","2","1","2025-10-03T03:24:16.982Z","true","true","None","true","false","87"
"GEN-0018","Pacific Power","Generation Unit","SCADA","192.168.220.46","e2:88:8b:27:86:ce","Profinet","ABB","SCADA-5986","2.7.98","2025-10-18T03:17:41.779Z","Protocol Analysis","73","VLAN-52","Low","true","true","1","2","2025-10-24T15:26:35.674Z","false","true","Advanced","true","false","72"
"GEN-0019","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.191.74","bb:09:da:2a:ee:b3","OPC UA","Schneider","ArcFlashMonitor-5300","2.3.21","2025-10-19T16:29:03.961Z","Network Scan","81","VLAN-64","Low","false","true","3","0","2025-10-10T06:47:46.372Z","true","false","Advanced","true","true","46"
"GEN-0020","Pacific Power","Generation Unit","Protection Relay","192.168.166.121","3c:81:6a:69:07:f1","Ethernet/IP","Schneider","ProtectionRelay-4850","1.2.74","2025-10-21T13:43:23.026Z","Protocol Analysis","85","VLAN-67","Low","true","true","3","1","2025-10-18T14:57:52.108Z","true","false","Advanced","false","true","9"
"GEN-0023","Pacific Power","Generation Unit","SCADA","192.168.48.132","db:bc:0e:24:e1:f9","DNP3","Siemens","SCADA-1071","4.9.46","2025-10-22T00:10:33.234Z","Protocol Analysis","76","VLAN-91","Medium","true","true","3","0","2025-10-18T00:30:57.772Z","false","true","Advanced","false","true","10"
"GEN-0024","Pacific Power","Generation Unit","Grid Controller","192.168.71.184","17:67:58:39:ba:28","DNP3","Rockwell","GridController-2305","3.7.94","2025-10-19T04:48:13.069Z","SNMP","72","VLAN-2","Critical","true","false","0","2","2025-10-16T10:05:42.140Z","true","true","Enterprise","true","true","14"
"GEN-0025","Pacific Power","Generation Unit","HMI","192.168.50.169","58:71:8b:d5:13:ab","Ethernet/IP","Schneider","HMI-6991","1.7.19","2025-10-24T21:36:34.716Z","Asset Inventory","93","VLAN-64","High","true","false","4","2","2025-10-19T16:00:47.311Z","true","false","None","true","true","6"
"GEN-0026","Pacific Power","Generation Unit","RTU","192.168.71.37","40:83:59:ed:d1:10","DNP3","Schneider","RTU-6082","2.8.0","2025-10-19T08:01:04.819Z","Network Scan","89","VLAN-70","High","false","true","0","2","2025-10-24T12:14:30.599Z","false","false","Basic","true","true","64"
"GEN-0027","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.243.125","9f:48:ab:78:21:ba","Profinet","Honeywell","ArcFlashMonitor-8017","2.8.90","2025-10-19T11:03:36.698Z","Protocol Analysis","96","VLAN-22","Critical","false","false","4","1","2025-10-14T05:01:00.187Z","true","false","Enterprise","true","true","86"
"GEN-0029","Pacific Power","Generation Unit","Protection Relay","192.168.87.120","c9:be:e1:c3:0c:f1","OPC UA","Rockwell","ProtectionRelay-4958","5.7.42","2025-10-21T16:51:47.043Z","Network Scan","86","VLAN-14","Medium","true","true","0","0","2025-09-30T20:27:56.034Z","true","true","Enterprise","false","false","97"
"GEN-0030","Pacific Power","Generation Unit","Grid Controller","192.168.115.117","e1:67:c5:65:ee:4f","Profinet","Siemens","GridController-6927","1.6.55","2025-10-22T08:30:20.839Z","Protocol Analysis","88","VLAN-68","Low","false","false","2","1","2025-09-25T12:11:41.119Z","true","false","Enterprise","false","false","85"
"GEN-0032","Pacific Power","Generation Unit","DMS","192.168.62.51","0f:cb:7f:48:fc:81","Modbus TCP","Honeywell","DMS-5910","1.4.3","2025-10-21T08:30:55.799Z","Network Scan","87","VLAN-8","Medium","true","true","3","2","2025-10-19T05:16:04.240Z","true","true","Basic","false","false","61"
"GEN-0033","Pacific Power","Generation Unit","Grid Controller","192.168.141.31","12:ef:f7:24:87:5b","Ethernet/IP","Emerson","GridController-6222","3.6.50","2025-10-24T16:35:18.636Z","Asset Inventory","74","VLAN-1","Medium","true","false","0","2","2025-10-12T01:44:09.359Z","false","true","Advanced","false","false","79"
"GEN-0035","Pacific Power","Generation Unit","RTU","192.168.1.176","61:ea:b4:9e:4e:9f","Ethernet/IP","Honeywell","RTU-4371","1.2.0","2025-10-21T21:20:37.932Z","Asset Inventory","94","VLAN-25","Medium","true","true","1","0","2025-10-19T16:53:10.072Z","false","true","None","false","false","20"
"GEN-0036","Pacific Power","Generation Unit","DMS","192.168.138.153","2b:93:4b:b0:0d:e4","OPC UA","Schneider","DMS-7700","1.8.14","2025-10-22T08:49:52.536Z","Network Scan","81","VLAN-63","Low","false","false","3","0","2025-10-15T04:36:27.862Z","false","true","Advanced","false","true","91"
"GEN-0037","Pacific Power","Generation Unit","IED","192.168.106.68","00:ee:3f:65:a8:ae","OPC UA","ABB","IED-3521","5.9.75","2025-10-20T20:10:29.742Z","Asset Inventory","76","VLAN-79","Critical","true","true","1","2","2025-10-19T03:03:15.169Z","false","false","Enterprise","false","false","28"
"TRA-0040","Pacific Power","Transmission","DMS","192.168.21.193","03:78:79:21:8f:bc","Ethernet/IP","Honeywell","DMS-5006","2.7.79","2025-10-22T12:58:47.275Z","Network Scan","97","VLAN-71","Medium","true","false","4","2","2025-10-08T07:49:47.697Z","false","false","Advanced","true","true","62"
"TRA-0042","Pacific Power","Transmission","SCADA","192.168.53.106","17:c9:dd:07:46:b4","Modbus TCP","Schneider","SCADA-7246","1.6.61","2025-10-20T11:00:49.056Z","SNMP","89","VLAN-34","High","true","true","3","1","2025-09-29T21:53:12.918Z","true","true","Advanced","true","true","55"
"TRA-0043","Pacific Power","Transmission","SCADA","192.168.18.12","79:5a:5e:0a:ed:35","Ethernet/IP","Rockwell","SCADA-5217","3.1.97","2025-10-21T10:59:50.613Z","Asset Inventory","99","VLAN-70","Critical","true","true","2","2","2025-10-21T23:47:09.219Z","false","false","Basic","true","true","2"
"TRA-0044","Pacific Power","Transmission","Arc Flash Monitor","192.168.208.155","a0:3d:86:e8:40:24","OPC UA","ABB","ArcFlashMonitor-9983","2.7.94","2025-10-20T22:10:34.330Z","Protocol Analysis","74","VLAN-44","High","true","true","1","1","2025-10-21T12:43:23.240Z","false","false","Enterprise","true","true","9"
