tag_id,plant,unit,uptime_pct_30d,alarm_count_30d,bad_quality_count_30d
CRU_DC_0000,Gulf Coast Refinery,Crude Distillation Unit (CDU),97.4,10,2
FLU_SA_0001,Texas City Complex,Fluid Catalytic Cracking (FCC),94.8,14,4
HYD_FI_0002,Baytown Refinery,Hydrocracking Unit (HCU),95.5,11,4
REF_HM_0003,Gulf Coast Refinery,Reformer Unit,97.7,11,3
ALK_HI_0004,Texas City Complex,Alkylation Unit,98.2,3,5
COK_VF_0005,Baytown Refinery,Coker Unit,94.5,6,3
HYD_SM_0006,Gulf Coast Refinery,Hydrotreater,99.1,9,1
ISO_CO_0007,Texas City Complex,Isomerization Unit,99.5,1,7
CRU_FL_0008,Baytown Refinery,Crude Distillation Unit (CDU),94.8,8,2
FLU_AN_0009,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),96.5,13,1
HYD_SA_0010,Texas City Complex,Hydrocracking Unit (HCU),95.9,9,1
REF_CO_0011,Baytown Refinery,Reformer Unit,97.9,9,8
ALK_TU_0012,Gulf Coast Refinery,Alkylation Unit,99.6,6,6
COK_TA_0013,Texas City Complex,Coker Unit,95.9,9,2
HYD_FI_0014,Baytown Refinery,Hydrotreater,95.9,5,6
ISO_DC_0015,Gulf Coast Refinery,Isomerization Unit,97.5,6,5
CRU_SA_0016,Texas City Complex,Crude Distillation Unit (CDU),98.7,11,1
FLU_FI_0017,Baytown Refinery,Fluid Catalytic Cracking (FCC),97.2,10,4
HYD_HM_0018,Gulf Coast Refinery,Hydrocracking Unit (HCU),96.0,6,4
REF_HI_0019,Texas City Complex,Reformer Unit,96.3,6,6
ALK_VF_0020,Baytown Refinery,Alkylation Unit,95.9,15,4
COK_SM_0021,Gulf Coast Refinery,Coker Unit,96.1,4,2
HYD_CO_0022,Texas City Complex,Hydrotreater,94.5,2,3
ISO_FL_0023,Baytown Refinery,Isomerization Unit,94.9,10,6
CRU_AN_0024,Gulf Coast Refinery,Crude Distillation Unit (CDU),95.9,6,4
FLU_SA_0025,Texas City Complex,Fluid Catalytic Cracking (FCC),97.0,8,7
HYD_CO_0026,Baytown Refinery,Hydrocracking Unit (HCU),98.3,12,3
REF_TU_0027,Gulf Coast Refinery,Reformer Unit,99.3,9,5
ALK_TA_0028,Texas City Complex,Alkylation Unit,97.5,8,6
COK_FI_0029,Baytown Refinery,Coker Unit,96.0,6,5
HYD_DC_0030,Gulf Coast Refinery,Hydrotreater,96.7,7,0
ISO_SA_0031,Texas City Complex,Isomerization Unit,94.4,8,8
CRU_FI_0032,Baytown Refinery,Crude Distillation Unit (CDU),95.3,6,8
FLU_HM_0033,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),95.4,4,0
HYD_HI_0034,Texas City Complex,Hydrocracking Unit (HCU),95.5,0,8
REF_VF_0035,Baytown Refinery,Reformer Unit,95.3,1,5
ALK_SM_0036,Gulf Coast Refinery,Alkylation Unit,99.8,13,2
COK_CO_0037,Texas City Complex,Coker Unit,97.8,12,7
HYD_FL_0038,Baytown Refinery,Hydrotreater,98.1,19,7
ISO_AN_0039,Gulf Coast Refinery,Isomerization Unit,97.5,11,4
CRU_SA_0040,Texas City Complex,Crude Distillation Unit (CDU),95.0,6,6
FLU_CO_0041,Baytown Refinery,Fluid Catalytic Cracking (FCC),95.3,7,6
HYD_TU_0042,Gulf Coast Refinery,Hydrocracking Unit (HCU),97.6,14,0
REF_TA_0043,Texas City Complex,Reformer Unit,96.9,5,8
ALK_FI_0044,Baytown Refinery,Alkylation Unit,96.9,4,2
COK_DC_0045,Gulf Coast Refinery,Coker Unit,96.1,14,6
HYD_SA_0046,Texas City Complex,Hydrotreater,94.7,7,3
ISO_FI_0047,Baytown Refinery,Isomerization Unit,96.9,0,0
CRU_HM_0048,Gulf Coast Refinery,Crude Distillation Unit (CDU),97.7,0,3
FLU_HI_0049,Texas City Complex,Fluid Catalytic Cracking (FCC),94.7,5,2
HYD_VF_0050,Baytown Refinery,Hydrocracking Unit (HCU),98.1,6,6
REF_SM_0051,Gulf Coast Refinery,Reformer Unit,96.9,8,4
ALK_CO_0052,Texas City Complex,Alkylation Unit,95.0,19,6
COK_FL_0053,Baytown Refinery,Coker Unit,95.9,8,6
HYD_AN_0054,Gulf Coast Refinery,Hydrotreater,97.1,11,7
ISO_SA_0055,Texas City Complex,Isomerization Unit,98.4,17,3
CRU_CO_0056,Baytown Refinery,Crude Distillation Unit (CDU),94.5,2,5
FLU_TU_0057,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),99.3,8,2
HYD_TA_0058,Texas City Complex,Hydrocracking Unit (HCU),94.8,5,5
REF_FI_0059,Baytown Refinery,Reformer Unit,98.4,10,2
ALK_DC_0060,Gulf Coast Refinery,Alkylation Unit,94.3,15,2
COK_SA_0061,Texas City Complex,Coker Unit,99.5,9,5
HYD_FI_0062,Baytown Refinery,Hydrotreater,94.1,6,6
ISO_HM_0063,Gulf Coast Refinery,Isomerization Unit,96.4,12,3
CRU_HI_0064,Texas City Complex,Crude Distillation Unit (CDU),99.8,15,0
FLU_VF_0065,Baytown Refinery,Fluid Catalytic Cracking (FCC),99.6,9,5
HYD_SM_0066,Gulf Coast Refinery,Hydrocracking Unit (HCU),95.4,15,5
REF_CO_0067,Texas City Complex,Reformer Unit,99.6,0,7
ALK_FL_0068,Baytown Refinery,Alkylation Unit,97.9,11,6
COK_AN_0069,Gulf Coast Refinery,Coker Unit,98.5,4,6
HYD_SA_0070,Texas City Complex,Hydrotreater,99.0,18,3
ISO_CO_0071,Baytown Refinery,Isomerization Unit,98.8,11,4
CRU_TU_0072,Gulf Coast Refinery,Crude Distillation Unit (CDU),96.6,0,8
FLU_TA_0073,Texas City Complex,Fluid Catalytic Cracking (FCC),97.9,6,6
HYD_FI_0074,Baytown Refinery,Hydrocracking Unit (HCU),96.9,3,2
REF_DC_0075,Gulf Coast Refinery,Reformer Unit,94.3,15,1
ALK_SA_0076,Texas City Complex,Alkylation Unit,97.6,11,4
COK_FI_0077,Baytown Refinery,Coker Unit,99.1,8,1
HYD_HM_0078,Gulf Coast Refinery,Hydrotreater,94.5,7,0
ISO_HI_0079,Texas City Complex,Isomerization Unit,99.8,12,5
CRU_VF_0080,Baytown Refinery,Crude Distillation Unit (CDU),96.1,10,3
FLU_SM_0081,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),94.5,5,6
HYD_CO_0082,Texas City Complex,Hydrocracking Unit (HCU),96.7,12,5
REF_FL_0083,Baytown Refinery,Reformer Unit,96.6,4,5
ALK_AN_0084,Gulf Coast Refinery,Alkylation Unit,97.2,12,3
COK_SA_0085,Texas City Complex,Coker Unit,98.2,12,7
HYD_CO_0086,Baytown Refinery,Hydrotreater,94.4,2,2
ISO_TU_0087,Gulf Coast Refinery,Isomerization Unit,96.1,8,2
CRU_TA_0088,Texas City Complex,Crude Distillation Unit (CDU),99.7,6,3
FLU_FI_0089,Baytown Refinery,Fluid Catalytic Cracking (FCC),95.8,20,6
HYD_DC_0090,Gulf Coast Refinery,Hydrocracking Unit (HCU),97.2,9,1
REF_SA_0091,Texas City Complex,Reformer Unit,94.6,9,4
ALK_FI_0092,Baytown Refinery,Alkylation Unit,96.9,12,3
COK_HM_0093,Gulf Coast Refinery,Coker Unit,97.2,13,3
HYD_HI_0094,Texas City Complex,Hydrotreater,94.3,5,4
ISO_VF_0095,Baytown Refinery,Isomerization Unit,94.4,9,3
CRU_SM_0096,Gulf Coast Refinery,Crude Distillation Unit (CDU),94.4,11,3
FLU_CO_0097,Texas City Complex,Fluid Catalytic Cracking (FCC),99.8,13,4
HYD_FL_0098,Baytown Refinery,Hydrocracking Unit (HCU),94.1,0,0
REF_AN_0099,Gulf Coast Refinery,Reformer Unit,95.0,11,2
ALK_SA_0100,Texas City Complex,Alkylation Unit,98.3,6,2
COK_CO_0101,Baytown Refinery,Coker Unit,99.3,8,4
HYD_TU_0102,Gulf Coast Refinery,Hydrotreater,94.6,9,7
ISO_TA_0103,Texas City Complex,Isomerization Unit,98.5,13,5
CRU_FI_0104,Baytown Refinery,Crude Distillation Unit (CDU),99.1,10,7
FLU_DC_0105,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),99.2,0,0
HYD_SA_0106,Texas City Complex,Hydrocracking Unit (HCU),95.2,12,2
REF_FI_0107,Baytown Refinery,Reformer Unit,94.6,4,4
ALK_HM_0108,Gulf Coast Refinery,Alkylation Unit,97.2,1,4
COK_HI_0109,Texas City Complex,Coker Unit,98.8,1,7
HYD_VF_0110,Baytown Refinery,Hydrotreater,94.3,0,7
ISO_SM_0111,Gulf Coast Refinery,Isomerization Unit,98.7,7,2
CRU_CO_0112,Texas City Complex,Crude Distillation Unit (CDU),94.3,18,0
FLU_FL_0113,Baytown Refinery,Fluid Catalytic Cracking (FCC),95.7,1,7
HYD_AN_0114,Gulf Coast Refinery,Hydrocracking Unit (HCU),99.3,7,2
REF_SA_0115,Texas City Complex,Reformer Unit,99.7,9,6
ALK_CO_0116,Baytown Refinery,Alkylation Unit,95.6,18,6
COK_TU_0117,Gulf Coast Refinery,Coker Unit,99.4,8,7
HYD_TA_0118,Texas City Complex,Hydrotreater,97.7,11,3
ISO_FI_0119,Baytown Refinery,Isomerization Unit,94.4,6,0
CRU_DC_0120,Gulf Coast Refinery,Crude Distillation Unit (CDU),95.6,15,2
FLU_SA_0121,Texas City Complex,Fluid Catalytic Cracking (FCC),96.1,8,4
HYD_FI_0122,Baytown Refinery,Hydrocracking Unit (HCU),98.6,14,3
REF_HM_0123,Gulf Coast Refinery,Reformer Unit,98.9,4,7
ALK_HI_0124,Texas City Complex,Alkylation Unit,96.6,7,7
COK_VF_0125,Baytown Refinery,Coker Unit,98.7,9,1
HYD_SM_0126,Gulf Coast Refinery,Hydrotreater,98.5,6,2
ISO_CO_0127,Texas City Complex,Isomerization Unit,97.6,19,2
CRU_FL_0128,Baytown Refinery,Crude Distillation Unit (CDU),99.4,17,1
FLU_AN_0129,Gulf Coast Refinery,Fluid Catalytic Cracking (FCC),99.7,15,4
HYD_SA_0130,Texas City Complex,Hydrocracking Unit (HCU),95.1,17,0
REF_CO_0131,Baytown Refinery,Reformer Unit,96.7,13,0
ALK_TU_0132,Gulf Coast Refinery,Alkylation Unit,96.6,14,5
COK_TA_0133,Texas City Complex,Coker Unit,94.9,4,4
HYD_FI_0134,Baytown Refinery,Hydrotreater,97.7,7,7
ISO_DC_0135,Gulf Coast Refinery,Isomerization Unit,94.8,14,4
CRU_SA_0136,Texas City Complex,Crude Distillation Unit (CDU),99.6,5,7
FLU_FI_0137,Baytown Refinery,Fluid Catalytic Cracking (FCC),95.5,12,4
HYD_HM_0138,Gulf Coast Refinery,Hydrocracking Unit (HCU),95.3,6,7
REF_HI_0139,Texas City Complex,Reformer Unit,99.5,11,7
ALK_VF_0140,Baytown Refinery,Alkylation Unit,96.2,8,6
COK_SM_0141,Gulf Coast Refinery,Coker Unit,99.2,7,8
