tag_id,plant,unit,device_type,ip_address,compliance_status,last_audit,audit_findings,remediation_required,policy_violations,certification_status,documentation_complete,change_management,backup_configured
"CRU-001","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.117.64","Non-Compliant","2025-08-02T02:40:59.335Z","1","false","2","Not Required","false","true","false"
"CRU-002","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.220.4","Compliant","2025-08-28T12:52:05.205Z","3","true","1","Not Required","true","false","true"
"CRU-003","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.94.241","Unknown","2025-08-26T15:36:27.598Z","0","true","0","Pending","true","true","true"
"CRU-004","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.203.7","Compliant","2025-09-12T14:56:22.624Z","3","true","0","Certified","true","true","false"
"CRU-005","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.174.67","Under Review","2025-08-22T12:45:56.371Z","4","true","0","Pending","true","true","true"
"CRU-006","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.231.122","Compliant","2025-07-27T21:29:11.969Z","1","true","2","Expired","true","true","true"
"CRU-007","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Safety PLC","192.168.58.29","Non-Compliant","2025-09-26T05:05:02.529Z","3","false","1","Expired","true","false","false"
"CRU-008","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.74.195","Compliant","2025-08-04T22:39:13.597Z","1","true","1","Pending","true","false","true"
"CRU-009","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Motor Starter","192.168.54.104","Under Review","2025-07-31T18:19:41.938Z","1","false","1","Certified","false","false","true"
"CRU-010","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.19.167","Under Review","2025-10-07T11:21:18.426Z","0","true","0","Expired","false","false","true"
"CRU-011","Gulf Coast Refinery","Crude Distillation Unit (CDU)","DCS","192.168.49.34","Non-Compliant","2025-10-22T05:14:15.020Z","3","true","2","Pending","true","false","true"
"CRU-012","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.184.56","Under Review","2025-09-21T04:29:49.210Z","1","false","2","Pending","false","false","false"
"CRU-013","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.186.44","Non-Compliant","2025-10-22T10:36:24.352Z","1","false","2","Certified","false","false","false"
"CRU-014","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.237.195","Unknown","2025-09-06T23:00:33.048Z","2","true","2","Pending","false","false","true"
