tag_id,plant,unit,device_type,ip_address,mac_address,switch_port,vlan,network_segment,communication_peers,bandwidth_usage,latency_ms,packet_loss,uptime_hours
"CRU-001","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.101.20","80:16:21:0b:8a:d8","SW27","VLAN-44","Corporate Network","3","53","45","3.6377124943387074","211"
"CRU-002","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.227.65","4c:14:38:85:74:ef","SW35","VLAN-20","DMZ","8","40","9","1.531047857487614","7431"
"CRU-003","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.51.140","ce:fb:c8:07:13:e1","SW43","VLAN-88","Safety Network","8","44","2","0.5938144898461717","8426"
"CRU-004","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.3.104","e1:fc:e1:b2:ef:29","SW27","VLAN-33","Corporate Network","7","54","39","2.9131507059034965","6116"
"CRU-005","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.237.123","ed:9a:07:85:8a:d6","SW47","VLAN-25","Safety Network","10","25","16","4.20149913242922","1497"
"CRU-006","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.137.141","9f:62:b4:a2:80:5d","SW32","VLAN-90","Safety Network","9","80","5","1.8775950126247132","406"
"CRU-007","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Safety PLC","192.168.121.60","42:66:68:05:38:f3","SW2","VLAN-40","DMZ","3","79","26","0.5247207421962918","8417"
"CRU-008","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.175.124","fa:aa:b4:bf:fe:82","SW17","VLAN-16","Corporate Network","7","68","46","0.9396186250687288","1192"
"CRU-009","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Motor Starter","192.168.232.63","6c:01:f2:41:41:28","SW4","VLAN-14","Safety Network","6","21","16","1.2030072693684746","1430"
"CRU-010","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.88.222","b1:a7:d7:a2:23:4e","SW34","VLAN-54","Safety Network","7","84","39","4.311771875173943","5402"
"CRU-011","Gulf Coast Refinery","Crude Distillation Unit (CDU)","DCS","192.168.86.206","e6:57:cd:b7:e9:25","SW32","VLAN-31","Control Network","1","39","17","3.922640084853847","908"
"CRU-012","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.166.181","18:7d:a9:2d:b8:d9","SW19","VLAN-30","Corporate Network","4","69","39","0.6490935767635619","8606"
"CRU-013","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.252.112","7c:12:8f:b2:21:6b","SW42","VLAN-4","DMZ","4","62","8","3.4163250285728264","8140"
"CRU-014","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.33.153","32:a9:eb:1e:6b:15","SW20","VLAN-51","Control Network","5","35","24","4.203992475443162","4362"
"CRU-015","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.18.98","b0:47:67:a6:7c:cc","SW2","VLAN-51","Control Network","7","61","40","0.5298723573880593","5917"
"CRU-016","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.68.39","8e:13:00:e2:e9:d4","SW18","VLAN-95","Safety Network","5","78","7","3.50691517940548","252"
"CRU-017","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.232.91","ee:cf:1c:da:a8:2f","SW36","VLAN-77","Safety Network","2","7","35","1.885923065751005","4874"
"CRU-018","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.226.154","05:bc:07:ab:31:21","SW11","VLAN-70","Control Network","10","19","41","4.469913904264994","904"
"CRU-019","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.74.91","65:94:0b:40:37:46","SW48","VLAN-55","DMZ","5","76","36","2.7749472701647226","1551"
"CRU-020","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.48.71","b8:9d:43:b6:3a:c4","SW2","VLAN-98","Corporate Network","1","1","27","0.8322552798525207","8086"
"CRU-021","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Motor Starter","192.168.41.166","72:ff:43:20:53:1a","SW8","VLAN-95","Corporate Network","9","80","32","3.0945217318707554","4469"
"CRU-022","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.83.65","a0:6e:19:de:d6:13","SW34","VLAN-22","DMZ","5","97","11","2.2200254978514735","5931"
"CRU-023","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.229.203","b7:68:c4:e6:8a:7b","SW28","VLAN-77","Corporate Network","3","48","27","4.841067226603839","3433"
"CRU-024","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.158.234","c7:70:1e:4d:06:00","SW26","VLAN-96","Safety Network","5","8","22","2.5754272813130785","4357"
"CRU-025","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.179.128","99:a8:8e:e4:df:1f","SW11","VLAN-3","DMZ","8","52","17","0.38364276977125966","1728"
"CRU-026","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.111.171","c6:9c:bc:e0:43:fa","SW19","VLAN-8","Safety Network","10","79","2","3.0489339343565227","7480"
"CRU-027","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.153.7","51:53:96:14:38:f2","SW1","VLAN-66","Corporate Network","7","70","30","2.6262543531948292","7257"
"CRU-028","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.128.183","eb:12:76:cd:41:4f","SW4","VLAN-81","DMZ","1","9","10","4.422895182311867","4632"
"FLU-001","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.29.163","b8:6b:31:36:1c:43","SW14","VLAN-4","Control Network","2","2","13","4.966832831345968","432"
"FLU-002","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Pressure Transmitter","192.168.253.211","b0:bc:a6:9c:42:e1","SW17","VLAN-85","Control Network","4","7","4","3.599020681231396","177"
"FLU-003","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.36.237","ef:04:f0:d6:c5:ae","SW40","VLAN-32","Control Network","5","41","22","1.088727235170629","2573"
"FLU-004","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","RTU","192.168.75.224","f0:45:be:9e:3d:24","SW38","VLAN-72","Control Network","3","78","13","0.4318796921801571","5938"
"FLU-005","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Motor Starter","192.168.118.87","d2:2c:16:0d:b7:72","SW21","VLAN-39","Control Network","1","95","12","2.2145364992575334","815"
"FLU-006","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","RTU","192.168.132.254","22:01:da:7f:78:40","SW33","VLAN-96","Corporate Network","8","68","38","1.063297002335194","1114"
"FLU-007","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.114.254","a0:d8:01:40:23:a8","SW19","VLAN-37","DMZ","5","52","24","4.711262547569768","1073"
"FLU-008","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","PLC","192.168.40.69","c5:68:81:cc:4e:74","SW24","VLAN-24","Safety Network","5","27","5","2.408539142570695","3647"
"FLU-009","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","HMI","192.168.231.100","d5:1c:72:c0:1d:55","SW20","VLAN-45","Safety Network","1","81","4","3.2775171951482207","2116"
"FLU-010","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.208.236","1a:a4:c9:48:a6:3f","SW28","VLAN-37","Safety Network","8","35","13","1.774754671136437","2070"
"FLU-011","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.45.119","25:ec:09:a8:cc:d6","SW28","VLAN-33","Control Network","8","51","25","4.0654791346948125","5019"
"FLU-012","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Flow Transmitter","192.168.87.140","1c:b3:a2:f9:e4:8d","SW35","VLAN-95","Corporate Network","3","78","11","4.115219221812304","7504"
"FLU-013","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.188.201","21:88:ae:bb:e9:31","SW18","VLAN-37","Control Network","4","87","16","2.9253792912817165","1580"
"FLU-014","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Flow Transmitter","192.168.64.109","11:98:90:46:33:d2","SW41","VLAN-27","Safety Network","4","14","8","1.431107101945015","1807"
"FLU-015","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","PLC","192.168.13.6","d3:11:e4:3d:7b:ac","SW35","VLAN-83","Safety Network","1","15","27","1.421272103140222","4788"
