tag_id,plant,unit,device_type,ip_address,security_level,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"CRU-001","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.191.220","2","6","4","2025-10-17T06:06:03.276Z","false","true","Basic","true","true","11"
"CRU-002","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.18.21","2","3","2","2025-10-06T16:38:33.937Z","true","true","None","true","true","95"
"CRU-003","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.83.215","3","6","1","2025-09-25T22:16:27.269Z","true","false","Basic","true","true","96"
"CRU-004","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.31.37","1","8","4","2025-10-19T22:11:12.259Z","false","true","None","true","true","70"
"CRU-005","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.94.121","1","2","1","2025-10-16T22:14:07.062Z","false","true","Basic","false","true","50"
"CRU-006","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.138.41","3","0","2","2025-10-23T17:13:08.967Z","true","false","Enterprise","true","true","27"
"CRU-007","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Safety PLC","192.168.206.133","1","0","1","2025-09-24T19:45:22.287Z","false","true","Basic","true","true","87"
"CRU-008","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.242.152","2","5","4","2025-10-06T14:51:16.686Z","false","false","Advanced","false","false","43"
"CRU-009","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Motor Starter","192.168.139.9","3","3","0","2025-10-09T20:18:38.873Z","true","false","None","true","true","31"
"CRU-010","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.166.227","1","8","3","2025-10-19T19:38:52.257Z","false","true","Enterprise","true","true","67"
"CRU-011","Gulf Coast Refinery","Crude Distillation Unit (CDU)","DCS","192.168.81.119","1","2","1","2025-09-29T15:30:46.040Z","true","false","None","true","true","26"
"CRU-012","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.112.111","3","4","3","2025-09-30T02:09:15.038Z","false","true","Basic","true","false","72"
"CRU-013","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.78.87","2","2","2","2025-10-13T11:37:13.257Z","true","true","None","true","false","37"
"CRU-014","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.13.109","4","0","2","2025-09-25T12:39:38.957Z","true","true","Enterprise","true","true","67"
"CRU-015","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.115.12","4","5","2","2025-10-19T17:35:06.028Z","false","true","Advanced","false","false","62"
"CRU-016","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.114.164","4","8","4","2025-10-11T06:51:48.141Z","false","true","None","false","true","35"
"CRU-017","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.178.26","3","1","4","2025-09-28T23:44:22.703Z","false","false","Advanced","true","true","85"
"CRU-018","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.148.112","4","2","4","2025-10-18T01:14:43.363Z","true","true","Advanced","true","true","3"
"CRU-019","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.142.188","3","3","3","2025-10-18T06:12:40.333Z","false","true","Basic","false","true","18"
"CRU-020","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.149.41","2","2","0","2025-10-24T08:53:07.269Z","true","true","Basic","true","true","54"
"CRU-021","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Motor Starter","192.168.205.18","1","2","1","2025-09-28T09:26:51.540Z","true","true","Advanced","true","true","90"
"CRU-022","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.160.216","2","3","1","2025-10-09T06:29:41.730Z","true","true","Basic","true","false","4"
"CRU-023","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.76.40","2","2","4","2025-10-15T18:44:05.382Z","false","false","None","true","true","54"
"CRU-024","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.143.88","3","5","1","2025-10-07T19:29:38.323Z","true","true","Basic","true","false","40"
"CRU-025","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.115.137","4","8","1","2025-10-09T02:47:30.814Z","true","true","Basic","true","true","75"
"CRU-026","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.231.111","4","2","4","2025-10-17T16:16:44.504Z","true","true","Advanced","true","true","88"
"CRU-027","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.230.131","1","2","3","2025-10-08T20:37:28.825Z","false","false","Advanced","false","true","19"
