asset_id,plant,unit,instrument_type,oem,model,last_patch_date,maintenance_status,next_maintenance,criticality,gmp_critical,validation_status
"API-001","Boston Pharma","API Manufacturing","SCADA","Emerson","SCADA-3684","2025-06-30","Current","2026-01-15","Critical","true","Pending"
"API-003","Boston Pharma","API Manufacturing","LIMS","Rockwell","LIMS-5552","2024-10-28","Overdue","2026-01-01","Critical","true","Validated"
"API-005","Boston Pharma","API Manufacturing","Safety PLC","Honeywell","SafetyPLC-8828","2025-08-01","Current","2026-01-07","Critical","true","Pending"
"API-006","Boston Pharma","API Manufacturing","MES","Honeywell","MES-9028","2025-09-24","Overdue","2026-01-05","Critical","true","Validated"
"API-008","Boston Pharma","API Manufacturing","MES","Siemens","MES-5823","2025-07-16","Current","2026-01-15","Critical","true","Pending"
"API-010","Boston Pharma","API Manufacturing","LIMS","Rockwell","LIMS-3794","2025-03-14","Overdue","2025-10-28","Critical","true","Pending"
"API-011","Boston Pharma","API Manufacturing","SCADA","Rockwell","SCADA-4965","2024-12-05","Current","2025-12-03","Critical","true","Pending"
"API-013","Boston Pharma","API Manufacturing","PLC","Honeywell","PLC-5462","2024-12-11","Overdue","2025-11-03","Critical","true","Validated"
"API-015","Boston Pharma","API Manufacturing","PLC","Emerson","PLC-7144","2025-01-31","Overdue","2025-10-28","Critical","true","Validated"
"API-016","Boston Pharma","API Manufacturing","PLC","Schneider","PLC-5823","2025-03-03","Current","2025-12-27","Critical","true","Pending"
"API-017","Boston Pharma","API Manufacturing","Environmental Monitor","Schneider","EnvironmentalMonitor-2178","2025-06-20","Current","2025-10-29","Critical","true","Validated"
"API-018","Boston Pharma","API Manufacturing","Safety PLC","Emerson","SafetyPLC-2855","2025-03-13","Overdue","2026-01-16","Critical","true","Validated"
"API-019","Boston Pharma","API Manufacturing","MES","Rockwell","MES-5903","2025-10-10","Current","2025-12-22","Critical","true","Validated"
"API-020","Boston Pharma","API Manufacturing","Batch Controller","Honeywell","BatchController-7915","2024-11-04","Current","2025-12-08","Critical","true","Validated"
"API-021","Boston Pharma","API Manufacturing","LIMS","Rockwell","LIMS-4790","2025-03-09","Overdue","2026-01-10","Critical","true","Validated"
"API-023","Boston Pharma","API Manufacturing","Safety PLC","Siemens","SafetyPLC-4381","2024-12-04","Current","2025-11-12","Critical","true","Validated"
"API-024","Boston Pharma","API Manufacturing","LIMS","Honeywell","LIMS-3198","2025-02-15","Overdue","2026-01-06","Critical","true","Pending"
"API-025","Boston Pharma","API Manufacturing","Serialization System","Rockwell","SerializationSystem-3866","2025-07-30","Current","2025-12-13","Critical","true","Pending"
"API-026","Boston Pharma","API Manufacturing","Temperature Controller","Schneider","TemperatureController-9448","2025-03-22","Current","2025-12-12","Critical","true","Pending"
"API-028","Boston Pharma","API Manufacturing","SCADA","Schneider","SCADA-1305","2025-09-16","Current","2025-11-07","Critical","true","Pending"
"API-029","Boston Pharma","API Manufacturing","Safety PLC","Rockwell","SafetyPLC-3653","2025-07-01","Overdue","2025-12-07","Critical","true","Validated"
