tag_id,plant,unit,device_type,ip_address,compliance_status,last_audit,audit_findings,remediation_required,policy_violations,certification_status,documentation_complete,change_management,backup_configured
"GEN-001","Pacific Power","Generation Unit","DMS","192.168.197.114","Under Review","2025-09-22T13:35:16.134Z","1","false","2","Not Required","false","false","true"
"GEN-002","Pacific Power","Generation Unit","Grid Controller","192.168.126.112","Under Review","2025-08-01T01:08:12.069Z","1","true","1","Expired","true","false","false"
"GEN-003","Pacific Power","Generation Unit","Environmental Monitor","192.168.135.233","Unknown","2025-08-31T14:43:40.443Z","3","true","2","Certified","true","true","true"
"GEN-004","Pacific Power","Generation Unit","Environmental Monitor","192.168.80.146","Under Review","2025-10-05T16:35:08.483Z","1","false","0","Not Required","false","false","true"
"GEN-005","Pacific Power","Generation Unit","Protection Relay","192.168.248.47","Unknown","2025-07-27T03:29:52.373Z","4","false","1","Not Required","false","true","true"
"GEN-006","Pacific Power","Generation Unit","Protection Relay","192.168.52.155","Compliant","2025-08-16T12:31:42.098Z","1","true","2","Certified","true","true","true"
"GEN-007","Pacific Power","Generation Unit","RTU","192.168.167.236","Compliant","2025-10-13T14:15:54.006Z","3","false","2","Not Required","true","false","true"
"GEN-008","Pacific Power","Generation Unit","IED","192.168.20.57","Unknown","2025-08-18T19:12:19.941Z","0","false","2","Certified","false","true","true"
"GEN-009","Pacific Power","Generation Unit","DMS","192.168.189.229","Non-Compliant","2025-08-16T06:17:12.671Z","2","true","0","Expired","false","false","true"
"GEN-010","Pacific Power","Generation Unit","IED","192.168.216.226","Non-Compliant","2025-10-16T05:05:46.545Z","1","false","0","Not Required","false","true","true"
"GEN-011","Pacific Power","Generation Unit","EMS","192.168.116.107","Unknown","2025-08-14T10:05:50.141Z","4","false","0","Expired","true","false","true"
"GEN-012","Pacific Power","Generation Unit","HMI","192.168.92.7","Compliant","2025-08-01T11:05:23.665Z","2","false","1","Pending","true","true","false"
"GEN-013","Pacific Power","Generation Unit","RTU","192.168.62.81","Non-Compliant","2025-10-17T20:48:59.794Z","4","true","1","Not Required","false","true","true"
