tag_id,plant,unit,instrument_type,ip_address,mac_address,protocol,last_seen,network_status,vlan,nerc_cip,grid_stability
"GEN-002","Pacific Power","Generation Unit","Grid Controller","192.168.72.164","74:07:4e:3c:89:9a","Modbus TCP","2025-10-22T09:56:48.369Z","ON_NETWORK","VLAN-29","true","true"
"GEN-003","Pacific Power","Generation Unit","IED","192.168.224.54","84:07:de:c6:d5:6e","DNP3","2025-10-24T10:48:48.470Z","ON_NETWORK","VLAN-26","true","true"
"GEN-004","Pacific Power","Generation Unit","Grid Controller","192.168.242.100","2f:f3:b1:04:4d:10","IEC 61850","2025-10-18T20:59:45.873Z","ON_NETWORK","VLAN-9","true","true"
"GEN-005","Pacific Power","Generation Unit","EMS","192.168.135.10","ed:d0:8d:61:e3:c0","Modbus TCP","2025-10-22T02:29:32.484Z","ON_NETWORK","VLAN-43","true","true"
"GEN-006","Pacific Power","Generation Unit","SCADA","192.168.140.176","ca:a5:be:a9:81:80","Ethernet/IP","2025-10-20T10:12:18.619Z","ON_NETWORK","VLAN-98","true","true"
"GEN-007","Pacific Power","Generation Unit","RTU","192.168.236.176","58:39:59:5b:9b:af","Ethernet/IP","2025-10-22T11:47:57.793Z","ON_NETWORK","VLAN-94","true","true"
"GEN-008","Pacific Power","Generation Unit","Arc Flash Monitor","192.168.139.205","53:f2:b8:6b:4c:c8","DNP3","2025-10-18T09:04:25.233Z","ON_NETWORK","VLAN-51","true","true"
"GEN-009","Pacific Power","Generation Unit","DMS","192.168.216.57","d1:75:eb:03:5b:bb","IEC 61850","2025-10-21T09:07:07.292Z","ON_NETWORK","VLAN-87","true","true"
"GEN-010","Pacific Power","Generation Unit","Grid Controller","192.168.16.72","81:54:f1:4d:d9:f6","Modbus TCP","2025-10-24T07:02:45.141Z","ON_NETWORK","VLAN-48","true","true"
"GEN-012","Pacific Power","Generation Unit","SCADA","192.168.109.155","1d:90:00:9d:23:ac","IEC 61850","2025-10-21T16:13:54.121Z","ON_NETWORK","VLAN-27","true","true"
"GEN-013","Pacific Power","Generation Unit","Environmental Monitor","192.168.99.180","ef:9f:83:aa:15:56","IEC 61850","2025-10-20T22:00:34.949Z","ON_NETWORK","VLAN-82","true","true"
"GEN-014","Pacific Power","Generation Unit","SCADA","192.168.168.118","b8:84:d3:ec:75:ae","Ethernet/IP","2025-10-18T09:57:53.703Z","ON_NETWORK","VLAN-49","true","true"
"GEN-016","Pacific Power","Generation Unit","Protection Relay","192.168.89.235","9d:87:e6:f5:c8:e1","DNP3","2025-10-23T16:15:22.259Z","ON_NETWORK","VLAN-10","true","true"
"GEN-018","Pacific Power","Generation Unit","EMS","192.168.182.97","78:b6:9e:7a:0f:79","DNP3","2025-10-18T19:25:48.038Z","ON_NETWORK","VLAN-10","true","true"
"GEN-019","Pacific Power","Generation Unit","IED","192.168.238.148","a6:fd:83:28:a2:c7","Modbus TCP","2025-10-18T22:49:35.673Z","ON_NETWORK","VLAN-53","true","true"
"GEN-020","Pacific Power","Generation Unit","IED","192.168.182.1","71:21:f2:23:1b:27","Ethernet/IP","2025-10-22T21:14:35.538Z","ON_NETWORK","VLAN-3","true","true"
"GEN-021","Pacific Power","Generation Unit","EMS","192.168.225.193","63:a7:d1:35:a9:a4","Ethernet/IP","2025-10-21T10:53:06.293Z","ON_NETWORK","VLAN-90","true","true"
"GEN-022","Pacific Power","Generation Unit","HMI","192.168.51.162","3c:dd:14:08:ff:f3","DNP3","2025-10-18T02:34:00.737Z","OFF_NETWORK","VLAN-62","true","true"
"GEN-023","Pacific Power","Generation Unit","EMS","192.168.0.19","b5:8f:22:87:4c:90","DNP3","2025-10-21T15:59:49.039Z","ON_NETWORK","VLAN-4","true","true"
