WorkOrder,Equipment_Tag,Description,Priority,Status,Due_Date,Estimated_Hours,Craft,System
WO-2025-001234,P-101A,Crude Feed Pump - Replace Mechanical Seal,High,Open,2025-09-28,8,Mechanical,Crude Unit
WO-2025-001235,E-201B,Heat Exchanger - Tube Bundle Inspection,Medium,Open,2025-10-05,12,Inspection,Heat Exchange
WO-2025-001236,C-301,FCC Main Compressor - Vibration Analysis,Critical,Open,2025-09-30,4,Reliability,FCC Unit
WO-2025-001237,V-401,Fractionator - Level Transmitter Calibration,Low,Open,2025-10-12,2,Instrument,FCC Unit
WO-2025-001238,F-101,Crude Heater - Burner Maintenance,High,In Progress,2025-09-29,16,Mechanical,Crude Unit
WO-2025-001239,T-501,Storage Tank - Cathodic Protection Test,Medium,Open,2025-10-08,6,Electrical,Tank Farm
WO-2025-001240,P-201B,Hydrotreater Feed Pump - Bearing Replacement,Critical,Planned,2025-10-02,10,Mechanical,Hydrotreating
WO-2025-001241,E-301A,FCC Air Blower Cooler - Fan Belt Replacement,Low,Open,2025-10-15,3,Mechanical,FCC Unit
WO-2025-001242,I-101,Crude Unit Control Valve - Actuator Repair,Medium,Open,2025-10-07,5,Instrument,Crude Unit
WO-2025-001243,R-301,FCC Reactor - Refractory Inspection,High,Planned,2025-11-01,24,Refractory,FCC Unit
