asset_id,device_name,device_type,manufacturer,model,ip_address,mac_address,subnet,vlan,protocol,plant_unit,location,criticality,security_zone,firmware_version,last_seen,network_status,patch_level
OT0001,ALKYL-SAFETY_PLC-001,SAFETY_PLC,Siemens,Siemens_SAFETY_PLC_1012,10.5.33.142,33:98:da:77:d6:44,10.5.0.0/16,3036,DNP3,ALKYL,ALKYL-J41,Critical,Level_1_Control,v7.0.76,2025-09-22T21:59:58.586Z,Online,Outdated
OT0002,ALKYL-RTU-002,RTU,Invensys,Invensys_RTU_915,10.5.234.242,29:d8:5d:e9:d5:86,10.5.0.0/16,3764,Ethernet_IP,ALKYL,ALKYL-D85,Low,Level_1_Control,v8.7.95,2025-09-23T17:03:22.396Z,Online,Outdated
OT0003,TANK_FARM-RTU-003,RTU,Rockwell,Rockwell_RTU_145,10.6.113.205,74:39:d1:cf:ac:49,10.6.0.0/16,4005,Ethernet_IP,TANK_FARM,TANK_FARM-R35,Low,DMZ,v2.3.96,2025-09-23T12:48:18.162Z,Online,Critical
OT0004,CCR-FIREWALL-004,FIREWALL,Siemens,Siemens_FIREWALL_398,10.4.76.60,0a:91:0d:f4:0b:45,10.4.0.0/16,3387,HART,CCR,CCR-K3,Critical,Level_2_Supervision,v8.0.52,2025-09-22T23:27:39.994Z,Offline,Current
OT0005,ALKYL-DRIVE-005,DRIVE,Siemens,Siemens_DRIVE_566,10.5.133.56,f2:00:7a:11:50:c7,10.5.0.0/16,1275,IEC_61850,ALKYL,ALKYL-E66,High,Level_3_Operations,v7.7.65,2025-09-23T02:08:38.374Z,Online,Outdated
OT0006,ALKYL-SWITCH-006,SWITCH,Yokogawa,Yokogawa_SWITCH_234,10.5.28.107,69:2c:80:2a:93:f6,10.5.0.0/16,812,Ethernet_IP,ALKYL,ALKYL-I70,High,Level_2_Supervision,v5.8.72,2025-09-23T05:38:21.793Z,Online,Outdated
OT0007,UTILITIES-PLC-007,PLC,Rockwell,Rockwell_PLC_971,10.7.45.83,3f:ec:4a:85:f1:6e,10.7.0.0/16,2059,DNP3,UTILITIES,UTILITIES-O76,Low,Level_1_Control,v9.6.24,2025-09-23T16:11:45.264Z,Online,Current
OT0008,UTILITIES-SWITCH-008,SWITCH,Foxboro,Foxboro_SWITCH_656,10.7.225.124,55:7a:32:4c:cf:25,10.7.0.0/16,106,Ethernet_IP,UTILITIES,UTILITIES-K94,Critical,Level_0_Process,v1.0.14,2025-09-23T14:27:45.713Z,Online,Critical
OT0009,CCR-HISTORIAN-009,HISTORIAN,Yokogawa,Yokogawa_HISTORIAN_283,10.4.103.158,63:e2:01:64:66:24,10.4.0.0/16,1535,IEC_61850,CCR,CCR-U91,Critical,DMZ,v6.1.73,2025-09-23T16:11:41.896Z,Online,Outdated
OT0010,FCC-RTU-010,RTU,Emerson,Emerson_RTU_241,10.2.145.95,3b:bb:de:ab:87:38,10.2.0.0/16,3003,Ethernet_IP,FCC,FCC-U65,Critical,Level_3_Operations,v1.7.97,2025-09-22T23:45:34.482Z,Online,Current
OT0011,CDU-SWITCH-011,SWITCH,ABB,ABB_SWITCH_296,10.1.132.87,1c:22:21:3c:07:0a,10.1.0.0/16,1196,OPC_UA,CDU,CDU-V74,Medium,DMZ,v5.5.59,2025-09-23T03:16:52.754Z,Online,Outdated
OT0012,TANK_FARM-SAFETY_PLC-012,SAFETY_PLC,Rockwell,Rockwell_SAFETY_PLC_614,10.6.152.170,7c:43:16:ed:5b:8a,10.6.0.0/16,1825,IEC_61850,TANK_FARM,TANK_FARM-H40,High,DMZ,v7.0.67,2025-09-23T08:23:13.104Z,Warning,Critical
OT0013,FCC-SWITCH-013,SWITCH,Emerson,Emerson_SWITCH_386,10.2.11.177,68:ef:34:79:94:79,10.2.0.0/16,2516,Modbus_TCP,FCC,FCC-I75,Critical,DMZ,v6.6.59,2025-09-23T02:51:10.203Z,Online,Current
OT0014,ALKYL-HMI-014,HMI,Honeywell,Honeywell_HMI_541,10.5.249.59,1c:f5:f9:84:3d:0a,10.5.0.0/16,113,OPC_UA,ALKYL,ALKYL-X81,Low,DMZ,v2.6.31,2025-09-23T01:07:20.619Z,Online,Current
OT0015,TANK_FARM-SWITCH-015,SWITCH,Yokogawa,Yokogawa_SWITCH_602,10.6.158.239,12:2f:98:e8:10:e1,10.6.0.0/16,2905,IEC_61850,TANK_FARM,TANK_FARM-Z80,High,Level_1_Control,v1.7.26,2025-09-23T01:40:58.172Z,Online,Current
OT0016,CCR-ROUTER-016,ROUTER,Invensys,Invensys_ROUTER_969,10.4.40.71,fa:3a:e8:68:7e:20,10.4.0.0/16,3595,HART,CCR,CCR-T81,High,Level_2_Supervision,v9.5.21,2025-09-23T00:22:24.924Z,Online,Critical
OT0017,CDU-RTU-017,RTU,Schneider,Schneider_RTU_1030,10.1.65.125,f5:de:a1:96:6d:cf,10.1.0.0/16,2358,Modbus_TCP,CDU,CDU-G39,Low,Corporate,v6.8.56,2025-09-23T03:40:57.779Z,Online,Critical
OT0018,UTILITIES-HISTORIAN-018,HISTORIAN,GE,GE_HISTORIAN_869,10.7.139.226,9b:ec:41:af:7c:ce,10.7.0.0/16,1979,Foundation_Fieldbus,UTILITIES,UTILITIES-O46,Low,Level_3_Operations,v8.7.36,2025-09-23T10:14:43.849Z,Online,Current
