timestamp,tag_name,value,quality,plant_unit,measurement_type,unit_of_measure,alarm_status,trend_direction
2025-09-21T20:28:12.462Z,ALKYL-TIC-001,992.31,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-21T20:33:12.462Z,ALKYL-TIC-001,989.97,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T20:38:12.462Z,ALKYL-TIC-001,985.27,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-21T20:43:12.462Z,ALKYL-TIC-001,1031.23,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T20:48:12.462Z,ALKYL-TIC-001,1042.36,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T20:53:12.462Z,ALKYL-TIC-001,998.77,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T20:58:12.462Z,ALKYL-TIC-001,997.87,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T21:03:12.462Z,ALKYL-TIC-001,1015.14,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T21:08:12.462Z,ALKYL-TIC-001,1021.19,Good,ALKYL,Pressure,DEG_F,High,Rising
2025-09-21T21:13:12.462Z,ALKYL-TIC-001,980.53,Good,ALKYL,Pressure,DEG_F,LoLo,Oscillating
2025-09-21T21:18:12.462Z,ALKYL-TIC-001,995.34,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T21:23:12.462Z,ALKYL-TIC-001,1028.75,Bad,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-21T21:28:12.462Z,ALKYL-TIC-001,1021.66,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T21:33:12.462Z,ALKYL-TIC-001,1054.07,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T21:38:12.462Z,ALKYL-TIC-001,1041.60,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T21:43:12.462Z,ALKYL-TIC-001,1016.08,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T21:48:12.462Z,ALKYL-TIC-001,972.94,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T21:53:12.462Z,ALKYL-TIC-001,979.75,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T21:58:12.462Z,ALKYL-TIC-001,997.48,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-21T22:03:12.462Z,ALKYL-TIC-001,1005.95,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T22:08:12.462Z,ALKYL-TIC-001,1036.64,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-21T22:13:12.462Z,ALKYL-TIC-001,1071.53,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T22:18:12.462Z,ALKYL-TIC-001,1080.53,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-21T22:23:12.462Z,ALKYL-TIC-001,1053.95,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-21T22:28:12.462Z,ALKYL-TIC-001,1010.48,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T22:33:12.462Z,ALKYL-TIC-001,1001.43,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T22:38:12.462Z,ALKYL-TIC-001,1024.87,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T22:43:12.462Z,ALKYL-TIC-001,1055.44,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T22:48:12.462Z,ALKYL-TIC-001,1079.16,Good,ALKYL,Pressure,DEG_F,Low,Falling
2025-09-21T22:53:12.462Z,ALKYL-TIC-001,1065.24,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-21T22:58:12.462Z,ALKYL-TIC-001,1064.37,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T23:03:12.462Z,ALKYL-TIC-001,1081.70,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T23:08:12.462Z,ALKYL-TIC-001,1110.21,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-21T23:13:12.462Z,ALKYL-TIC-001,1148.07,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T23:18:12.462Z,ALKYL-TIC-001,1182.84,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T23:23:12.462Z,ALKYL-TIC-001,1132.26,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-21T23:28:12.462Z,ALKYL-TIC-001,1110.74,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-21T23:33:12.462Z,ALKYL-TIC-001,1097.87,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T23:38:12.462Z,ALKYL-TIC-001,1114.15,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-21T23:43:12.462Z,ALKYL-TIC-001,1071.99,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-21T23:48:12.462Z,ALKYL-TIC-001,1076.56,Good,ALKYL,Pressure,DEG_F,High,Oscillating
2025-09-21T23:53:12.462Z,ALKYL-TIC-001,1084.66,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-21T23:58:12.462Z,ALKYL-TIC-001,1038.49,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T00:03:12.462Z,ALKYL-TIC-001,1088.45,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T00:08:12.462Z,ALKYL-TIC-001,1039.53,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T00:13:12.462Z,ALKYL-TIC-001,1059.16,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T00:18:12.462Z,ALKYL-TIC-001,1039.03,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T00:23:12.462Z,ALKYL-TIC-001,1032.57,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T00:28:12.462Z,ALKYL-TIC-001,1062.22,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T00:33:12.462Z,ALKYL-TIC-001,1024.54,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T00:38:12.462Z,ALKYL-TIC-001,1067.88,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T00:43:12.462Z,ALKYL-TIC-001,1065.01,Good,ALKYL,Pressure,DEG_F,Low,Steady
2025-09-22T00:48:12.462Z,ALKYL-TIC-001,1028.98,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T00:53:12.462Z,ALKYL-TIC-001,1046.04,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T00:58:12.462Z,ALKYL-TIC-001,1073.76,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T01:03:12.462Z,ALKYL-TIC-001,1067.89,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T01:08:12.462Z,ALKYL-TIC-001,1051.08,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T01:13:12.462Z,ALKYL-TIC-001,1006.01,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T01:18:12.462Z,ALKYL-TIC-001,957.80,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T01:23:12.462Z,ALKYL-TIC-001,972.58,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T01:28:12.462Z,ALKYL-TIC-001,1006.43,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T01:33:12.462Z,ALKYL-TIC-001,1025.26,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T01:38:12.462Z,ALKYL-TIC-001,1049.79,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T01:43:12.462Z,ALKYL-TIC-001,1035.18,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T01:48:12.462Z,ALKYL-TIC-001,989.85,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T01:53:12.462Z,ALKYL-TIC-001,1001.46,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T01:58:12.462Z,ALKYL-TIC-001,997.73,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T02:03:12.462Z,ALKYL-TIC-001,957.98,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T02:08:12.462Z,ALKYL-TIC-001,938.48,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T02:13:12.462Z,ALKYL-TIC-001,929.29,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T02:18:12.462Z,ALKYL-TIC-001,954.03,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T02:23:12.462Z,ALKYL-TIC-001,999.28,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T02:28:12.462Z,ALKYL-TIC-001,1023.27,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T02:33:12.462Z,ALKYL-TIC-001,1019.06,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T02:38:12.462Z,ALKYL-TIC-001,1023.59,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T02:43:12.462Z,ALKYL-TIC-001,989.47,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T02:48:12.462Z,ALKYL-TIC-001,944.77,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T02:53:12.462Z,ALKYL-TIC-001,918.94,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T02:58:12.462Z,ALKYL-TIC-001,941.63,Bad,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T03:03:12.462Z,ALKYL-TIC-001,976.97,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T03:08:12.462Z,ALKYL-TIC-001,984.91,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T03:13:12.462Z,ALKYL-TIC-001,1022.43,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T03:18:12.462Z,ALKYL-TIC-001,1005.84,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T03:23:12.462Z,ALKYL-TIC-001,973.68,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T03:28:12.462Z,ALKYL-TIC-001,926.36,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T03:33:12.462Z,ALKYL-TIC-001,949.11,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T03:38:12.462Z,ALKYL-TIC-001,936.83,Good,ALKYL,Pressure,DEG_F,Normal,Rising
2025-09-22T03:43:12.462Z,ALKYL-TIC-001,921.59,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T03:48:12.462Z,ALKYL-TIC-001,883.64,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T03:53:12.462Z,ALKYL-TIC-001,927.10,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T03:58:12.462Z,ALKYL-TIC-001,921.94,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T04:03:12.462Z,ALKYL-TIC-001,935.89,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T04:08:12.462Z,ALKYL-TIC-001,954.60,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T04:13:12.462Z,ALKYL-TIC-001,923.39,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T04:18:12.462Z,ALKYL-TIC-001,943.90,Good,ALKYL,Pressure,DEG_F,Normal,Steady
2025-09-22T04:23:12.462Z,ALKYL-TIC-001,949.36,Good,ALKYL,Pressure,DEG_F,Normal,Falling
2025-09-22T04:28:12.462Z,ALKYL-TIC-001,914.15,Good,ALKYL,Pressure,DEG_F,Normal,Oscillating
2025-09-22T04:33:12.462Z,ALKYL-TIC-001,924.11,Good,ALKYL,Pressure,DEG_F,Normal,Steady
