tag_id,plant,plant_code,unit,unit_code,area,device_type,security_tier,criticality,manufacturer,model,serial_number,description,location,installation_date,expected_ip,expected_protocol,vlan,safety_system,last_maintenance,warranty_expires
TMMK-STM-0001,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Press Controller,1,Critical,SICK,SIC-PressController-4107,SN-KETN9PX7LC,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 9",2022-05-08,192.168.10.10,OPC UA,100,,2025-10-19,2026-02-23
TMMK-STM-0002,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Press Controller,1,Critical,Cognex,COG-PressController-4351,SN-N5CPNKA441,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2022-10-26,192.168.10.10,Modbus TCP,100,,2025-05-14,2026-07-15
TMMK-STM-0003,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 4,Press Controller,1,Critical,Fanuc,FAN-PressController-1770,SN-OH97FSEX84,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 9",2022-09-15,192.168.10.10,Ethernet/IP,100,,2025-03-14,2027-11-04
TMMK-STM-0004,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 2,Press Controller,1,Critical,SICK,SIC-PressController-9142,SN-45SSEO0CWB,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 6",2020-08-29,192.168.10.10,EtherCAT,100,,2025-10-12,2026-04-21
TMMK-STM-0005,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Press Controller,1,Critical,Komatsu,KOM-PressController-3220,SN-M4BLT5K5F4,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 9",2022-02-28,192.168.10.10,Modbus TCP,100,,2025-12-04,2026-04-19
TMMK-STM-0006,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Press Controller,1,Critical,Keyence,KEY-PressController-9018,SN-HW62I94SM7,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 5",2025-05-20,192.168.10.10,Modbus TCP,100,,2025-05-06,2026-10-13
TMMK-STM-0007,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Press Controller,1,Critical,Siemens,SIE-PressController-5792,SN-0FYKNABL2N,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 10",2021-02-07,192.168.10.10,PROFINET,100,,2025-05-16,2028-01-07
TMMK-STM-0008,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Press Controller,1,Critical,Cognex,COG-PressController-9447,SN-3TLJGVCSJE,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 1",2023-06-18,192.168.10.10,EtherCAT,100,,2025-01-25,2027-08-01
TMMK-STM-0009,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 3,Press Controller,1,Critical,Cognex,COG-PressController-1581,SN-QC2N6QOTJ5,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 2",2020-12-29,192.168.10.10,EtherCAT,100,,2025-09-27,2026-10-17
TMMK-STM-0010,Kentucky Manufacturing,TMMK,Stamping,STM,Stamping - Zone 1,Press Controller,1,Critical,Cognex,COG-PressController-3308,SN-K75KC0MCCR,Press Controller for Camry/RAV4/Lexus ES production,"Georgetown, KY, Building A, Area 5",2023-11-13,192.168.10.10,Modbus TCP,100,,2025-05-12,2027-05-30
