tag_id,discovered_ip,mac_address,hostname,device_type,vendor,model,firmware_version,protocol,network_segment,first_seen,last_seen,discovery_method,confidence,open_ports,vulnerabilities,cve_ids,os_family,is_managed,last_patch_date,risk_score
TMMK-STM-0001,192.168.10.10,a0:8b:3b:28:72:09,tmmk-stm-0001,Press Controller,Schuler,SCH-PressController-8193,2.6.12,PROFINET,VLAN-100,2025-11-28T17:41:20.339Z,2026-01-23T17:41:20.339Z,Active Probe,95,"80,443,22,502",0,,VxWorks,false,2025-05-31,37
TMMK-STM-0002,192.168.10.10,3d:f4:65:a0:53:75,tmmk-stm-0002,Press Controller,Keyence,KEY-PressController-1363,1.2.74,OPC UA,VLAN-100,2025-08-27T17:41:20.339Z,2026-01-23T17:41:20.339Z,Protocol Analysis,71,"80,443,44818",1,CVE-2024-20359,VxWorks,false,2025-11-28,80
TMMK-STM-0003,192.168.10.10,06:bd:bf:be:e9:5d,tmmk-stm-0003,Press Controller,Rockwell,ROC-PressController-1212,5.5.68,OPC UA,VLAN-100,2025-11-09T17:41:20.339Z,2026-01-23T17:41:20.339Z,Network Scan,83,"102,502",0,,QNX,true,2025-07-09,88
TMMK-STM-0005,192.168.10.10,55:e7:73:aa:fd:bc,tmmk-stm-0005,Press Controller,Komatsu,KOM-PressController-2368,3.9.78,PROFINET,VLAN-100,2025-10-15T17:41:20.339Z,2026-01-23T17:41:20.339Z,Active Probe,95,"80,443,502",3,CVE-2024-3400;CVE-2024-20359;CVE-2023-46604,Proprietary RTOS,false,2025-01-23,57
TMMK-STM-0006,192.168.10.10,d1:d8:4e:6e:e7:54,tmmk-stm-0006,Press Controller,Keyence,KEY-PressController-3578,1.9.36,PROFINET,VLAN-100,2025-10-30T17:41:20.339Z,2026-01-23T17:41:20.339Z,Active Probe,74,"80,443,502",3,CVE-2024-3400;CVE-2024-20359;CVE-2023-46604,VxWorks,true,2025-02-12,37
TMMK-STM-0007,192.168.10.10,1a:e4:55:4d:d6:a3,tmmk-stm-0007,Press Controller,Keyence,KEY-PressController-2181,2.9.24,Modbus TCP,VLAN-100,2025-11-17T17:41:20.339Z,2026-01-23T17:41:20.339Z,Protocol Analysis,75,"80,443,44818",1,CVE-2024-20359,Linux RT,true,2025-07-27,75
,192.168.10.10,91:72:b6:de:0e:5b,,Press Controller,SICK,,5.8.16,PROFINET,VLAN-100,2025-09-04T17:41:20.339Z,2026-01-23T17:41:20.339Z,Network Scan,95,"80,443,22,502",0,,QNX,true,2025-10-14,84
TMMK-STM-0009,192.168.10.10,2c:a9:11:fd:10:b8,tmmk-stm-0009,Press Controller,Siemens,SIE-PressController-3611,4.0.95,PROFINET,VLAN-100,2025-09-17T17:41:20.339Z,2026-01-23T17:41:20.339Z,Network Scan,91,"80,443,22,502",1,CVE-2024-21893,Proprietary RTOS,false,2025-10-14,81
TMMK-STM-0014,192.168.10.10,6a:f9:88:a6:39:05,tmmk-stm-0014,Press Controller,SICK,SIC-PressController-1633,4.0.68,OPC UA,VLAN-100,2025-10-23T17:41:20.339Z,2026-01-23T17:41:20.339Z,Active Probe,80,"80,443,22,502",0,,VxWorks,false,2025-11-17,48
,192.168.10.10,16:42:25:ff:ea:b0,,Servo Drive,Rockwell,,1.3.57,Ethernet/IP,VLAN-100,2025-10-09T17:41:20.339Z,2026-01-23T17:41:20.339Z,Active Probe,81,"80,443",1,CVE-2023-20198,Windows Embedded,true,2025-07-27,32
