tag_id,discovered_ip,mac_address,hostname,device_type,vendor,model,firmware_version,protocol,network_segment,first_seen,last_seen,discovery_method,confidence,open_ports,vulnerabilities,cve_ids,os_family,is_managed,last_patch_date,risk_score
CGN-TRB-0001,192.168.10.1,c6:33:2c:e1:f0:9a,CGN-TRB-voltage-transformer,Voltage Transformer,SEL,SEL-VoltageTransformer-2785,1.9.90,Foundation Fieldbus,VLAN-100,2025-12-31T21:56:59.697Z,2026-01-02T14:41:05.082Z,Active Probe,85,80,4,,,true,2025-09-03,76
CGN-TRB-0002,192.168.10.2,b0:80:4c:b0:61:bd,CGN-TRB-disconnect-switch,Disconnect Switch,Toshiba,TOS-DisconnectSwitch-5905,5.4.42,Profibus,VLAN-100,2025-10-25T16:07:40.648Z,2026-01-02T02:15:23.596Z,Active Probe,95,"80,443",0,CVE-2021-45332,,false,2025-06-25,70
CGN-TRB-0003,192.168.10.3,fa:bb:97:31:68:bc,CGN-TRB-circuit-breaker,Circuit Breaker,ABB,,3.8.58,Foundation Fieldbus,VLAN-100,2025-10-17T04:38:27.069Z,2026-01-06T22:31:51.624Z,Passive Monitoring,96,"80,443,22,161",2,CVE-2024-19215,,true,2025-02-04,73
,192.168.10.4,22:09:d3:95:9a:89,,Unknown,Unknown,,1.0.23,HART,VLAN-100,2025-12-23T15:45:18.241Z,2026-01-03T12:00:14.868Z,Active Probe,81,"80,443,22,161",3,,,true,2025-11-17,79
CGN-TRB-0006,192.168.10.6,61:d3:c9:1a:b6:60,CGN-TRB-ied,IED,Schneider,SCH-IED-7349,4.0.62,DNP3,VLAN-100,2025-09-25T22:29:12.321Z,2026-01-04T22:13:00.529Z,Network Scan,83,"502,102",1,CVE-2022-35856;CVE-2024-12473,QNX,false,2025-04-18,82
CGN-TRB-0007,192.168.10.7,f8:98:27:97:9b:ca,CGN-TRB-protection-relay,Protection Relay,Hitachi,HIT-ProtectionRelay-4310,2.0.40,Modbus TCP,VLAN-100,2025-11-15T08:00:32.074Z,2026-01-02T00:50:41.937Z,Protocol Analysis,73,"502,102,44818,2222",0,CVE-2021-10346;CVE-2023-6228,QNX,false,2025-09-15,82
CGN-TRB-0008,192.168.10.8,6a:0e:7c:e0:73:d2,CGN-TRB-protection-relay,Protection Relay,Eaton,EAT-ProtectionRelay-5222,4.1.38,Modbus TCP,VLAN-100,2025-11-06T02:16:01.409Z,2026-01-07T11:04:43.598Z,Network Scan,92,"502,102,44818",0,,Linux RT,false,2025-06-30,80
CGN-TRB-0009,192.168.10.9,5f:41:ef:dc:b1:e4,CGN-TRB-disconnect-switch,Disconnect Switch,Hitachi,HIT-DisconnectSwitch-3529,2.5.82,Profibus,VLAN-100,2025-10-10T03:02:04.613Z,2026-01-03T07:25:17.501Z,Protocol Analysis,75,"80,443",5,CVE-2023-38243,,false,2025-06-30,63
CGN-TRB-0010,192.168.10.10,95:4c:16:c1:d3:1f,CGN-TRB-hmi,HMI,Toshiba,TOS-HMI-8898,1.1.16,DNP3,VLAN-100,2025-11-21T10:16:26.480Z,2026-01-04T05:38:24.068Z,Passive Monitoring,80,"502,102",0,,QNX,false,2025-11-23,78
CGN-TRB-0011,192.168.10.11,cc:f2:bc:dd:66:ab,CGN-TRB-dfr,DFR,GE,GE-DFR-8851,3.5.39,Modbus,VLAN-100,2025-09-25T11:50:01.151Z,2026-01-05T16:55:35.399Z,SNMP,86,"80,443,22,161,502",6,CVE-2024-17709,,true,2026-01-02,67
CGN-TRB-0013,192.168.10.13,f1:8e:55:13:ab:f9,CGN-TRB-ied,IED,ABB,ABB-IED-4585,1.9.14,IEC 61850,VLAN-100,2025-10-22T10:02:58.319Z,2026-01-04T19:14:21.686Z,Protocol Analysis,91,"502,102,44818,2222,20000",2,CVE-2022-7669;CVE-2020-9070,VxWorks,false,2025-01-11,82
CGN-TRB-0014,192.168.10.14,4a:9e:36:82:98:ab,CGN-TRB-circuit-breaker,Circuit Breaker,Siemens,SIE-CircuitBreaker-9591,2.7.52,HART,VLAN-100,2025-07-18T21:09:33.860Z,2026-01-03T17:00:56.882Z,Protocol Analysis,89,"80,443,22,161,502",3,CVE-2024-34794,,false,2025-12-23,67
CGN-TRB-0016,192.168.10.16,4d:07:5f:b2:6b:da,CGN-TRB-voltage-transformer,Voltage Transformer,Toshiba,TOS-VoltageTransformer-4688,2.1.83,Profibus,VLAN-100,2025-08-07T23:20:08.610Z,2026-01-06T03:39:33.277Z,Protocol Analysis,86,"80,443,22",5,,,true,2025-08-18,73
CGN-TRB-0017,192.168.10.17,be:21:35:8e:bc:6a,CGN-TRB-ied,IED,Siemens,SIE-IED-9378,5.2.23,Ethernet/IP,VLAN-100,2025-08-09T00:37:27.474Z,2026-01-03T07:11:50.912Z,Protocol Analysis,78,"502,102",2,CVE-2024-30664;CVE-2020-46103,Windows Embedded,false,2025-08-31,84
CGN-TRB-0018,192.168.10.18,25:f9:a7:59:dc:6b,CGN-TRB-current-transformer,Current Transformer,Hitachi,HIT-CurrentTransformer-4059,4.7.80,Modbus,VLAN-100,2025-08-06T18:04:37.780Z,2026-01-04T18:34:32.496Z,Protocol Analysis,75,"80,443,22,161,502",7,CVE-2023-9497,,false,2025-06-02,75
