tag_id,plant,plant_code,unit,unit_code,area,device_type,security_tier,criticality,manufacturer,model,serial_number,description,location,installation_date,expected_ip,expected_protocol,vlan,safety_system,last_maintenance,warranty_expires
CGN-TRB-0001,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,SCADA RTU,1,Critical,Toshiba,TOS-SCADARTU-9446,SN-mk501wv5-3Q675E,SCADA RTU for Turbine Hall operations,"Turbine Hall, Station 1",2021-12-05,192.168.10.1,IEC 61850,100,SIS-TRB,2025-03-02,2027-08-27
CGN-TRB-0002,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Metering Unit,2,Critical,Schneider,SCH-MeteringUnit-3805,SN-mk501wv6-JTDF82,Metering Unit for Turbine Hall operations,"Turbine Hall, Station 2",2025-10-29,192.168.10.2,Foundation Fieldbus,100,SIS-TRB,2025-06-25,2026-10-04
CGN-TRB-0003,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Phasor Measurement Unit,1,Critical,Siemens,SIE-PhasorMeasurementUnit-5981,SN-mk501wv6-GJA5VR,Phasor Measurement Unit for Turbine Hall operations,"Turbine Hall, Station 3",2020-03-09,192.168.10.3,OPC UA,100,SIS-TRB,2025-12-04,2028-12-25
CGN-TRB-0004,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Battery Monitor,2,Critical,SEL,SEL-BatteryMonitor-8241,SN-mk501wv6-HV34CS,Battery Monitor for Turbine Hall operations,"Turbine Hall, Station 4",2025-03-22,192.168.10.4,Profibus,100,SIS-TRB,2025-03-28,2027-04-26
CGN-TRB-0005,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,IED,1,Critical,GE,GE-IED-2196,SN-mk501wv6-MIZP87,IED for Turbine Hall operations,"Turbine Hall, Station 5",2018-08-07,192.168.10.5,Modbus TCP,100,SIS-TRB,2025-09-24,2028-11-25
CGN-TRB-0006,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Manual Indicator,3,Critical,SEL,SEL-ManualIndicator-6567,SN-mk501wv6-IPT6BZ,Manual Indicator for Turbine Hall operations,"Turbine Hall, Station 6",2020-10-21,,,100,SIS-TRB,2025-12-17,2028-01-09
CGN-TRB-0007,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Capacitor Bank Controller,2,Critical,ABB,ABB-CapacitorBankController-3916,SN-mk501wv6-CI9KSN,Capacitor Bank Controller for Turbine Hall operations,"Turbine Hall, Station 7",2023-07-19,192.168.10.7,Profibus,100,SIS-TRB,2025-11-25,2026-05-16
CGN-TRB-0008,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Voltage Transformer,2,Critical,Toshiba,TOS-VoltageTransformer-9974,SN-mk501wv6-9T387K,Voltage Transformer for Turbine Hall operations,"Turbine Hall, Station 8",2024-01-31,192.168.10.8,Profibus,100,SIS-TRB,2025-09-21,2027-04-04
CGN-TRB-0009,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Capacitor Bank Controller,2,Critical,SEL,SEL-CapacitorBankController-9430,SN-mk501wv7-FD75CL,Capacitor Bank Controller for Turbine Hall operations,"Turbine Hall, Station 9",2023-06-16,192.168.10.9,Foundation Fieldbus,100,SIS-TRB,2025-10-21,2027-11-23
CGN-TRB-0010,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Metering Unit,2,Critical,Eaton,EAT-MeteringUnit-7561,SN-mk501wv7-FLYLOB,Metering Unit for Turbine Hall operations,"Turbine Hall, Station 10",2022-08-08,192.168.10.10,Modbus,100,SIS-TRB,2025-06-30,2027-06-05
