tag_id,discovered_ip,mac_address,hostname,device_type,vendor,model,firmware_version,protocol,network_segment,first_seen,last_seen,discovery_method,confidence,open_ports,vulnerabilities,cve_ids,os_family,is_managed,last_patch_date,risk_score
CGN-TRB-0001,192.168.10.1,93:56:ba:65:da:b7,CGN-TRB-scada-rtu,SCADA RTU,Toshiba,,4.1.99,IEC 61850,VLAN-100,2025-08-21T15:24:57.263Z,2026-01-06T00:22:51.404Z,Active Probe,78,"502,102,44818,2222",1,CVE-2023-42664,QNX,true,2025-03-08,86
CGN-TRB-0003,192.168.10.3,74:84:84:71:09:88,CGN-TRB-phasor-measurement-unit,Phasor Measurement Unit,Siemens,SIE-PhasorMeasurementUnit-5981,1.4.28,OPC UA,VLAN-100,2025-07-31T00:43:30.099Z,2026-01-02T05:48:54.072Z,Passive Monitoring,91,502,2,,Windows Embedded,false,2025-09-16,89
CGN-TRB-0004,192.168.10.4,4e:20:be:6f:39:79,CGN-TRB-battery-monitor,Battery Monitor,SEL,SEL-BatteryMonitor-8241,5.8.39,Profibus,VLAN-100,2025-09-02T12:00:26.933Z,2026-01-05T23:48:18.514Z,Active Probe,89,"80,443,22",4,CVE-2022-4701;CVE-2021-9309,,true,2025-05-06,79
CGN-TRB-0005,192.168.10.5,96:d3:46:da:b1:ce,CGN-TRB-ied,IED,GE,GE-IED-2196,4.9.73,Modbus TCP,VLAN-100,2025-07-12T22:33:21.302Z,2026-01-03T01:31:52.494Z,Protocol Analysis,99,"502,102,44818",1,CVE-2020-16643;CVE-2023-7246,Windows Embedded,true,2025-08-16,79
CGN-TRB-0007,192.168.10.7,fa:50:94:7c:67:46,,Capacitor Bank Controller,Unknown,,5.9.19,Profibus,VLAN-100,2025-11-08T05:27:53.013Z,2026-01-03T18:16:41.682Z,Passive Monitoring,91,"80,443,22,161,502",3,CVE-2022-21230;CVE-2023-29748,,true,2025-04-14,84
CGN-TRB-0009,192.168.10.9,db:7f:d9:f7:96:09,CGN-TRB-capacitor-bank-controller,Capacitor Bank Controller,SEL,SEL-CapacitorBankController-9430,4.9.64,Foundation Fieldbus,VLAN-100,2025-10-10T17:29:38.368Z,2026-01-01T23:37:10.063Z,SNMP,82,"80,443,22,161,502",3,CVE-2020-47338;CVE-2023-12522,,true,2025-10-13,74
CGN-TRB-0010,192.168.10.10,1c:31:ba:92:69:95,CGN-TRB-metering-unit,Metering Unit,Eaton,EAT-MeteringUnit-7561,3.3.70,Modbus,VLAN-100,2025-09-04T06:43:47.721Z,2026-01-03T10:01:02.149Z,Active Probe,77,"80,443,22,161,502",2,CVE-2021-32276;CVE-2022-30421,,false,2025-07-25,74
CGN-TRB-0011,192.168.10.11,20:4a:41:72:46:b1,CGN-TRB-dfr,DFR,Toshiba,TOS-DFR-2551,3.7.45,Foundation Fieldbus,VLAN-100,2025-10-31T09:02:30.238Z,2026-01-04T02:34:22.798Z,Active Probe,75,"80,443",0,,,false,2025-09-15,68
CGN-TRB-0013,192.168.10.13,43:84:2a:3d:26:3b,CGN-TRB-scada-rtu,SCADA RTU,GE,GE-SCADARTU-7563,2.3.51,DNP3,VLAN-100,2025-09-17T15:16:48.681Z,2026-01-03T00:56:35.083Z,Protocol Analysis,88,"502,102",2,,QNX,true,2025-11-13,90
CGN-TRB-0015,192.168.10.15,82:d5:9e:9f:ec:51,CGN-TRB-current-transformer,Current Transformer,Toshiba,TOS-CurrentTransformer-7492,5.0.70,HART,VLAN-100,2025-10-03T10:15:38.632Z,2026-01-04T17:35:18.054Z,SNMP,86,"80,443",6,CVE-2024-15887,,true,2025-03-15,78
