tag_id,plant,unit,device_type,ip_address,mac_address,switch_port,vlan,network_segment,communication_peers,bandwidth_usage,latency_ms,packet_loss,uptime_hours
"BOD-001","Detroit Assembly","Body Shop","Assembly Robot","192.168.110.135","4c:72:e8:e2:d1:44","SW22","VLAN-6","Safety Network","1","67","22","4.31086010224229","7813"
"BOD-002","Detroit Assembly","Body Shop","HMI Station","192.168.229.89","f0:ac:c0:c7:79:e4","SW37","VLAN-54","Safety Network","10","53","5","2.6094502687296584","5759"
"BOD-003","Detroit Assembly","Body Shop","Quality Scanner","192.168.110.83","75:01:ef:c9:b6:f2","SW39","VLAN-96","DMZ","5","37","41","4.369973804954059","3141"
"BOD-004","Detroit Assembly","Body Shop","Safety PLC","192.168.136.233","c3:e6:14:ca:34:62","SW8","VLAN-17","Control Network","8","9","21","1.5516520992918237","2093"
"BOD-005","Detroit Assembly","Body Shop","Quality Scanner","192.168.245.46","5a:14:06:b1:45:5f","SW23","VLAN-1","Safety Network","10","24","16","4.234025275434754","8497"
"BOD-006","Detroit Assembly","Body Shop","Safety PLC","192.168.131.111","2f:9b:dd:b0:3f:2f","SW1","VLAN-1","Control Network","1","49","5","2.3688579036143107","7970"
"BOD-007","Detroit Assembly","Body Shop","Safety PLC","192.168.107.149","bd:fc:05:5c:5b:ef","SW32","VLAN-36","Safety Network","6","43","5","1.0729726077943391","6189"
"BOD-008","Detroit Assembly","Body Shop","Robot Controller","192.168.230.32","30:5b:f5:65:99:fd","SW23","VLAN-81","Control Network","9","46","12","4.790639115465945","3315"
"BOD-009","Detroit Assembly","Body Shop","Robot Controller","192.168.60.165","18:9f:0c:0c:10:10","SW37","VLAN-22","DMZ","1","20","41","0.43267960891928525","4048"
"BOD-010","Detroit Assembly","Body Shop","Quality Scanner","192.168.129.252","61:d8:37:6b:3f:10","SW14","VLAN-47","Safety Network","10","68","13","4.480625417893583","1051"
"BOD-011","Detroit Assembly","Body Shop","HMI Station","192.168.199.167","e9:04:7d:aa:8a:c8","SW42","VLAN-27","Control Network","9","9","34","3.460547928266191","367"
"BOD-012","Detroit Assembly","Body Shop","Safety PLC","192.168.95.215","41:e0:64:52:f1:c7","SW6","VLAN-41","Control Network","7","16","9","3.272891433391628","279"
"BOD-013","Detroit Assembly","Body Shop","Safety PLC","192.168.23.149","37:a2:0c:da:a2:02","SW31","VLAN-20","Safety Network","5","15","21","3.2015394778024975","8195"
"BOD-014","Detroit Assembly","Body Shop","Vision System","192.168.230.61","7a:d4:b7:dd:a7:f5","SW47","VLAN-46","Control Network","8","34","35","4.288839205752883","3925"
"BOD-015","Detroit Assembly","Body Shop","Robot Controller","192.168.181.68","73:5b:9f:a1:fe:df","SW28","VLAN-33","Safety Network","10","62","30","2.122132394308134","4794"
"BOD-016","Detroit Assembly","Body Shop","Assembly Robot","192.168.146.129","83:bf:1e:57:bb:b4","SW15","VLAN-12","Control Network","7","20","48","2.6147218103168592","431"
"BOD-017","Detroit Assembly","Body Shop","HMI Station","192.168.81.166","6c:9b:73:ae:ab:2f","SW46","VLAN-70","Corporate Network","1","28","27","1.2728104036094046","8745"
"BOD-018","Detroit Assembly","Body Shop","Safety PLC","192.168.164.61","9e:54:7a:a3:fd:72","SW18","VLAN-72","Control Network","3","59","37","0.2072317333351137","7913"
"BOD-019","Detroit Assembly","Body Shop","Vision System","192.168.30.154","0a:c9:52:fc:10:7c","SW34","VLAN-40","Corporate Network","8","24","30","4.904620241303922","3727"
"BOD-020","Detroit Assembly","Body Shop","Assembly Robot","192.168.64.52","84:98:9c:ff:87:fa","SW25","VLAN-55","Corporate Network","5","9","11","0.23890029496896226","8502"
"BOD-021","Detroit Assembly","Body Shop","Conveyor Controller","192.168.2.101","8c:bb:3a:8e:4e:5b","SW30","VLAN-25","Control Network","1","81","35","4.409030912838892","3804"
