tag_id,plant,unit,device_type,ip_address,mac_address,protocol,vendor,model,firmware_version,last_seen,discovery_method,confidence_level,network_segment,criticality,is_managed,has_security_patches
"BOD-001","Detroit Assembly","Body Shop","Assembly Robot","192.168.38.96","34:0a:ba:11:d9:bf","Modbus TCP","Honeywell","AssemblyRobot-5328","2.3.29","2025-10-20T17:08:30.852Z","SNMP","88","VLAN-70","Medium","true","true"
"BOD-002","Detroit Assembly","Body Shop","HMI Station","192.168.200.89","71:94:74:2a:d0:94","Ethernet/IP","Emerson","HMIStation-5027","1.3.17","2025-10-18T20:41:21.606Z","Protocol Analysis","74","VLAN-24","Low","true","true"
"BOD-003","Detroit Assembly","Body Shop","Quality Scanner","192.168.166.212","0f:fd:07:d3:7d:5d","DNP3","Emerson","QualityScanner-5251","4.9.30","2025-10-18T10:58:13.512Z","Asset Inventory","62","VLAN-18","Critical","true","false"
"BOD-004","Detroit Assembly","Body Shop","Safety PLC","192.168.142.89","4e:f9:9f:2b:11:1b","Profinet","Siemens","SafetyPLC-5377","3.8.3","2025-10-24T13:10:27.011Z","Asset Inventory","65","VLAN-30","Critical","true","true"
"BOD-005","Detroit Assembly","Body Shop","Quality Scanner","192.168.244.73","e8:b8:12:8a:f2:7a","Ethernet/IP","Siemens","QualityScanner-8045","2.4.30","2025-10-20T06:55:27.286Z","Asset Inventory","87","VLAN-21","High","true","false"
"BOD-006","Detroit Assembly","Body Shop","Safety PLC","192.168.63.18","64:31:3b:01:82:80","Profinet","Schneider","SafetyPLC-2095","1.5.95","2025-10-18T09:17:02.288Z","SNMP","94","VLAN-78","Critical","true","true"
"BOD-007","Detroit Assembly","Body Shop","Safety PLC","192.168.67.59","17:d1:c9:49:5f:0b","Modbus TCP","Rockwell","SafetyPLC-2374","5.6.84","2025-10-24T01:51:15.360Z","SNMP","61","VLAN-2","Low","true","false"
"BOD-008","Detroit Assembly","Body Shop","Robot Controller","192.168.116.72","ce:04:87:c2:00:07","Profinet","Siemens","RobotController-4771","2.2.38","2025-10-19T08:57:26.112Z","Network Scan","76","VLAN-18","Medium","true","true"
"BOD-009","Detroit Assembly","Body Shop","Robot Controller","192.168.95.174","a3:f7:39:15:34:a1","Profinet","Siemens","RobotController-6879","1.8.73","2025-10-22T03:26:02.894Z","Network Scan","63","VLAN-69","Medium","false","false"
"BOD-010","Detroit Assembly","Body Shop","Quality Scanner","192.168.86.102","bb:14:5b:40:45:e1","Profinet","Rockwell","QualityScanner-6857","4.3.92","2025-10-24T14:12:36.424Z","SNMP","77","VLAN-40","Critical","true","true"
"BOD-011","Detroit Assembly","Body Shop","HMI Station","192.168.62.58","84:55:e2:ed:0e:38","Ethernet/IP","Schneider","HMIStation-1196","4.7.93","2025-10-20T05:18:13.607Z","SNMP","66","VLAN-45","Medium","false","false"
"BOD-012","Detroit Assembly","Body Shop","Safety PLC","192.168.240.181","27:41:2b:0e:ce:ff","OPC UA","Honeywell","SafetyPLC-2593","5.8.57","2025-10-23T06:25:32.812Z","SNMP","91","VLAN-11","Critical","true","false"
