tag_id,plant,unit,device_type,ip_address,security_level,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"BOD-001","Detroit Assembly","Body Shop","Assembly Robot","192.168.196.194","4","3","4","2025-09-25T18:33:15.587Z","false","true","None","true","false","4"
"BOD-002","Detroit Assembly","Body Shop","HMI Station","192.168.70.27","4","1","1","2025-10-18T01:37:27.844Z","true","false","Basic","false","false","81"
"BOD-003","Detroit Assembly","Body Shop","Quality Scanner","192.168.190.134","4","1","0","2025-09-25T20:58:51.815Z","true","true","None","true","true","54"
"BOD-004","Detroit Assembly","Body Shop","Safety PLC","192.168.93.77","2","7","4","2025-10-17T15:08:02.740Z","true","false","Enterprise","false","false","12"
"BOD-005","Detroit Assembly","Body Shop","Quality Scanner","192.168.230.122","3","5","4","2025-09-30T21:07:25.931Z","true","true","None","true","false","98"
"BOD-006","Detroit Assembly","Body Shop","Safety PLC","192.168.31.69","2","4","3","2025-09-27T09:08:41.746Z","true","false","Enterprise","true","false","3"
"BOD-007","Detroit Assembly","Body Shop","Safety PLC","192.168.137.7","2","2","2","2025-10-01T11:28:27.158Z","true","true","Basic","true","true","88"
"BOD-008","Detroit Assembly","Body Shop","Robot Controller","192.168.133.172","2","3","4","2025-10-17T03:09:08.615Z","true","true","Basic","true","true","2"
"BOD-009","Detroit Assembly","Body Shop","Robot Controller","192.168.213.250","4","1","0","2025-10-11T05:50:22.551Z","false","true","Advanced","false","true","8"
"BOD-010","Detroit Assembly","Body Shop","Quality Scanner","192.168.240.191","2","0","2","2025-09-25T13:06:14.968Z","false","true","None","false","false","89"
"BOD-011","Detroit Assembly","Body Shop","HMI Station","192.168.68.207","3","9","2","2025-10-18T01:49:48.001Z","false","false","Advanced","false","false","33"
"BOD-012","Detroit Assembly","Body Shop","Safety PLC","192.168.85.148","1","4","2","2025-09-28T16:57:10.346Z","false","true","None","false","true","36"
"BOD-013","Detroit Assembly","Body Shop","Safety PLC","192.168.112.147","3","4","1","2025-10-06T07:00:38.709Z","true","true","None","false","true","47"
"BOD-014","Detroit Assembly","Body Shop","Vision System","192.168.143.69","1","3","0","2025-10-18T10:43:51.986Z","true","false","None","true","true","2"
"BOD-015","Detroit Assembly","Body Shop","Robot Controller","192.168.142.57","1","4","4","2025-09-27T12:00:42.885Z","true","false","Enterprise","true","true","72"
"BOD-016","Detroit Assembly","Body Shop","Assembly Robot","192.168.107.200","1","8","3","2025-10-15T17:44:13.970Z","true","true","Basic","false","true","5"
"BOD-017","Detroit Assembly","Body Shop","HMI Station","192.168.146.218","4","8","0","2025-10-03T15:38:49.056Z","false","false","Advanced","false","true","42"
"BOD-018","Detroit Assembly","Body Shop","Safety PLC","192.168.234.32","2","2","1","2025-10-20T15:18:59.938Z","false","false","None","false","false","22"
"BOD-019","Detroit Assembly","Body Shop","Vision System","192.168.61.131","4","0","0","2025-10-22T12:02:27.200Z","false","true","Basic","true","true","9"
"BOD-020","Detroit Assembly","Body Shop","Assembly Robot","192.168.87.34","1","5","1","2025-10-16T06:56:00.796Z","false","true","None","false","true","51"
"BOD-021","Detroit Assembly","Body Shop","Conveyor Controller","192.168.19.159","4","3","0","2025-10-20T10:22:07.824Z","false","true","None","true","false","85"
"BOD-022","Detroit Assembly","Body Shop","Conveyor Controller","192.168.43.161","2","1","1","2025-10-21T10:19:37.349Z","false","false","None","true","false","68"
"BOD-023","Detroit Assembly","Body Shop","Safety PLC","192.168.85.200","4","3","2","2025-10-16T12:47:53.127Z","false","true","Advanced","true","true","12"
"BOD-024","Detroit Assembly","Body Shop","Robot Controller","192.168.217.69","3","6","0","2025-10-19T08:10:13.111Z","false","true","None","false","false","19"
"BOD-025","Detroit Assembly","Body Shop","Conveyor Controller","192.168.199.209","3","3","4","2025-09-28T01:41:00.484Z","true","false","Advanced","true","false","98"
"BOD-026","Detroit Assembly","Body Shop","Assembly Robot","192.168.253.62","3","2","4","2025-09-25T12:01:01.329Z","true","false","Enterprise","false","true","44"
"BOD-027","Detroit Assembly","Body Shop","Safety PLC","192.168.94.110","4","7","2","2025-10-07T22:55:04.649Z","false","true","Enterprise","true","false","36"
