tag_id,plant,unit,device_type,criticality,manufacturer,model,location,description,installation_date,expected_ip,expected_protocol
"BOD-0001","Toyota Georgetown","Body Shop","Welding Robot","Critical","ABB","WeldingRobot-8932","Body Shop - Station 1","Welding Robot for Body Shop operations","2025-01-02","192.168.162.162","Modbus TCP"
"BOD-0002","Toyota Georgetown","Body Shop","Assembly Robot","Critical","Siemens","AssemblyRobot-3195","Body Shop - Station 2","Assembly Robot for Body Shop operations","2023-12-26","192.168.195.232","Modbus TCP"
"BOD-0003","Toyota Georgetown","Body Shop","Quality Scanner","Low","Emerson","QualityScanner-7792","Body Shop - Station 3","Quality Scanner for Body Shop operations","2025-09-30","192.168.7.175","OPC UA"
"BOD-0004","Toyota Georgetown","Body Shop","Conveyor Controller","Low","Rockwell","ConveyorController-2604","Body Shop - Station 4","Conveyor Controller for Body Shop operations","2024-12-16","192.168.206.83","Ethernet/IP"
"BOD-0005","Toyota Georgetown","Body Shop","HMI Station","Medium","Emerson","HMIStation-1329","Body Shop - Station 5","HMI Station for Body Shop operations","2021-09-16","192.168.53.113","Ethernet/IP"
"BOD-0006","Toyota Georgetown","Body Shop","Quality Scanner","Low","ABB","QualityScanner-2846","Body Shop - Station 6","Quality Scanner for Body Shop operations","2021-09-22","192.168.228.30","Modbus TCP"
"BOD-0007","Toyota Georgetown","Body Shop","Safety PLC","High","Siemens","SafetyPLC-5759","Body Shop - Station 7","Safety PLC for Body Shop operations","2021-09-08","192.168.251.215","OPC UA"
"BOD-0008","Toyota Georgetown","Body Shop","Welding Robot","Medium","Honeywell","WeldingRobot-8376","Body Shop - Station 8","Welding Robot for Body Shop operations","2022-04-08","192.168.102.11","Profinet"
"BOD-0009","Toyota Georgetown","Body Shop","Safety PLC","Low","Siemens","SafetyPLC-6600","Body Shop - Station 9","Safety PLC for Body Shop operations","2023-09-26","192.168.154.35","DNP3"
"BOD-0010","Toyota Georgetown","Body Shop","Conveyor Controller","Low","Siemens","ConveyorController-6633","Body Shop - Station 10","Conveyor Controller for Body Shop operations","2023-03-03","192.168.230.171","OPC UA"
"BOD-0011","Toyota Georgetown","Body Shop","Robot Controller","Critical","Honeywell","RobotController-8089","Body Shop - Station 11","Robot Controller for Body Shop operations","2023-08-03","192.168.251.41","Profinet"
"BOD-0012","Toyota Georgetown","Body Shop","SCADA System","Critical","Rockwell","SCADASystem-3766","Body Shop - Station 12","SCADA System for Body Shop operations","2022-08-31","192.168.104.205","Profinet"
"BOD-0013","Toyota Georgetown","Body Shop","SCADA System","Medium","ABB","SCADASystem-9178","Body Shop - Station 13","SCADA System for Body Shop operations","2024-08-23","192.168.52.247","Modbus TCP"
"BOD-0014","Toyota Georgetown","Body Shop","Paint Robot","Low","Rockwell","PaintRobot-1730","Body Shop - Station 14","Paint Robot for Body Shop operations","2023-10-19","192.168.220.157","DNP3"
"BOD-0015","Toyota Georgetown","Body Shop","Quality Scanner","High","Honeywell","QualityScanner-3565","Body Shop - Station 15","Quality Scanner for Body Shop operations","2023-01-10","192.168.38.166","OPC UA"
"BOD-0016","Toyota Georgetown","Body Shop","Assembly Robot","Critical","Honeywell","AssemblyRobot-6135","Body Shop - Station 16","Assembly Robot for Body Shop operations","2022-11-17","192.168.151.227","Profinet"
"BOD-0017","Toyota Georgetown","Body Shop","Paint Robot","Critical","Honeywell","PaintRobot-8903","Body Shop - Station 17","Paint Robot for Body Shop operations","2022-02-02","192.168.180.85","Profinet"
"BOD-0018","Toyota Georgetown","Body Shop","Conveyor Controller","Medium","Honeywell","ConveyorController-2103","Body Shop - Station 18","Conveyor Controller for Body Shop operations","2025-03-02","192.168.223.177","OPC UA"
"BOD-0019","Toyota Georgetown","Body Shop","HMI Station","High","Siemens","HMIStation-5249","Body Shop - Station 19","HMI Station for Body Shop operations","2022-07-30","192.168.121.194","DNP3"
"BOD-0020","Toyota Georgetown","Body Shop","Assembly Robot","Critical","Siemens","AssemblyRobot-4535","Body Shop - Station 20","Assembly Robot for Body Shop operations","2022-04-23","192.168.76.154","Profinet"
"BOD-0021","Toyota Georgetown","Body Shop","Assembly Robot","Low","Emerson","AssemblyRobot-1682","Body Shop - Station 21","Assembly Robot for Body Shop operations","2021-12-09","192.168.11.9","Modbus TCP"
"BOD-0022","Toyota Georgetown","Body Shop","Quality Scanner","Low","ABB","QualityScanner-5182","Body Shop - Station 22","Quality Scanner for Body Shop operations","2023-03-04","192.168.241.33","Profinet"
"PAI-0023","Toyota Georgetown","Paint Shop","Vision System","High","Schneider","VisionSystem-5685","Paint Shop - Station 1","Vision System for Paint Shop operations","2022-06-22","192.168.90.140","Profinet"
"PAI-0024","Toyota Georgetown","Paint Shop","Vision System","Critical","Emerson","VisionSystem-5748","Paint Shop - Station 2","Vision System for Paint Shop operations","2024-02-20","192.168.133.167","Ethernet/IP"
"PAI-0025","Toyota Georgetown","Paint Shop","SCADA System","Critical","Rockwell","SCADASystem-5986","Paint Shop - Station 3","SCADA System for Paint Shop operations","2021-02-27","192.168.16.52","Ethernet/IP"
"PAI-0026","Toyota Georgetown","Paint Shop","Safety PLC","Low","Honeywell","SafetyPLC-3318","Paint Shop - Station 4","Safety PLC for Paint Shop operations","2024-01-06","192.168.115.24","Modbus TCP"
"PAI-0027","Toyota Georgetown","Paint Shop","Vision System","High","ABB","VisionSystem-7483","Paint Shop - Station 5","Vision System for Paint Shop operations","2025-04-23","192.168.41.167","DNP3"
"PAI-0028","Toyota Georgetown","Paint Shop","Quality Scanner","Low","Honeywell","QualityScanner-2065","Paint Shop - Station 6","Quality Scanner for Paint Shop operations","2022-11-28","192.168.171.213","Profinet"
"PAI-0029","Toyota Georgetown","Paint Shop","SCADA System","Low","Schneider","SCADASystem-4060","Paint Shop - Station 7","SCADA System for Paint Shop operations","2023-01-13","192.168.35.167","OPC UA"
"PAI-0030","Toyota Georgetown","Paint Shop","Vision System","High","Rockwell","VisionSystem-9752","Paint Shop - Station 8","Vision System for Paint Shop operations","2021-10-14","192.168.146.60","OPC UA"
"PAI-0031","Toyota Georgetown","Paint Shop","Safety PLC","Low","Siemens","SafetyPLC-4256","Paint Shop - Station 9","Safety PLC for Paint Shop operations","2025-06-06","192.168.148.70","Ethernet/IP"
"PAI-0032","Toyota Georgetown","Paint Shop","Vision System","High","Rockwell","VisionSystem-5282","Paint Shop - Station 10","Vision System for Paint Shop operations","2021-04-14","192.168.23.195","OPC UA"
"PAI-0033","Toyota Georgetown","Paint Shop","Robot Controller","Medium","Siemens","RobotController-3020","Paint Shop - Station 11","Robot Controller for Paint Shop operations","2021-11-27","192.168.199.59","Modbus TCP"
"PAI-0034","Toyota Georgetown","Paint Shop","Paint Robot","High","Honeywell","PaintRobot-7975","Paint Shop - Station 12","Paint Robot for Paint Shop operations","2023-05-25","192.168.227.128","OPC UA"
"PAI-0035","Toyota Georgetown","Paint Shop","Robot Controller","Critical","Emerson","RobotController-1409","Paint Shop - Station 13","Robot Controller for Paint Shop operations","2022-10-24","192.168.89.122","Ethernet/IP"
"PAI-0036","Toyota Georgetown","Paint Shop","Conveyor Controller","High","Rockwell","ConveyorController-1479","Paint Shop - Station 14","Conveyor Controller for Paint Shop operations","2022-06-21","192.168.211.102","Modbus TCP"
"PAI-0037","Toyota Georgetown","Paint Shop","Conveyor Controller","Medium","Emerson","ConveyorController-3291","Paint Shop - Station 15","Conveyor Controller for Paint Shop operations","2023-11-06","192.168.57.173","Profinet"
"PAI-0038","Toyota Georgetown","Paint Shop","HMI Station","High","Rockwell","HMIStation-1882","Paint Shop - Station 16","HMI Station for Paint Shop operations","2025-04-18","192.168.143.44","Modbus TCP"
"PAI-0039","Toyota Georgetown","Paint Shop","SCADA System","Critical","Schneider","SCADASystem-9580","Paint Shop - Station 17","SCADA System for Paint Shop operations","2021-12-21","192.168.232.156","Ethernet/IP"
"PAI-0040","Toyota Georgetown","Paint Shop","Welding Robot","Low","Emerson","WeldingRobot-8210","Paint Shop - Station 18","Welding Robot for Paint Shop operations","2022-12-07","192.168.175.33","Modbus TCP"
