tag_id,plant,unit,device_type,manufacturer,model,ip_address,hostname,asil_level
PLC-BODY-001,Plant B,Body Shop,PLC,Siemens,S7-1500,192.168.20.10,PLC-BODY-001,ASIL-B
PLC-BODY-002,Plant B,Body Shop,PLC,Siemens,S7-1500,192.168.20.11,PLC-BODY-002,ASIL-B
ROBOT-BODY-001,Plant B,Body Shop,Industrial_Robot,FANUC,R-2000iC,192.168.20.100,ROBOT-BODY-001,ASIL-C
ROBOT-BODY-002,Plant B,Body Shop,Industrial_Robot,FANUC,R-2000iC,192.168.20.101,ROBOT-BODY-002,ASIL-C
ROBOT-BODY-003,Plant B,Body Shop,Industrial_Robot,FANUC,R-2000iC,192.168.20.102,ROBOT-BODY-003,ASIL-C
ROBOT-BODY-004,Plant B,Body Shop,Industrial_Robot,FANUC,R-2000iC,192.168.20.103,ROBOT-BODY-004,ASIL-C
HMI-BODY-001,Plant B,Body Shop,HMI,Siemens,WinCC,192.168.20.20,HMI-BODY-001,QM
AGV-BODY-001,Plant B,Body Shop,AGV,Mobile Industrial,MiR200,192.168.20.150,AGV-BODY-001,ASIL-D
AGV-BODY-002,Plant B,Body Shop,AGV,Mobile Industrial,MiR200,192.168.20.151,AGV-BODY-002,ASIL-D
PLC-PAINT-001,Plant B,Paint Shop,PLC,Allen Bradley,ControlLogix,192.168.21.10,PLC-PAINT-001,ASIL-B
ROBOT-PAINT-001,Plant B,Paint Shop,Paint_Robot,ABB,IRB 5500,192.168.21.100,ROBOT-PAINT-001,ASIL-C
ROBOT-PAINT-002,Plant B,Paint Shop,Paint_Robot,ABB,IRB 5500,192.168.21.101,ROBOT-PAINT-002,ASIL-C
ROBOT-PAINT-003,Plant B,Paint Shop,Paint_Robot,ABB,IRB 5500,192.168.21.102,ROBOT-PAINT-003,ASIL-C
HMI-PAINT-001,Plant B,Paint Shop,HMI,Rockwell,FactoryTalk,192.168.21.20,HMI-PAINT-001,QM
PLC-ASSY-001,Plant B,Assembly Line,PLC,Siemens,S7-1500,192.168.22.10,PLC-ASSY-001,ASIL-B
PLC-ASSY-002,Plant B,Assembly Line,PLC,Siemens,S7-1500,192.168.22.11,PLC-ASSY-002,ASIL-B
ROBOT-ASSY-001,Plant B,Assembly Line,Collaborative_Robot,Universal Robots,UR10,192.168.22.100,ROBOT-ASSY-001,ASIL-D
ROBOT-ASSY-002,Plant B,Assembly Line,Collaborative_Robot,Universal Robots,UR10,192.168.22.101,ROBOT-ASSY-002,ASIL-D
ROBOT-ASSY-003,Plant B,Assembly Line,Collaborative_Robot,Universal Robots,UR10,192.168.22.102,ROBOT-ASSY-003,ASIL-D
SCADA-ASSY-001,Plant B,Assembly Line,SCADA,Wonderware,InTouch,192.168.22.30,SCADA-ASSY-001,QM
VISION-ASSY-001,Plant B,Assembly Line,Vision_System,Cognex,In-Sight,192.168.22.200,VISION-ASSY-001,ASIL-C
VISION-ASSY-002,Plant B,Assembly Line,Vision_System,Cognex,In-Sight,192.168.22.201,VISION-ASSY-002,ASIL-C
PLC-WELD-001,Plant B,Weld Shop,PLC,Mitsubishi,Q Series,192.168.23.10,PLC-WELD-001,ASIL-B
ROBOT-WELD-001,Plant B,Weld Shop,Welding_Robot,KUKA,KR 210,192.168.23.100,ROBOT-WELD-001,ASIL-C
ROBOT-WELD-002,Plant B,Weld Shop,Welding_Robot,KUKA,KR 210,192.168.23.101,ROBOT-WELD-002,ASIL-C
ROBOT-WELD-003,Plant B,Weld Shop,Welding_Robot,KUKA,KR 210,192.168.23.102,ROBOT-WELD-003,ASIL-C

