tag_id,ip_address,hostname,mac_address,device_type,manufacturer,model,is_managed,has_security_patches,encryption_enabled,authentication_required,firewall_protected,access_control,vulnerabilities,cve_count,last_seen,confidence_level
,192.168.20.10,PLC-BODY-001,00:1B:2C:3D:4E:01,PLC,Siemens,S7-1500,true,true,false,true,true,Role-Based,0,0,2024-11-05,100
,192.168.20.11,PLC-BODY-002,00:1B:2C:3D:4E:02,PLC,Siemens,S7-1500,true,true,false,true,true,Role-Based,0,0,2024-11-05,100
,192.168.20.100,ROBOT-BODY-001,00:1B:2C:3D:4E:03,Industrial_Robot,FANUC,R-2000iC,true,true,false,true,true,Password,1,1,2024-11-05,95
,192.168.20.101,ROBOT-BODY-002,00:1B:2C:3D:4E:04,Industrial_Robot,FANUC,R-2000iC,true,false,false,true,true,Password,3,2,2024-11-05,95
,192.168.20.20,HMI-BODY-001,00:1B:2C:3D:4E:05,HMI,Siemens,WinCC,true,true,true,true,true,Role-Based,0,0,2024-11-05,100
,192.168.21.10,PLC-PAINT-001,00:1B:2C:3D:4E:06,PLC,Allen Bradley,ControlLogix,true,true,false,true,true,Role-Based,0,0,2024-11-05,100
,192.168.21.11,PLC-PAINT-002,00:1B:2C:3D:4E:07,PLC,Allen Bradley,ControlLogix,true,true,false,true,true,Role-Based,0,0,2024-11-05,100
,192.168.21.100,ROBOT-PAINT-001,00:1B:2C:3D:4E:08,Paint_Robot,ABB,IRB 5500,true,true,false,false,true,None,0,0,2024-11-05,90
,192.168.21.101,ROBOT-PAINT-002,00:1B:2C:3D:4E:09,Paint_Robot,ABB,IRB 5500,true,true,false,false,true,None,0,0,2024-11-05,90
,192.168.21.20,HMI-PAINT-001,00:1B:2C:3D:4E:10,HMI,Rockwell,FactoryTalk,true,true,true,true,true,Role-Based,2,1,2024-11-05,95
,192.168.22.10,PLC-ASSY-001,00:1B:2C:3D:4E:11,PLC,Siemens,S7-1500,true,true,false,true,true,Role-Based,0,0,2024-11-05,100
,192.168.22.100,ROBOT-ASSY-001,00:1B:2C:3D:4E:12,Collaborative_Robot,Universal Robots,UR10,true,true,false,true,true,Role-Based,0,0,2024-11-05,100
,192.168.22.101,ROBOT-ASSY-002,00:1B:2C:3D:4E:13,Collaborative_Robot,Universal Robots,UR10,true,true,false,true,true,Role-Based,0,0,2024-11-05,100
,192.168.22.30,SCADA-ASSY-001,00:1B:2C:3D:4E:14,SCADA,Wonderware,InTouch,true,true,true,true,true,Role-Based,1,1,2024-11-05,95
,192.168.22.200,VISION-ASSY-001,00:1B:2C:3D:4E:15,Vision_System,Cognex,In-Sight,false,false,false,false,true,None,0,0,2024-11-05,85

