tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,installation_date,expected_ip,expected_protocol
"BOD-001","Toyota Georgetown","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","KUKA","HMIStation-1668","Body Shop - Station 1","2025-08-16","192.168.46.195","Modbus TCP"
"BOD-002","Toyota Georgetown","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","KUKA","AssemblyRobot-4254","Body Shop - Station 2","2025-09-23","192.168.50.69","Profinet"
"BOD-003","Toyota Georgetown","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","Siemens","AssemblyRobot-5965","Body Shop - Station 3","2025-07-13","192.168.149.49","Ethernet/IP"
"BOD-004","Toyota Georgetown","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","Siemens","SafetyPLC-1634","Body Shop - Station 4","2025-08-18","192.168.184.143","Profinet"
"BOD-005","Toyota Georgetown","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","Rockwell","ConveyorController-4617","Body Shop - Station 5","2025-04-19","192.168.113.45","Modbus TCP"
"BOD-006","Toyota Georgetown","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","ABB","HMIStation-8146","Body Shop - Station 6","2025-05-31","192.168.245.174","Ethernet/IP"
"BOD-007","Toyota Georgetown","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","ABB","AssemblyRobot-2157","Body Shop - Station 7","2025-02-11","192.168.107.78","OPC UA"
"BOD-008","Toyota Georgetown","Body Shop","SCADA System","Critical","SCADA System for Body Shop operations","Fanuc","SCADASystem-9509","Body Shop - Station 8","2025-05-01","192.168.50.151","Ethernet/IP"
"BOD-009","Toyota Georgetown","Body Shop","Welding Controller","Critical","Welding Controller for Body Shop operations","KUKA","WeldingController-7632","Body Shop - Station 9","2025-01-10","192.168.46.214","Modbus TCP"
"BOD-010","Toyota Georgetown","Body Shop","Vision System","Critical","Vision System for Body Shop operations","Siemens","VisionSystem-4963","Body Shop - Station 10","2025-03-08","192.168.224.227","Modbus TCP"
"BOD-011","Toyota Georgetown","Body Shop","Vision System","Critical","Vision System for Body Shop operations","Fanuc","VisionSystem-8024","Body Shop - Station 11","2025-03-21","192.168.170.246","Modbus TCP"
"BOD-012","Toyota Georgetown","Body Shop","Vision System","Critical","Vision System for Body Shop operations","Siemens","VisionSystem-2383","Body Shop - Station 12","2025-01-10","192.168.75.53","Modbus TCP"
"BOD-013","Toyota Georgetown","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","Fanuc","ConveyorController-4728","Body Shop - Station 13","2025-10-08","192.168.177.136","Ethernet/IP"
"BOD-014","Toyota Georgetown","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","Fanuc","AssemblyRobot-3288","Body Shop - Station 14","2025-06-02","192.168.92.52","Profinet"
"BOD-015","Toyota Georgetown","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","Fanuc","HMIStation-9456","Body Shop - Station 15","2025-02-25","192.168.147.181","Modbus TCP"
"BOD-016","Toyota Georgetown","Body Shop","SCADA System","Critical","SCADA System for Body Shop operations","KUKA","SCADASystem-2191","Body Shop - Station 16","2025-10-13","192.168.206.58","OPC UA"
"BOD-017","Toyota Georgetown","Body Shop","Vision System","Critical","Vision System for Body Shop operations","Rockwell","VisionSystem-5182","Body Shop - Station 17","2025-02-22","192.168.125.13","Ethernet/IP"
"BOD-018","Toyota Georgetown","Body Shop","Vision System","Critical","Vision System for Body Shop operations","Rockwell","VisionSystem-3654","Body Shop - Station 18","2025-05-05","192.168.194.189","Profinet"
"BOD-019","Toyota Georgetown","Body Shop","Vision System","Critical","Vision System for Body Shop operations","KUKA","VisionSystem-8149","Body Shop - Station 19","2025-09-15","192.168.32.189","Ethernet/IP"
"BOD-020","Toyota Georgetown","Body Shop","Vision System","Critical","Vision System for Body Shop operations","Siemens","VisionSystem-8786","Body Shop - Station 20","2025-01-07","192.168.216.54","Modbus TCP"
"BOD-021","Toyota Georgetown","Body Shop","Welding Controller","Critical","Welding Controller for Body Shop operations","ABB","WeldingController-3824","Body Shop - Station 21","2025-08-22","192.168.33.215","OPC UA"
"BOD-022","Toyota Georgetown","Body Shop","Welding Controller","Critical","Welding Controller for Body Shop operations","Fanuc","WeldingController-5464","Body Shop - Station 22","2025-06-04","192.168.185.130","Profinet"
"BOD-023","Toyota Georgetown","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","KUKA","SafetyPLC-2496","Body Shop - Station 23","2024-10-29","192.168.26.110","Profinet"
"BOD-024","Toyota Georgetown","Body Shop","Vision System","Critical","Vision System for Body Shop operations","KUKA","VisionSystem-8921","Body Shop - Station 24","2025-01-18","192.168.91.153","Modbus TCP"
"BOD-025","Toyota Georgetown","Body Shop","Conveyor Controller","Critical","Conveyor Controller for Body Shop operations","Rockwell","ConveyorController-1089","Body Shop - Station 25","2025-05-03","192.168.160.70","Profinet"
"BOD-026","Toyota Georgetown","Body Shop","HMI Station","Critical","HMI Station for Body Shop operations","ABB","HMIStation-5977","Body Shop - Station 26","2025-05-12","192.168.14.215","Ethernet/IP"
"BOD-027","Toyota Georgetown","Body Shop","Safety PLC","Critical","Safety PLC for Body Shop operations","Fanuc","SafetyPLC-4091","Body Shop - Station 27","2025-03-25","192.168.80.201","Profinet"
"PAI-001","Toyota Georgetown","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","KUKA","PaintController-2761","Paint Shop - Station 1","2024-12-18","192.168.193.64","Modbus TCP"
"PAI-002","Toyota Georgetown","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","KUKA","PaintController-9207","Paint Shop - Station 2","2025-01-23","192.168.149.119","Ethernet/IP"
"PAI-003","Toyota Georgetown","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Rockwell","SCADASystem-3693","Paint Shop - Station 3","2024-11-30","192.168.199.42","OPC UA"
"PAI-004","Toyota Georgetown","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","ABB","ConveyorController-4545","Paint Shop - Station 4","2025-05-03","192.168.94.30","Ethernet/IP"
"PAI-005","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","KUKA","AssemblyRobot-2738","Paint Shop - Station 5","2025-08-31","192.168.223.84","Profinet"
"PAI-006","Toyota Georgetown","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Siemens","SCADASystem-8532","Paint Shop - Station 6","2025-05-25","192.168.244.156","Ethernet/IP"
"PAI-007","Toyota Georgetown","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Fanuc","SafetyPLC-5546","Paint Shop - Station 7","2025-07-09","192.168.139.133","OPC UA"
"PAI-008","Toyota Georgetown","Paint Shop","HMI Station","Critical","HMI Station for Paint Shop operations","Fanuc","HMIStation-3664","Paint Shop - Station 8","2025-03-03","192.168.50.219","Modbus TCP"
"PAI-009","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","KUKA","AssemblyRobot-6748","Paint Shop - Station 9","2025-02-13","192.168.43.123","Profinet"
"PAI-010","Toyota Georgetown","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","Siemens","SafetyPLC-2041","Paint Shop - Station 10","2025-09-25","192.168.43.229","Profinet"
"PAI-011","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Fanuc","AssemblyRobot-2224","Paint Shop - Station 11","2025-08-31","192.168.227.170","Modbus TCP"
"PAI-012","Toyota Georgetown","Paint Shop","Welding Controller","Critical","Welding Controller for Paint Shop operations","KUKA","WeldingController-1675","Paint Shop - Station 12","2025-04-21","192.168.96.48","Profinet"
"PAI-013","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Rockwell","AssemblyRobot-6206","Paint Shop - Station 13","2025-10-01","192.168.46.127","Profinet"
"PAI-014","Toyota Georgetown","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","Siemens","PaintController-6251","Paint Shop - Station 14","2025-09-07","192.168.217.24","Ethernet/IP"
"PAI-015","Toyota Georgetown","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","ABB","SafetyPLC-3467","Paint Shop - Station 15","2025-05-21","192.168.219.235","OPC UA"
"PAI-016","Toyota Georgetown","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Fanuc","SCADASystem-3984","Paint Shop - Station 16","2025-01-14","192.168.32.58","Modbus TCP"
"PAI-017","Toyota Georgetown","Paint Shop","Vision System","Critical","Vision System for Paint Shop operations","KUKA","VisionSystem-3591","Paint Shop - Station 17","2025-01-13","192.168.236.127","Profinet"
"PAI-018","Toyota Georgetown","Paint Shop","Safety PLC","Critical","Safety PLC for Paint Shop operations","KUKA","SafetyPLC-4572","Paint Shop - Station 18","2025-07-15","192.168.3.47","Ethernet/IP"
"PAI-019","Toyota Georgetown","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Fanuc","SCADASystem-4015","Paint Shop - Station 19","2025-05-04","192.168.108.220","Modbus TCP"
"PAI-020","Toyota Georgetown","Paint Shop","Conveyor Controller","Critical","Conveyor Controller for Paint Shop operations","KUKA","ConveyorController-6758","Paint Shop - Station 20","2025-03-14","192.168.205.116","Modbus TCP"
"PAI-021","Toyota Georgetown","Paint Shop","Paint Controller","Critical","Paint Controller for Paint Shop operations","ABB","PaintController-2825","Paint Shop - Station 21","2025-02-25","192.168.6.234","Ethernet/IP"
"PAI-022","Toyota Georgetown","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","KUKA","AssemblyRobot-6126","Paint Shop - Station 22","2025-10-13","192.168.147.44","OPC UA"
"PAI-023","Toyota Georgetown","Paint Shop","SCADA System","Critical","SCADA System for Paint Shop operations","Fanuc","SCADASystem-3874","Paint Shop - Station 23","2025-02-16","192.168.9.81","Ethernet/IP"
