tag_id,plant,unit,device_type,criticality,manufacturer,model,location,description,installation_date,expected_ip,expected_protocol
"CRU-0001","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","Critical","ABB","TemperatureTransmitter-9398","Crude Distillation Unit (CDU) - Station 1","Temperature Transmitter for Crude Distillation Unit (CDU) operations","2024-04-06","192.168.201.119","OPC UA"
"CRU-0002","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","High","ABB","TemperatureTransmitter-4247","Crude Distillation Unit (CDU) - Station 2","Temperature Transmitter for Crude Distillation Unit (CDU) operations","2023-03-17","192.168.136.246","Profinet"
"CRU-0003","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","High","Emerson","FlowTransmitter-1769","Crude Distillation Unit (CDU) - Station 3","Flow Transmitter for Crude Distillation Unit (CDU) operations","2023-07-31","192.168.65.189","Modbus TCP"
"CRU-0004","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","Low","Honeywell","ControlValve-2676","Crude Distillation Unit (CDU) - Station 4","Control Valve for Crude Distillation Unit (CDU) operations","2022-04-03","192.168.67.150","Ethernet/IP"
"CRU-0005","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","Medium","Siemens","TemperatureTransmitter-6841","Crude Distillation Unit (CDU) - Station 5","Temperature Transmitter for Crude Distillation Unit (CDU) operations","2022-09-27","192.168.147.37","OPC UA"
"CRU-0006","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","Medium","Honeywell","RTU-6282","Crude Distillation Unit (CDU) - Station 6","RTU for Crude Distillation Unit (CDU) operations","2023-06-18","192.168.240.203","Profinet"
"CRU-0007","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","High","Siemens","TemperatureTransmitter-7158","Crude Distillation Unit (CDU) - Station 7","Temperature Transmitter for Crude Distillation Unit (CDU) operations","2022-09-11","192.168.186.179","DNP3"
"CRU-0008","Gulf Coast Refinery","Crude Distillation Unit (CDU)","HMI","High","Schneider","HMI-8949","Crude Distillation Unit (CDU) - Station 8","HMI for Crude Distillation Unit (CDU) operations","2024-02-21","192.168.79.198","OPC UA"
"CRU-0009","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","Critical","Schneider","RTU-1371","Crude Distillation Unit (CDU) - Station 9","RTU for Crude Distillation Unit (CDU) operations","2022-03-10","192.168.178.247","OPC UA"
"CRU-0010","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","Critical","Schneider","ControlValve-1905","Crude Distillation Unit (CDU) - Station 10","Control Valve for Crude Distillation Unit (CDU) operations","2020-11-23","192.168.158.170","Profinet"
"CRU-0011","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Motor Starter","High","Honeywell","MotorStarter-2473","Crude Distillation Unit (CDU) - Station 11","Motor Starter for Crude Distillation Unit (CDU) operations","2024-10-03","192.168.9.96","OPC UA"
"CRU-0012","Gulf Coast Refinery","Crude Distillation Unit (CDU)","HMI","High","ABB","HMI-3300","Crude Distillation Unit (CDU) - Station 12","HMI for Crude Distillation Unit (CDU) operations","2023-05-19","192.168.93.196","OPC UA"
"CRU-0013","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","Critical","Honeywell","RTU-8150","Crude Distillation Unit (CDU) - Station 13","RTU for Crude Distillation Unit (CDU) operations","2022-11-17","192.168.227.127","Modbus TCP"
"CRU-0014","Gulf Coast Refinery","Crude Distillation Unit (CDU)","DCS","High","Rockwell","DCS-1329","Crude Distillation Unit (CDU) - Station 14","DCS for Crude Distillation Unit (CDU) operations","2024-11-11","192.168.27.76","Profinet"
"CRU-0015","Gulf Coast Refinery","Crude Distillation Unit (CDU)","HMI","Medium","Schneider","HMI-1469","Crude Distillation Unit (CDU) - Station 15","HMI for Crude Distillation Unit (CDU) operations","2024-11-06","192.168.42.187","Profinet"
"CRU-0016","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","Low","ABB","RTU-1193","Crude Distillation Unit (CDU) - Station 16","RTU for Crude Distillation Unit (CDU) operations","2024-10-09","192.168.17.166","Modbus TCP"
"CRU-0017","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","Low","Emerson","PressureTransmitter-6475","Crude Distillation Unit (CDU) - Station 17","Pressure Transmitter for Crude Distillation Unit (CDU) operations","2024-06-08","192.168.58.36","Profinet"
"CRU-0018","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","Critical","Rockwell","RTU-6239","Crude Distillation Unit (CDU) - Station 18","RTU for Crude Distillation Unit (CDU) operations","2022-07-15","192.168.251.106","DNP3"
"CRU-0019","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","Medium","Honeywell","PLC-1284","Crude Distillation Unit (CDU) - Station 19","PLC for Crude Distillation Unit (CDU) operations","2024-06-18","192.168.70.50","OPC UA"
"CRU-0020","Gulf Coast Refinery","Crude Distillation Unit (CDU)","DCS","High","Siemens","DCS-3870","Crude Distillation Unit (CDU) - Station 20","DCS for Crude Distillation Unit (CDU) operations","2024-06-01","192.168.111.247","OPC UA"
"CRU-0021","Gulf Coast Refinery","Crude Distillation Unit (CDU)","HMI","High","Rockwell","HMI-6840","Crude Distillation Unit (CDU) - Station 21","HMI for Crude Distillation Unit (CDU) operations","2025-04-05","192.168.80.181","Profinet"
"CRU-0022","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Safety PLC","Critical","Schneider","SafetyPLC-3324","Crude Distillation Unit (CDU) - Station 22","Safety PLC for Crude Distillation Unit (CDU) operations","2021-08-16","192.168.131.13","DNP3"
"CRU-0023","Gulf Coast Refinery","Crude Distillation Unit (CDU)","DCS","High","ABB","DCS-8254","Crude Distillation Unit (CDU) - Station 23","DCS for Crude Distillation Unit (CDU) operations","2021-05-04","192.168.66.29","Ethernet/IP"
"CRU-0024","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","High","Rockwell","RTU-7627","Crude Distillation Unit (CDU) - Station 24","RTU for Crude Distillation Unit (CDU) operations","2024-04-15","192.168.41.80","Ethernet/IP"
"CRU-0025","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Safety PLC","Medium","Schneider","SafetyPLC-8569","Crude Distillation Unit (CDU) - Station 25","Safety PLC for Crude Distillation Unit (CDU) operations","2023-04-09","192.168.68.254","Ethernet/IP"
"CRU-0026","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Safety PLC","Low","Honeywell","SafetyPLC-6294","Crude Distillation Unit (CDU) - Station 26","Safety PLC for Crude Distillation Unit (CDU) operations","2021-01-31","192.168.11.107","DNP3"
"CRU-0027","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","Low","ABB","PLC-2245","Crude Distillation Unit (CDU) - Station 27","PLC for Crude Distillation Unit (CDU) operations","2022-05-31","192.168.125.186","OPC UA"
"CRU-0028","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","Critical","Schneider","PLC-7635","Crude Distillation Unit (CDU) - Station 28","PLC for Crude Distillation Unit (CDU) operations","2023-08-22","192.168.193.238","Ethernet/IP"
"CRU-0029","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","Low","Emerson","ControlValve-6407","Crude Distillation Unit (CDU) - Station 29","Control Valve for Crude Distillation Unit (CDU) operations","2022-01-05","192.168.63.121","DNP3"
"CRU-0030","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Safety PLC","Medium","Schneider","SafetyPLC-4766","Crude Distillation Unit (CDU) - Station 30","Safety PLC for Crude Distillation Unit (CDU) operations","2021-08-16","192.168.232.49","DNP3"
