tag_id,plant,unit,device_type,manufacturer,model,ip_address,hostname
PLC-CDU-001,Refinery B,Crude Distillation Unit (CDU),PLC,Siemens,S7-1500,192.168.10.10,PLC-CDU-001
PLC-CDU-002,Refinery B,Crude Distillation Unit (CDU),PLC,Siemens,S7-1500,192.168.10.11,PLC-CDU-002
HMI-CDU-001,Refinery B,Crude Distillation Unit (CDU),HMI,Siemens,WinCC,192.168.10.20,HMI-CDU-001
XMTR-CDU-T001,Refinery B,Crude Distillation Unit (CDU),Smart_Transmitter,Rosemount,3051,192.168.10.101,XMTR-CDU-T001
XMTR-CDU-P001,Refinery B,Crude Distillation Unit (CDU),Smart_Transmitter,Rosemount,3051,192.168.10.102,XMTR-CDU-P001
XMTR-CDU-P002,Refinery B,Crude Distillation Unit (CDU),Smart_Transmitter,Rosemount,3051,192.168.10.103,XMTR-CDU-P002
XMTR-CDU-L001,Refinery B,Crude Distillation Unit (CDU),Smart_Transmitter,Rosemount,3051,192.168.10.104,XMTR-CDU-L001
VFD-CDU-P001,Refinery B,Crude Distillation Unit (CDU),VFD,ABB,ACS880,192.168.10.50,VFD-CDU-P001
VFD-CDU-P002,Refinery B,Crude Distillation Unit (CDU),VFD,ABB,ACS880,192.168.10.51,VFD-CDU-P002
PLC-FCC-001,Refinery B,Fluid Catalytic Cracking (FCC),PLC,Allen Bradley,ControlLogix,192.168.11.10,PLC-FCC-001
PLC-FCC-002,Refinery B,Fluid Catalytic Cracking (FCC),PLC,Allen Bradley,ControlLogix,192.168.11.11,PLC-FCC-002
HMI-FCC-001,Refinery B,Fluid Catalytic Cracking (FCC),HMI,Rockwell,FactoryTalk,192.168.11.20,HMI-FCC-001
SIS-FCC-001,Refinery B,Fluid Catalytic Cracking (FCC),Safety_System,Honeywell,FSC,192.168.11.200,SIS-FCC-001
XMTR-FCC-T001,Refinery B,Fluid Catalytic Cracking (FCC),Smart_Transmitter,Yokogawa,EJA,192.168.11.101,XMTR-FCC-T001
XMTR-FCC-T002,Refinery B,Fluid Catalytic Cracking (FCC),Smart_Transmitter,Yokogawa,EJA,192.168.11.102,XMTR-FCC-T002
XMTR-FCC-P001,Refinery B,Fluid Catalytic Cracking (FCC),Smart_Transmitter,Yokogawa,EJA,192.168.11.103,XMTR-FCC-P001
PLC-HCU-001,Refinery B,Hydrocracking Unit (HCU),PLC,Siemens,S7-400,192.168.12.10,PLC-HCU-001
PLC-HCU-002,Refinery B,Hydrocracking Unit (HCU),PLC,Siemens,S7-400,192.168.12.11,PLC-HCU-002
HMI-HCU-001,Refinery B,Hydrocracking Unit (HCU),HMI,Siemens,WinCC,192.168.12.20,HMI-HCU-001
SIS-HCU-001,Refinery B,Hydrocracking Unit (HCU),Safety_System,Schneider,Triconex,192.168.12.200,SIS-HCU-001
XMTR-HCU-T001,Refinery B,Hydrocracking Unit (HCU),Smart_Transmitter,Emerson,Rosemount,192.168.12.101,XMTR-HCU-T001
XMTR-HCU-T002,Refinery B,Hydrocracking Unit (HCU),Smart_Transmitter,Emerson,Rosemount,192.168.12.102,XMTR-HCU-T002
XMTR-HCU-P001,Refinery B,Hydrocracking Unit (HCU),Smart_Transmitter,Emerson,Rosemount,192.168.12.103,XMTR-HCU-P001
PLC-REF-001,Refinery B,Reformer Unit,PLC,Emerson,DeltaV,192.168.13.10,PLC-REF-001
HMI-REF-001,Refinery B,Reformer Unit,HMI,Emerson,DeltaV,192.168.13.20,HMI-REF-001
XMTR-REF-T001,Refinery B,Reformer Unit,Smart_Transmitter,Emerson,Rosemount,192.168.13.101,XMTR-REF-T001
XMTR-REF-T002,Refinery B,Reformer Unit,Smart_Transmitter,Emerson,Rosemount,192.168.13.102,XMTR-REF-T002
XMTR-REF-P001,Refinery B,Reformer Unit,Smart_Transmitter,Emerson,Rosemount,192.168.13.103,XMTR-REF-P001

