tag_id,plant,unit,device_type,manufacturer,model,ip_address,hostname
PLC-CDU-001,Gulf Coast Refinery,Crude Distillation Unit,PLC,Siemens,S7-1500,192.168.10.10,PLC-CDU-001
PLC-CDU-002,Gulf Coast Refinery,Crude Distillation Unit,PLC,Siemens,S7-1500,192.168.10.11,
HMI-CDU-MAIN,Gulf Coast Refinery,Crude Distillation Unit,HMI,Unknown,,,HMI-CDU-MAIN
XMTR-T-4201,Gulf Coast Refinery,Crude Distillation Unit,Pressure_Transmitter,Rosemount,3051,,
XMTR-T-4202,Gulf Coast Refinery,Crude Distillation Unit,Transmitter,Unknown,,,
FCV-1234,Gulf Coast Refinery,Crude Distillation Unit,Control_Valve,Fisher,DVC6200,,
PLC-FCC-001,Gulf Coast Refinery,FCC Unit,PLC,Allen-Bradley,ControlLogix,192.168.15.20,PLC-FCC-001
PLC-FCC-002,Gulf Coast Refinery,FCC Unit,Controller,Allen-Bradley,ControlLogix,192.168.15.21,PLC-FCC-BAK
DCS-FCC-NODE1,Gulf Coast Refinery,FCC Unit,DCS,Honeywell,Experion,192.168.15.5,
DCS-FCC-NODE2,Gulf Coast Refinery,FCC Unit,DCS,Honeywell,Experion,192.168.15.6,DCS-FCC-N2
ANALYZER-O2-01,Gulf Coast Refinery,FCC Unit,Analyzer,Unknown,O2-Analyzer,192.168.15.100,ANALYZER-O2-01
XMTR-P-5001,Gulf Coast Refinery,FCC Unit,4-20mA_Transmitter,Emerson,3144P,,
XMTR-P-5002,Gulf Coast Refinery,FCC Unit,Pressure_Sensor,Rosemount,2088,,
XMTR-T-5101,Gulf Coast Refinery,FCC Unit,Temperature,Unknown,,,
VALVE-FCV-5200,Gulf Coast Refinery,FCC Unit,Analog_Valve,Fisher,657,,
RTU-HCU-001,Gulf Coast Refinery,Hydrocracker,RTU,Schneider,Modicon,192.168.20.10,RTU-HCU-001
PLC-HCU-002,Gulf Coast Refinery,Hydrocracker,PLC,Siemens,S7-400,192.168.20.11,
SCADA-SERVER-01,Gulf Coast Refinery,Control Room,SCADA_Server,Unknown,,192.168.5.50,SCADA-PRIMARY
HISTORIAN-01,Gulf Coast Refinery,Control Room,Historian,OSIsoft,PI Server,192.168.5.51,PI-HISTORIAN
EWS-01,Gulf Coast Refinery,Control Room,Workstation,Dell,,192.168.5.60,ENG-WS-01
EWS-02,Gulf Coast Refinery,Control Room,Engineering_Workstation,Unknown,,192.168.5.61,
FIREWALL-OT-01,Gulf Coast Refinery,DMZ,Firewall,Palo Alto,PA-5220,192.168.1.1,FW-OT-PRIMARY
SWITCH-CDU-01,Gulf Coast Refinery,Crude Distillation Unit,Network_Switch,Cisco,IE-3400,192.168.10.2,SW-CDU-01
SWITCH-FCC-01,Gulf Coast Refinery,FCC Unit,Switch,Hirschmann,Unknown,192.168.15.2,
CAMERA-CDU-01,Gulf Coast Refinery,Crude Distillation Unit,IP_Camera,Axis,P1375,192.168.10.150,CAM-CDU-NORTH
VFD-PUMP-01,Gulf Coast Refinery,Transfer Station,VFD,ABB,ACS880,192.168.30.40,VFD-PUMP-01
VFD-PUMP-02,Gulf Coast Refinery,Transfer Station,Variable_Frequency_Drive,ABB,ACS880,,
XMTR-F-6001,Gulf Coast Refinery,Transfer Station,Flow_Transmitter,Micro Motion,CMF300,,
XMTR-L-6101,Gulf Coast Refinery,Transfer Station,Level,Unknown,,,
CONTROLLER-TANK-01,Gulf Coast Refinery,Tank Farm,Tank_Controller,Emerson,DeltaV,192.168.25.20,TANK-01-CTRL
DEVICE-OLD-1,Gulf Coast Refinery,Unknown,Unknown,Unknown,,,
DEVICE-OLD-2,Gulf Coast Refinery,Reformer,Legacy_Device,Unknown,,,
PLC-REF-001,Gulf Coast Refinery,Reformer,PLC,Yokogawa,Stardom,192.168.18.10,PLC-REF-001
HMI-REF-001,Gulf Coast Refinery,Reformer,HMI,Yokogawa,,192.168.18.20,
XMTR-MULTI-01,Gulf Coast Refinery,Reformer,Smart_Transmitter,Yokogawa,EJA530E,192.168.18.101,XMTR-MULTI-01
XMTR-T-7001,Gulf Coast Refinery,Reformer,Thermocouple,Unknown,,,
XMTR-T-7002,Gulf Coast Refinery,Reformer,Temperature_Element,Unknown,,,
XMTR-P-7101,Gulf Coast Refinery,Reformer,4-20mA,Rosemount,2088,,
PSV-7200,Gulf Coast Refinery,Reformer,Pressure_Relief_Valve,Crosby,JOS,,
PSV-7201,Gulf Coast Refinery,Reformer,Safety_Valve,Unknown,,,
PLC-UTIL-01,Gulf Coast Refinery,Utilities,PLC,Mitsubishi,FX5U,192.168.35.10,PLC-UTIL-01
TEMP-SENSOR-01,Gulf Coast Refinery,Utilities,Analog_Sensor,Unknown,,,
TEMP-SENSOR-02,Gulf Coast Refinery,Utilities,Sensor,Unknown,,,
FLOW-METER-01,Gulf Coast Refinery,Utilities,Flow_Meter,Brooks,Unknown,,
COMPRESSOR-01,Gulf Coast Refinery,Utilities,Compressor_Controller,Siemens,S7-300,192.168.35.30,COMP-01-CTRL
GPS-CLOCK-01,Gulf Coast Refinery,Control Room,GPS_Clock,Meinberg,,192.168.5.99,GPS-TIMESYNC
PRINTER-OT-01,Gulf Coast Refinery,Control Room,Network_Printer,HP,,192.168.5.70,
UPS-MON-01,Gulf Coast Refinery,Control Room,UPS_Monitor,APC,,192.168.5.80,UPS-MONITOR
DEVICE-192-168-10-99,Gulf Coast Refinery,Unknown,Unknown,Unknown,,192.168.10.99,
XMTR-SPARE-01,Gulf Coast Refinery,Warehouse,Spare_Transmitter,Rosemount,3051,,
XMTR-SPARE-02,Gulf Coast Refinery,Warehouse,Spare,Unknown,,,

