ip_address,hostname,mac_address,device_type,manufacturer,model,is_managed,has_security_patches,encryption_enabled,authentication_required,firewall_protected,access_control,vulnerabilities,cve_count,last_seen,confidence_level,firmware_version,protocol
192.168.197.136,DEVICE-192-168-197-136,40:3E:3D:23:E:4B,Controller,Allen-Bradley,Model-7195,true,true,true,true,true,Basic,3,0,2025-11-10,99,v1.2.3,Modbus TCP
192.168.238.122,,20:F:30:1A:47:5D,Smart_Transmitter,Schneider,Smart_Transmitter-576,true,true,false,false,true,Role-Based,2,0,2025-11-10,60,v16.0,BACnet
192.168.112.12,PLC-163,5D:62:1A:35:42:52,PLC,Siemens,Model-9595,true,true,false,true,false,Role-Based,1,0,2025-11-10,66,v2.8.1,EtherNet/IP
192.168.236.248,Anal-0788,30:61:30:57:2B:57,Analyzer,Yokogawa,Analyzer-101,true,true,false,false,true,Basic,3,0,2025-11-07,88,v16.0,Modbus TCP
192.168.144.213,DEVICE-192-168-144-213,52:1E:F:2C:4F:4D,Gateway,Unknown,Unknown,true,true,false,false,false,Role-Based,1,0,2025-11-05,92,v2.8.3,Modbus TCP
192.168.99.126,DEVICE-192-168-99-126,45:35:34:28:4B:24,Analyzer,Siemens,Analyzer-482,true,true,false,false,false,Role-Based,3,1,2025-11-10,71,v14.3,Unknown
192.168.69.31,DEVICE-192-168-69-31,3B:2B:61:41:B:15,Protocol_Converter,Siemens,Protocol_Converter-519,true,true,false,false,false,Role-Based,1,0,2025-11-10,81,v4.5.2,BACnet
192.168.161.45,DEVICE-192-168-161-45,2C:63:26:42:43:41,Smart_Transmitter,ABB,Smart_Transmitter-698,true,true,false,false,false,Basic,3,1,2025-11-07,92,R511.5,Modbus TCP
192.168.159.23,Smar-1215,19:3D:C:25:4E:2E,Smart_Transmitter,Unknown,Unknown,true,true,false,true,true,Role-Based,2,1,2025-11-06,71,v16.0,HART-IP
192.168.64.219,DEVICE-192-168-64-219,32:38:3D:58:48:62,IP_Camera,Siemens,IP_Camera-176,true,true,false,false,true,Basic,1,0,2025-11-05,61,v3.1.0,Unknown
192.168.141.206,HMI-489,16:4D:13:38:3A:26,HMI,Siemens,Model-9283,true,true,false,true,true,Basic,2,0,2025-11-09,67,v14.3,EtherNet/IP
