tag_id,plant,unit,device_type,criticality,manufacturer,model,location,description,installation_date,expected_ip,expected_protocol
"GEN-0001","Pacific Power","Generation Unit","RTU","Critical","Schneider","RTU-1198","Generation Unit - Station 1","RTU for Generation Unit operations","2023-08-22","192.168.216.164","OPC UA"
"GEN-0002","Pacific Power","Generation Unit","HMI","Low","Rockwell","HMI-6645","Generation Unit - Station 2","HMI for Generation Unit operations","2024-08-21","192.168.37.215","Ethernet/IP"
"GEN-0003","Pacific Power","Generation Unit","SCADA","Critical","Schneider","SCADA-6390","Generation Unit - Station 3","SCADA for Generation Unit operations","2020-12-08","192.168.245.243","DNP3"
"GEN-0004","Pacific Power","Generation Unit","Arc Flash Monitor","High","ABB","ArcFlashMonitor-4081","Generation Unit - Station 4","Arc Flash Monitor for Generation Unit operations","2021-08-25","192.168.151.166","OPC UA"
"GEN-0005","Pacific Power","Generation Unit","RTU","Critical","Emerson","RTU-3406","Generation Unit - Station 5","RTU for Generation Unit operations","2025-08-02","192.168.81.134","Modbus TCP"
"GEN-0006","Pacific Power","Generation Unit","DMS","Medium","ABB","DMS-5015","Generation Unit - Station 6","DMS for Generation Unit operations","2025-07-30","192.168.224.141","Modbus TCP"
"GEN-0007","Pacific Power","Generation Unit","IED","Low","Schneider","IED-2324","Generation Unit - Station 7","IED for Generation Unit operations","2025-06-30","192.168.80.23","Modbus TCP"
"GEN-0008","Pacific Power","Generation Unit","Grid Controller","Low","Siemens","GridController-6435","Generation Unit - Station 8","Grid Controller for Generation Unit operations","2023-03-28","192.168.45.56","OPC UA"
"GEN-0009","Pacific Power","Generation Unit","Arc Flash Monitor","Low","Emerson","ArcFlashMonitor-9162","Generation Unit - Station 9","Arc Flash Monitor for Generation Unit operations","2023-12-21","192.168.238.175","OPC UA"
"GEN-0010","Pacific Power","Generation Unit","SCADA","High","Honeywell","SCADA-1681","Generation Unit - Station 10","SCADA for Generation Unit operations","2024-12-13","192.168.185.149","OPC UA"
"GEN-0011","Pacific Power","Generation Unit","SCADA","Medium","ABB","SCADA-8973","Generation Unit - Station 11","SCADA for Generation Unit operations","2023-01-12","192.168.184.112","DNP3"
"GEN-0012","Pacific Power","Generation Unit","SCADA","Critical","Honeywell","SCADA-8587","Generation Unit - Station 12","SCADA for Generation Unit operations","2025-03-05","192.168.74.200","Ethernet/IP"
"GEN-0013","Pacific Power","Generation Unit","DMS","Low","ABB","DMS-2842","Generation Unit - Station 13","DMS for Generation Unit operations","2022-12-13","192.168.115.109","Modbus TCP"
"GEN-0014","Pacific Power","Generation Unit","Arc Flash Monitor","High","Emerson","ArcFlashMonitor-9472","Generation Unit - Station 14","Arc Flash Monitor for Generation Unit operations","2023-06-29","192.168.101.109","OPC UA"
