tag_id,plant,unit,device_type,ip_address,compliance_status,last_audit,audit_findings,remediation_required,policy_violations,certification_status,documentation_complete,change_management,backup_configured
"API-001","Boston Pharma","API Manufacturing","Safety PLC","192.168.32.86","Non-Compliant","2025-08-29T20:43:28.332Z","3","false","2","Expired","false","false","true"
"API-002","Boston Pharma","API Manufacturing","MES","192.168.168.90","Non-Compliant","2025-10-09T10:52:59.090Z","1","false","2","Not Required","false","true","true"
"API-003","Boston Pharma","API Manufacturing","MES","192.168.217.85","Under Review","2025-09-14T10:35:34.529Z","0","true","0","Certified","false","false","false"
"API-004","Boston Pharma","API Manufacturing","MES","192.168.45.249","Unknown","2025-09-21T22:44:47.092Z","0","false","2","Expired","true","false","true"
"API-005","Boston Pharma","API Manufacturing","MES","192.168.233.130","Unknown","2025-09-21T06:13:30.383Z","0","false","0","Not Required","false","false","true"
"API-006","Boston Pharma","API Manufacturing","Temperature Controller","192.168.137.83","Under Review","2025-10-22T04:19:49.129Z","1","false","0","Not Required","true","true","true"
"API-007","Boston Pharma","API Manufacturing","HMI","192.168.42.66","Non-Compliant","2025-08-06T22:11:02.504Z","0","true","2","Not Required","true","false","true"
"API-008","Boston Pharma","API Manufacturing","Batch Controller","192.168.244.192","Under Review","2025-08-14T11:50:01.099Z","2","false","0","Not Required","true","false","true"
"API-009","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.89.171","Non-Compliant","2025-09-25T04:53:09.012Z","0","true","0","Pending","true","false","false"
"API-010","Boston Pharma","API Manufacturing","MES","192.168.198.73","Under Review","2025-08-23T04:41:17.512Z","3","true","1","Pending","false","true","true"
"API-011","Boston Pharma","API Manufacturing","MES","192.168.9.214","Non-Compliant","2025-10-24T13:33:40.722Z","2","true","2","Pending","true","true","false"
"API-012","Boston Pharma","API Manufacturing","MES","192.168.13.158","Unknown","2025-09-11T22:07:23.922Z","1","true","2","Expired","true","false","false"
"API-013","Boston Pharma","API Manufacturing","Safety PLC","192.168.123.1","Unknown","2025-10-01T08:48:52.103Z","0","false","0","Expired","false","false","false"
"API-014","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.89.205","Under Review","2025-10-14T03:53:44.894Z","2","false","1","Pending","true","false","false"
"API-015","Boston Pharma","API Manufacturing","Serialization System","192.168.175.86","Non-Compliant","2025-09-17T05:01:11.404Z","1","true","2","Pending","true","true","true"
"API-016","Boston Pharma","API Manufacturing","LIMS","192.168.79.34","Under Review","2025-08-09T04:01:37.482Z","3","true","2","Pending","false","true","true"
"API-017","Boston Pharma","API Manufacturing","MES","192.168.184.18","Non-Compliant","2025-10-21T23:01:55.082Z","1","true","0","Not Required","true","false","true"
