tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,gmp_critical,fda21cfr11,batch_tracking
"API-001","Boston Pharma","API Manufacturing","SCADA","Critical","SCADA for API Manufacturing operations","Emerson","SCADA-3684","API Manufacturing - Batch 3","true","true","true"
"API-002","Boston Pharma","API Manufacturing","HMI","Critical","HMI for API Manufacturing operations","Honeywell","HMI-5677","API Manufacturing - Batch 1","true","true","true"
"API-003","Boston Pharma","API Manufacturing","LIMS","Critical","LIMS for API Manufacturing operations","Rockwell","LIMS-5552","API Manufacturing - Batch 5","true","true","true"
"API-004","Boston Pharma","API Manufacturing","MES","Critical","MES for API Manufacturing operations","Emerson","MES-8831","API Manufacturing - Batch 1","true","true","true"
"API-005","Boston Pharma","API Manufacturing","Safety PLC","Critical","Safety PLC for API Manufacturing operations","Honeywell","SafetyPLC-8828","API Manufacturing - Batch 6","true","true","true"
"API-006","Boston Pharma","API Manufacturing","MES","Critical","MES for API Manufacturing operations","Honeywell","MES-9028","API Manufacturing - Batch 9","true","true","true"
"API-007","Boston Pharma","API Manufacturing","Serialization System","Critical","Serialization System for API Manufacturing operations","Honeywell","SerializationSystem-2689","API Manufacturing - Batch 2","true","true","true"
"API-008","Boston Pharma","API Manufacturing","MES","Critical","MES for API Manufacturing operations","Siemens","MES-5823","API Manufacturing - Batch 7","true","true","true"
"API-009","Boston Pharma","API Manufacturing","SCADA","Critical","SCADA for API Manufacturing operations","Schneider","SCADA-2368","API Manufacturing - Batch 2","true","true","true"
"API-010","Boston Pharma","API Manufacturing","LIMS","Critical","LIMS for API Manufacturing operations","Rockwell","LIMS-3794","API Manufacturing - Batch 10","true","true","true"
"API-011","Boston Pharma","API Manufacturing","SCADA","Critical","SCADA for API Manufacturing operations","Rockwell","SCADA-4965","API Manufacturing - Batch 8","true","true","true"
"API-012","Boston Pharma","API Manufacturing","Serialization System","Critical","Serialization System for API Manufacturing operations","Emerson","SerializationSystem-2555","API Manufacturing - Batch 9","true","true","true"
"API-013","Boston Pharma","API Manufacturing","PLC","Critical","PLC for API Manufacturing operations","Honeywell","PLC-5462","API Manufacturing - Batch 9","true","true","true"
"API-014","Boston Pharma","API Manufacturing","Serialization System","Critical","Serialization System for API Manufacturing operations","Schneider","SerializationSystem-3549","API Manufacturing - Batch 4","true","true","true"
"API-015","Boston Pharma","API Manufacturing","PLC","Critical","PLC for API Manufacturing operations","Emerson","PLC-7144","API Manufacturing - Batch 1","true","true","true"
"API-016","Boston Pharma","API Manufacturing","PLC","Critical","PLC for API Manufacturing operations","Schneider","PLC-5823","API Manufacturing - Batch 2","true","true","true"
"API-017","Boston Pharma","API Manufacturing","Environmental Monitor","Critical","Environmental Monitor for API Manufacturing operations","Schneider","EnvironmentalMonitor-2178","API Manufacturing - Batch 5","true","true","true"
"API-018","Boston Pharma","API Manufacturing","Safety PLC","Critical","Safety PLC for API Manufacturing operations","Emerson","SafetyPLC-2855","API Manufacturing - Batch 4","true","true","true"
"API-019","Boston Pharma","API Manufacturing","MES","Critical","MES for API Manufacturing operations","Rockwell","MES-5903","API Manufacturing - Batch 5","true","true","true"
"API-020","Boston Pharma","API Manufacturing","Batch Controller","Critical","Batch Controller for API Manufacturing operations","Honeywell","BatchController-7915","API Manufacturing - Batch 3","true","true","true"
"API-021","Boston Pharma","API Manufacturing","LIMS","Critical","LIMS for API Manufacturing operations","Rockwell","LIMS-4790","API Manufacturing - Batch 1","true","true","true"
"API-022","Boston Pharma","API Manufacturing","Batch Controller","Critical","Batch Controller for API Manufacturing operations","Siemens","BatchController-4145","API Manufacturing - Batch 1","true","true","true"
"API-023","Boston Pharma","API Manufacturing","Safety PLC","Critical","Safety PLC for API Manufacturing operations","Siemens","SafetyPLC-4381","API Manufacturing - Batch 5","true","true","true"
"API-024","Boston Pharma","API Manufacturing","LIMS","Critical","LIMS for API Manufacturing operations","Honeywell","LIMS-3198","API Manufacturing - Batch 1","true","true","true"
"API-025","Boston Pharma","API Manufacturing","Serialization System","Critical","Serialization System for API Manufacturing operations","Rockwell","SerializationSystem-3866","API Manufacturing - Batch 1","true","true","true"
"API-026","Boston Pharma","API Manufacturing","Temperature Controller","Critical","Temperature Controller for API Manufacturing operations","Schneider","TemperatureController-9448","API Manufacturing - Batch 2","true","true","true"
"API-027","Boston Pharma","API Manufacturing","HMI","Critical","HMI for API Manufacturing operations","Rockwell","HMI-9420","API Manufacturing - Batch 4","true","true","true"
"API-028","Boston Pharma","API Manufacturing","SCADA","Critical","SCADA for API Manufacturing operations","Schneider","SCADA-1305","API Manufacturing - Batch 8","true","true","true"
"API-029","Boston Pharma","API Manufacturing","Safety PLC","Critical","Safety PLC for API Manufacturing operations","Rockwell","SafetyPLC-3653","API Manufacturing - Batch 3","true","true","true"
"API-030","Boston Pharma","API Manufacturing","PLC","Critical","PLC for API Manufacturing operations","Siemens","PLC-8193","API Manufacturing - Batch 3","true","true","true"
"API-031","Boston Pharma","API Manufacturing","Serialization System","Critical","Serialization System for API Manufacturing operations","Schneider","SerializationSystem-4680","API Manufacturing - Batch 10","true","true","true"
"API-032","Boston Pharma","API Manufacturing","PLC","Critical","PLC for API Manufacturing operations","Rockwell","PLC-5531","API Manufacturing - Batch 6","true","true","true"
"API-033","Boston Pharma","API Manufacturing","LIMS","Critical","LIMS for API Manufacturing operations","Schneider","LIMS-5273","API Manufacturing - Batch 2","true","true","true"
"API-034","Boston Pharma","API Manufacturing","LIMS","Critical","LIMS for API Manufacturing operations","Rockwell","LIMS-4181","API Manufacturing - Batch 3","true","true","true"
"API-035","Boston Pharma","API Manufacturing","Environmental Monitor","Critical","Environmental Monitor for API Manufacturing operations","Emerson","EnvironmentalMonitor-4771","API Manufacturing - Batch 4","true","true","true"
"API-036","Boston Pharma","API Manufacturing","LIMS","Critical","LIMS for API Manufacturing operations","Emerson","LIMS-3913","API Manufacturing - Batch 9","true","true","true"
"FOR-001","Boston Pharma","Formulation","Serialization System","Critical","Serialization System for Formulation operations","Rockwell","SerializationSystem-7773","Formulation - Batch 4","true","true","true"
"FOR-002","Boston Pharma","Formulation","Safety PLC","Critical","Safety PLC for Formulation operations","Emerson","SafetyPLC-6103","Formulation - Batch 3","true","true","true"
"FOR-003","Boston Pharma","Formulation","PLC","Critical","PLC for Formulation operations","Siemens","PLC-5345","Formulation - Batch 8","true","true","true"
"FOR-004","Boston Pharma","Formulation","Serialization System","Critical","Serialization System for Formulation operations","Emerson","SerializationSystem-2323","Formulation - Batch 3","true","true","true"
"FOR-005","Boston Pharma","Formulation","MES","Critical","MES for Formulation operations","Rockwell","MES-2611","Formulation - Batch 7","true","true","true"
"FOR-006","Boston Pharma","Formulation","Batch Controller","Critical","Batch Controller for Formulation operations","Schneider","BatchController-3368","Formulation - Batch 8","true","true","true"
"FOR-007","Boston Pharma","Formulation","Temperature Controller","Critical","Temperature Controller for Formulation operations","Rockwell","TemperatureController-8974","Formulation - Batch 2","true","true","true"
"FOR-008","Boston Pharma","Formulation","Serialization System","Critical","Serialization System for Formulation operations","Schneider","SerializationSystem-1963","Formulation - Batch 5","true","true","true"
"FOR-009","Boston Pharma","Formulation","PLC","Critical","PLC for Formulation operations","Siemens","PLC-4346","Formulation - Batch 10","true","true","true"
"FOR-010","Boston Pharma","Formulation","PLC","Critical","PLC for Formulation operations","Honeywell","PLC-8262","Formulation - Batch 3","true","true","true"
"FOR-011","Boston Pharma","Formulation","Temperature Controller","Critical","Temperature Controller for Formulation operations","Emerson","TemperatureController-3220","Formulation - Batch 8","true","true","true"
"FOR-012","Boston Pharma","Formulation","Safety PLC","Critical","Safety PLC for Formulation operations","Schneider","SafetyPLC-6775","Formulation - Batch 3","true","true","true"
"FOR-013","Boston Pharma","Formulation","LIMS","Critical","LIMS for Formulation operations","Emerson","LIMS-8170","Formulation - Batch 6","true","true","true"
"FOR-014","Boston Pharma","Formulation","Serialization System","Critical","Serialization System for Formulation operations","Honeywell","SerializationSystem-6827","Formulation - Batch 6","true","true","true"
"FOR-015","Boston Pharma","Formulation","LIMS","Critical","LIMS for Formulation operations","Rockwell","LIMS-9671","Formulation - Batch 7","true","true","true"
"FOR-016","Boston Pharma","Formulation","LIMS","Critical","LIMS for Formulation operations","Siemens","LIMS-3693","Formulation - Batch 8","true","true","true"
"FOR-017","Boston Pharma","Formulation","HMI","Critical","HMI for Formulation operations","Honeywell","HMI-8624","Formulation - Batch 4","true","true","true"
"FOR-018","Boston Pharma","Formulation","MES","Critical","MES for Formulation operations","Rockwell","MES-1423","Formulation - Batch 7","true","true","true"
"FOR-019","Boston Pharma","Formulation","Temperature Controller","Critical","Temperature Controller for Formulation operations","Siemens","TemperatureController-2112","Formulation - Batch 2","true","true","true"
"FOR-020","Boston Pharma","Formulation","Safety PLC","Critical","Safety PLC for Formulation operations","Emerson","SafetyPLC-3575","Formulation - Batch 6","true","true","true"
