tag_id,plant,unit,device_type,ip_address,mac_address,switch_port,vlan,network_segment,communication_peers,bandwidth_usage,latency_ms,packet_loss,uptime_hours
"API-001","Boston Pharma","API Manufacturing","Safety PLC","192.168.190.250","0e:a0:29:bf:a6:23","SW47","VLAN-18","Safety Network","3","39","22","0.6602276392864515","2222"
"API-002","Boston Pharma","API Manufacturing","MES","192.168.177.112","84:40:71:b4:0c:ef","SW4","VLAN-3","Corporate Network","6","13","12","0.3250348850248419","2413"
"API-003","Boston Pharma","API Manufacturing","MES","192.168.109.198","76:e7:03:5c:2b:7a","SW47","VLAN-11","Safety Network","3","85","37","1.1516126141767657","1888"
"API-004","Boston Pharma","API Manufacturing","MES","192.168.178.71","74:be:21:12:09:09","SW11","VLAN-34","DMZ","1","52","27","0.9382409994767282","1980"
"API-005","Boston Pharma","API Manufacturing","MES","192.168.42.239","f9:0a:55:1c:29:06","SW43","VLAN-12","DMZ","3","5","28","3.3181096094152815","2139"
"API-006","Boston Pharma","API Manufacturing","Temperature Controller","192.168.122.93","dd:ff:42:6d:9c:17","SW41","VLAN-57","Corporate Network","3","10","14","4.447750290859101","7334"
"API-007","Boston Pharma","API Manufacturing","HMI","192.168.215.86","06:33:6f:51:7b:a2","SW30","VLAN-23","DMZ","5","88","22","0.4651997057645618","6829"
"API-008","Boston Pharma","API Manufacturing","Batch Controller","192.168.54.152","00:62:22:82:db:84","SW3","VLAN-76","Safety Network","9","65","1","1.9967441375349038","5149"
"API-009","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.32.175","b0:45:14:24:9a:bb","SW44","VLAN-21","Corporate Network","5","37","50","1.4288806396515918","6114"
"API-010","Boston Pharma","API Manufacturing","MES","192.168.99.190","d9:97:6b:88:52:70","SW40","VLAN-55","DMZ","7","15","46","2.933379611950536","7213"
"API-011","Boston Pharma","API Manufacturing","MES","192.168.198.168","be:07:b0:0f:94:2f","SW42","VLAN-24","DMZ","6","37","8","1.3374723203021566","437"
"API-012","Boston Pharma","API Manufacturing","MES","192.168.25.23","0a:8d:15:a5:5a:06","SW40","VLAN-84","Safety Network","1","24","6","0.9510409645757789","2350"
"API-013","Boston Pharma","API Manufacturing","Safety PLC","192.168.212.3","95:9c:5b:96:c8:86","SW20","VLAN-86","Corporate Network","9","82","18","3.31330366977706","5500"
"API-014","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.234.40","a4:ab:b3:cb:46:f0","SW16","VLAN-30","DMZ","7","26","11","3.251240742346239","4526"
"API-015","Boston Pharma","API Manufacturing","Serialization System","192.168.184.209","5d:06:94:06:e3:09","SW35","VLAN-89","Control Network","6","20","23","2.6574634235430183","5488"
"API-016","Boston Pharma","API Manufacturing","LIMS","192.168.162.179","db:07:ae:81:fb:fe","SW17","VLAN-54","DMZ","1","27","29","2.115112980404902","2192"
"API-017","Boston Pharma","API Manufacturing","MES","192.168.67.76","fe:40:af:c8:69:ef","SW29","VLAN-10","Safety Network","8","70","23","2.929091056202582","2376"
"API-018","Boston Pharma","API Manufacturing","PLC","192.168.68.239","9f:d3:2c:e0:dc:07","SW23","VLAN-79","Safety Network","2","90","29","2.380723363159004","6622"
"API-019","Boston Pharma","API Manufacturing","HMI","192.168.12.254","d3:f1:33:fc:9c:a4","SW17","VLAN-90","DMZ","2","15","37","2.7349436853110856","3425"
"API-020","Boston Pharma","API Manufacturing","Safety PLC","192.168.76.116","2a:9b:17:d5:e6:92","SW28","VLAN-76","Safety Network","3","32","26","4.215162399827338","907"
"API-021","Boston Pharma","API Manufacturing","Temperature Controller","192.168.137.187","2f:2e:44:25:8f:f6","SW39","VLAN-87","Corporate Network","1","29","21","3.569571127081428","6068"
"API-022","Boston Pharma","API Manufacturing","Temperature Controller","192.168.130.64","d1:32:6a:be:99:ee","SW10","VLAN-87","Safety Network","3","58","35","1.994202882136289","4961"
"API-023","Boston Pharma","API Manufacturing","HMI","192.168.79.183","03:ca:8a:d3:5a:83","SW12","VLAN-82","Control Network","3","47","48","4.1188414989818565","6416"
"API-024","Boston Pharma","API Manufacturing","Batch Controller","192.168.152.7","e0:6e:76:96:b3:ab","SW28","VLAN-70","Safety Network","6","11","28","0.10715936712412","7609"
"API-025","Boston Pharma","API Manufacturing","HMI","192.168.213.158","85:fd:d0:ae:6b:3a","SW15","VLAN-46","Safety Network","6","68","12","4.105155039068837","8236"
"API-026","Boston Pharma","API Manufacturing","Temperature Controller","192.168.2.244","88:b9:47:00:f8:42","SW39","VLAN-1","Control Network","8","90","37","1.7881357875340742","8136"
"API-027","Boston Pharma","API Manufacturing","HMI","192.168.123.203","cd:2f:ce:13:92:d3","SW34","VLAN-87","Control Network","8","98","42","3.002409748811293","6619"
"API-028","Boston Pharma","API Manufacturing","Serialization System","192.168.174.181","ae:54:1d:8d:d8:12","SW33","VLAN-26","Corporate Network","3","68","5","3.3058691376650584","5342"
"API-029","Boston Pharma","API Manufacturing","Safety PLC","192.168.104.111","d8:59:02:e9:a3:5b","SW37","VLAN-66","Corporate Network","3","85","39","3.4555886253669765","8736"
"API-030","Boston Pharma","API Manufacturing","Serialization System","192.168.229.192","82:29:d9:b7:90:d1","SW18","VLAN-39","Control Network","6","95","32","4.230327937171394","3239"
"API-031","Boston Pharma","API Manufacturing","SCADA","192.168.163.195","fb:af:c0:98:07:47","SW20","VLAN-94","DMZ","1","24","12","3.6245958396916955","4666"
"API-032","Boston Pharma","API Manufacturing","MES","192.168.254.201","5d:6e:09:32:7a:9a","SW46","VLAN-74","Safety Network","3","9","45","1.388981192640113","4636"
"API-033","Boston Pharma","API Manufacturing","Temperature Controller","192.168.41.186","9f:07:6a:d8:7d:08","SW26","VLAN-40","Corporate Network","9","89","50","0.25418823498094656","4865"
"API-034","Boston Pharma","API Manufacturing","Safety PLC","192.168.170.88","b8:1a:a6:8a:b0:90","SW36","VLAN-32","Corporate Network","8","13","19","2.582944018566832","5117"
"API-035","Boston Pharma","API Manufacturing","Temperature Controller","192.168.102.72","f1:64:35:fa:13:6e","SW36","VLAN-26","Safety Network","1","57","37","3.831836540931537","1152"
"API-036","Boston Pharma","API Manufacturing","Safety PLC","192.168.38.84","2d:46:0a:4e:98:f5","SW25","VLAN-2","DMZ","9","43","38","0.2727984614679546","1654"
"API-037","Boston Pharma","API Manufacturing","HMI","192.168.152.91","db:1e:d0:b6:ee:80","SW39","VLAN-96","Control Network","2","37","1","3.495646008379587","3315"
