tag_id,plant,unit,device_type,ip_address,mac_address,protocol,vendor,model,firmware_version,last_seen,discovery_method,confidence_level,network_segment,criticality,is_managed,has_security_patches
"API-001","Boston Pharma","API Manufacturing","Safety PLC","192.168.164.169","fb:37:e3:2b:f3:04","DNP3","Emerson","SafetyPLC-9369","5.5.44","2025-10-21T21:44:59.020Z","Asset Inventory","85","VLAN-20","High","true","true"
"API-002","Boston Pharma","API Manufacturing","MES","192.168.101.119","d7:9d:ea:08:30:f2","Modbus TCP","ABB","MES-7468","2.4.98","2025-10-21T20:32:14.343Z","Asset Inventory","66","VLAN-33","Critical","true","true"
"API-003","Boston Pharma","API Manufacturing","MES","192.168.241.246","ca:ab:a3:ab:05:cb","DNP3","Siemens","MES-3782","2.0.72","2025-10-18T14:19:35.694Z","SNMP","70","VLAN-69","Low","true","false"
"API-004","Boston Pharma","API Manufacturing","MES","192.168.223.124","6f:c7:a5:89:5e:78","DNP3","Rockwell","MES-2572","3.7.88","2025-10-24T12:10:16.353Z","Protocol Analysis","66","VLAN-25","High","true","true"
"API-005","Boston Pharma","API Manufacturing","MES","192.168.4.9","9a:c2:4e:52:12:81","Profinet","Honeywell","MES-8109","4.8.33","2025-10-21T05:07:35.897Z","Network Scan","65","VLAN-40","Low","true","false"
"API-006","Boston Pharma","API Manufacturing","Temperature Controller","192.168.95.159","a7:a8:f8:0c:cb:4c","DNP3","Honeywell","TemperatureController-2516","4.0.67","2025-10-24T14:51:20.893Z","SNMP","67","VLAN-98","Low","true","true"
"API-007","Boston Pharma","API Manufacturing","HMI","192.168.254.137","eb:b8:06:91:1f:25","Profinet","ABB","HMI-5922","4.8.58","2025-10-22T16:27:51.407Z","Protocol Analysis","60","VLAN-19","Critical","false","true"
"API-008","Boston Pharma","API Manufacturing","Batch Controller","192.168.236.84","4d:c4:8c:d8:ca:55","Profinet","Honeywell","BatchController-4664","4.9.6","2025-10-21T22:35:26.123Z","Network Scan","95","VLAN-89","Low","true","true"
"API-009","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.99.52","1a:3e:1f:30:2b:20","Modbus TCP","Rockwell","EnvironmentalMonitor-4114","4.5.41","2025-10-21T20:46:02.630Z","SNMP","76","VLAN-45","High","true","true"
"API-010","Boston Pharma","API Manufacturing","MES","192.168.232.218","77:57:2f:54:7b:a3","Profinet","Honeywell","MES-3759","4.8.58","2025-10-21T16:23:23.031Z","Asset Inventory","63","VLAN-70","Medium","true","false"
"API-011","Boston Pharma","API Manufacturing","MES","192.168.170.128","78:6c:30:4b:20:ef","DNP3","Honeywell","MES-7034","5.4.81","2025-10-22T23:15:19.195Z","Network Scan","65","VLAN-51","Low","false","true"
"API-012","Boston Pharma","API Manufacturing","MES","192.168.212.251","82:e3:4a:b2:35:62","DNP3","Schneider","MES-4338","4.4.65","2025-10-22T17:35:34.075Z","Asset Inventory","73","VLAN-99","Low","true","true"
"API-013","Boston Pharma","API Manufacturing","Safety PLC","192.168.141.144","b5:27:1a:65:31:41","Profinet","Emerson","SafetyPLC-7526","4.0.0","2025-10-19T23:38:42.216Z","Protocol Analysis","70","VLAN-72","Critical","false","true"
"API-014","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.39.179","7a:44:a2:c0:9b:28","OPC UA","ABB","EnvironmentalMonitor-1637","4.8.23","2025-10-20T22:25:20.547Z","Asset Inventory","85","VLAN-58","Critical","true","false"
"API-015","Boston Pharma","API Manufacturing","Serialization System","192.168.103.195","37:d7:68:71:00:b7","OPC UA","ABB","SerializationSystem-3948","4.0.37","2025-10-23T00:07:38.534Z","SNMP","74","VLAN-74","High","true","true"
"API-016","Boston Pharma","API Manufacturing","LIMS","192.168.200.29","de:e9:43:68:c8:a7","DNP3","Honeywell","LIMS-9545","4.0.48","2025-10-19T08:03:18.995Z","Protocol Analysis","65","VLAN-26","Critical","true","true"
"API-017","Boston Pharma","API Manufacturing","MES","192.168.124.158","a8:77:e5:d9:85:1c","DNP3","Emerson","MES-7631","5.7.69","2025-10-24T12:45:03.503Z","Network Scan","77","VLAN-73","Critical","false","true"
"API-018","Boston Pharma","API Manufacturing","PLC","192.168.170.82","36:ba:80:cb:10:03","Modbus TCP","Emerson","PLC-3022","4.2.52","2025-10-22T08:40:23.171Z","Asset Inventory","74","VLAN-69","Low","false","true"
"API-019","Boston Pharma","API Manufacturing","HMI","192.168.39.16","9f:70:43:98:2f:b9","DNP3","Emerson","HMI-8319","5.0.97","2025-10-18T19:10:56.168Z","Protocol Analysis","64","VLAN-50","Medium","true","true"
"API-020","Boston Pharma","API Manufacturing","Safety PLC","192.168.190.172","d2:5c:ae:b2:a9:9c","Profinet","Emerson","SafetyPLC-8655","4.1.19","2025-10-21T03:06:26.150Z","Protocol Analysis","65","VLAN-52","Critical","false","true"
"API-021","Boston Pharma","API Manufacturing","Temperature Controller","192.168.36.98","a0:fb:18:88:6d:6e","DNP3","Rockwell","TemperatureController-8690","5.3.43","2025-10-20T20:34:50.707Z","Network Scan","80","VLAN-51","Critical","true","false"
"API-022","Boston Pharma","API Manufacturing","Temperature Controller","192.168.35.0","2d:35:ef:e6:f2:f0","Ethernet/IP","Honeywell","TemperatureController-4744","1.3.62","2025-10-20T01:10:34.910Z","Protocol Analysis","90","VLAN-59","High","false","false"
"API-023","Boston Pharma","API Manufacturing","HMI","192.168.77.254","05:78:9d:7e:e4:da","DNP3","Honeywell","HMI-4063","1.4.43","2025-10-20T09:34:59.302Z","Network Scan","96","VLAN-35","Critical","true","true"
"API-024","Boston Pharma","API Manufacturing","Batch Controller","192.168.183.34","e2:a7:5d:ea:32:da","DNP3","Siemens","BatchController-6325","5.5.36","2025-10-19T12:58:08.998Z","Network Scan","96","VLAN-48","Critical","true","false"
"API-025","Boston Pharma","API Manufacturing","HMI","192.168.191.251","b5:ed:b7:64:fd:da","Ethernet/IP","Siemens","HMI-4379","2.2.20","2025-10-21T11:20:09.443Z","SNMP","74","VLAN-65","Low","false","true"
"API-026","Boston Pharma","API Manufacturing","Temperature Controller","192.168.12.163","96:21:9e:fc:f4:4e","OPC UA","Siemens","TemperatureController-3407","4.5.56","2025-10-18T07:26:26.413Z","Protocol Analysis","73","VLAN-41","High","false","true"
"API-027","Boston Pharma","API Manufacturing","HMI","192.168.207.49","4f:a5:9e:b5:74:7c","Ethernet/IP","ABB","HMI-2124","1.7.59","2025-10-21T12:21:14.223Z","Network Scan","87","VLAN-10","Medium","false","true"
"API-028","Boston Pharma","API Manufacturing","Serialization System","192.168.189.158","a6:db:07:8e:13:76","DNP3","ABB","SerializationSystem-9776","1.9.76","2025-10-23T05:20:25.158Z","Asset Inventory","72","VLAN-42","High","true","true"
"API-029","Boston Pharma","API Manufacturing","Safety PLC","192.168.75.126","45:da:62:da:f0:9a","Profinet","ABB","SafetyPLC-7125","5.2.61","2025-10-21T14:15:48.854Z","SNMP","65","VLAN-42","Critical","true","true"
"API-030","Boston Pharma","API Manufacturing","Serialization System","192.168.224.25","83:92:9d:22:79:a1","Profinet","Siemens","SerializationSystem-1009","1.6.20","2025-10-23T15:59:57.641Z","Asset Inventory","73","VLAN-20","High","true","false"
"API-031","Boston Pharma","API Manufacturing","SCADA","192.168.207.43","91:16:89:4e:fe:3b","Modbus TCP","Emerson","SCADA-8467","4.1.7","2025-10-24T01:16:44.481Z","Protocol Analysis","84","VLAN-6","Low","true","false"
"API-032","Boston Pharma","API Manufacturing","MES","192.168.43.194","71:06:48:30:1a:da","Profinet","Honeywell","MES-2276","4.0.70","2025-10-23T08:43:06.359Z","Asset Inventory","98","VLAN-54","High","true","false"
"API-033","Boston Pharma","API Manufacturing","Temperature Controller","192.168.236.198","32:94:49:db:77:f8","Profinet","Siemens","TemperatureController-2244","3.6.18","2025-10-24T05:24:43.618Z","Network Scan","92","VLAN-82","Low","false","false"
"API-034","Boston Pharma","API Manufacturing","Safety PLC","192.168.7.76","73:9f:97:d3:b6:f6","Profinet","Honeywell","SafetyPLC-1810","3.0.86","2025-10-23T03:21:16.385Z","Asset Inventory","62","VLAN-86","High","true","true"
"API-035","Boston Pharma","API Manufacturing","Temperature Controller","192.168.241.84","39:39:00:4d:32:d7","Profinet","Schneider","TemperatureController-9486","4.2.33","2025-10-20T04:55:57.901Z","SNMP","96","VLAN-73","Low","true","true"
"API-036","Boston Pharma","API Manufacturing","Safety PLC","192.168.36.144","07:51:5d:90:eb:4d","OPC UA","Siemens","SafetyPLC-3639","3.6.6","2025-10-24T09:27:45.115Z","Asset Inventory","76","VLAN-21","Medium","true","true"
"API-037","Boston Pharma","API Manufacturing","HMI","192.168.26.197","17:c0:aa:6a:6b:d5","OPC UA","Siemens","HMI-5348","3.7.71","2025-10-22T15:51:01.529Z","SNMP","98","VLAN-11","High","false","true"
"API-038","Boston Pharma","API Manufacturing","SCADA","192.168.228.60","a1:fb:fd:59:c2:4a","Ethernet/IP","Siemens","SCADA-8794","4.4.95","2025-10-19T21:12:15.914Z","Network Scan","84","VLAN-71","Medium","true","false"
"API-039","Boston Pharma","API Manufacturing","Temperature Controller","192.168.48.29","6c:f4:98:19:16:73","Profinet","Rockwell","TemperatureController-5428","3.1.81","2025-10-18T04:49:34.547Z","SNMP","62","VLAN-23","High","false","true"
"API-040","Boston Pharma","API Manufacturing","Safety PLC","192.168.217.139","e5:65:8e:fc:0d:77","Ethernet/IP","Rockwell","SafetyPLC-7144","4.3.14","2025-10-20T07:25:01.621Z","Network Scan","83","VLAN-69","Medium","true","true"
"API-041","Boston Pharma","API Manufacturing","HMI","192.168.236.96","aa:67:4b:51:56:92","DNP3","Honeywell","HMI-7138","5.8.80","2025-10-23T07:58:41.222Z","Protocol Analysis","73","VLAN-21","Low","true","true"
"API-042","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.176.137","d4:7e:cf:f0:94:4e","Profinet","ABB","EnvironmentalMonitor-5234","4.3.93","2025-10-24T13:51:27.109Z","SNMP","90","VLAN-44","Low","false","true"
"API-043","Boston Pharma","API Manufacturing","HMI","192.168.10.221","e2:3a:e1:ba:4a:cb","Ethernet/IP","Emerson","HMI-6750","4.2.84","2025-10-22T16:52:04.336Z","Protocol Analysis","89","VLAN-100","Critical","true","true"
"API-044","Boston Pharma","API Manufacturing","HMI","192.168.79.190","a4:0e:f6:3c:6d:3a","Ethernet/IP","Honeywell","HMI-4695","3.5.44","2025-10-22T19:35:44.570Z","SNMP","92","VLAN-84","High","true","true"
"API-045","Boston Pharma","API Manufacturing","MES","192.168.97.116","8d:46:5a:f3:0e:18","OPC UA","Schneider","MES-3186","2.9.32","2025-10-20T09:43:07.944Z","Protocol Analysis","90","VLAN-24","High","true","true"
"API-046","Boston Pharma","API Manufacturing","Batch Controller","192.168.151.211","3c:33:a8:3f:f7:09","Modbus TCP","Schneider","BatchController-9376","3.1.91","2025-10-21T08:38:17.405Z","Protocol Analysis","97","VLAN-4","Critical","true","true"
"API-047","Boston Pharma","API Manufacturing","HMI","192.168.173.80","4c:98:83:17:31:22","DNP3","Honeywell","HMI-7491","2.8.64","2025-10-24T06:24:23.585Z","Asset Inventory","72","VLAN-19","High","false","true"
"API-048","Boston Pharma","API Manufacturing","Batch Controller","192.168.28.112","65:b0:23:8e:81:fb","OPC UA","Emerson","BatchController-7513","2.9.53","2025-10-21T21:55:30.861Z","Protocol Analysis","83","VLAN-43","Low","true","true"
"API-049","Boston Pharma","API Manufacturing","Temperature Controller","192.168.26.200","23:38:d1:6b:56:b0","Profinet","Siemens","TemperatureController-2320","3.8.22","2025-10-22T12:34:18.726Z","Protocol Analysis","81","VLAN-36","Critical","true","true"
"API-050","Boston Pharma","API Manufacturing","PLC","192.168.121.37","26:0f:ab:da:f1:20","Profinet","Emerson","PLC-9752","1.5.86","2025-10-21T05:13:42.522Z","SNMP","94","VLAN-97","Low","true","true"
"API-051","Boston Pharma","API Manufacturing","HMI","192.168.224.137","5a:28:61:85:c9:6e","OPC UA","ABB","HMI-1873","3.0.55","2025-10-21T06:10:41.667Z","Asset Inventory","77","VLAN-19","High","true","true"
"API-052","Boston Pharma","API Manufacturing","Batch Controller","192.168.117.107","25:db:d6:19:f8:bf","DNP3","Honeywell","BatchController-3519","1.9.6","2025-10-22T05:43:22.732Z","Protocol Analysis","77","VLAN-59","Low","true","true"
"API-053","Boston Pharma","API Manufacturing","HMI","192.168.44.44","8c:f4:43:9e:7a:cd","OPC UA","Rockwell","HMI-1515","3.9.31","2025-10-21T00:41:09.925Z","Protocol Analysis","85","VLAN-45","High","true","false"
