tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,nerc_cip,ferc_regulated,grid_stability
"GEN-001","Pacific Power","Generation Unit","RTU","Critical","RTU for Generation Unit operations","Honeywell","RTU-2176","Generation Unit - Bay 2","true","true","true"
"GEN-002","Pacific Power","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","GE","GridController-1006","Generation Unit - Bay 10","true","true","true"
"GEN-003","Pacific Power","Generation Unit","IED","Critical","IED for Generation Unit operations","ABB","IED-2748","Generation Unit - Bay 16","true","true","true"
"GEN-004","Pacific Power","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","Honeywell","GridController-9017","Generation Unit - Bay 11","true","true","true"
"GEN-005","Pacific Power","Generation Unit","EMS","Critical","EMS for Generation Unit operations","ABB","EMS-2098","Generation Unit - Bay 7","true","true","true"
"GEN-006","Pacific Power","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","GE","SCADA-7349","Generation Unit - Bay 15","true","true","true"
"GEN-007","Pacific Power","Generation Unit","RTU","Critical","RTU for Generation Unit operations","Honeywell","RTU-1470","Generation Unit - Bay 1","true","true","true"
"GEN-008","Pacific Power","Generation Unit","Arc Flash Monitor","Critical","Arc Flash Monitor for Generation Unit operations","ABB","ArcFlashMonitor-2468","Generation Unit - Bay 7","true","true","true"
"GEN-009","Pacific Power","Generation Unit","DMS","Critical","DMS for Generation Unit operations","Honeywell","DMS-3287","Generation Unit - Bay 12","true","true","true"
"GEN-010","Pacific Power","Generation Unit","Grid Controller","Critical","Grid Controller for Generation Unit operations","ABB","GridController-7977","Generation Unit - Bay 18","true","true","true"
"GEN-011","Pacific Power","Generation Unit","RTU","Critical","RTU for Generation Unit operations","GE","RTU-2918","Generation Unit - Bay 8","true","true","true"
"GEN-012","Pacific Power","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","ABB","SCADA-2684","Generation Unit - Bay 17","true","true","true"
"GEN-013","Pacific Power","Generation Unit","Environmental Monitor","Critical","Environmental Monitor for Generation Unit operations","Siemens","EnvironmentalMonitor-1770","Generation Unit - Bay 13","true","true","true"
"GEN-014","Pacific Power","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","ABB","SCADA-2290","Generation Unit - Bay 20","true","true","true"
"GEN-015","Pacific Power","Generation Unit","SCADA","Critical","SCADA for Generation Unit operations","Siemens","SCADA-1701","Generation Unit - Bay 1","true","true","true"
"GEN-016","Pacific Power","Generation Unit","Protection Relay","Critical","Protection Relay for Generation Unit operations","Siemens","ProtectionRelay-2138","Generation Unit - Bay 18","true","true","true"
"GEN-017","Pacific Power","Generation Unit","DMS","Critical","DMS for Generation Unit operations","Honeywell","DMS-9367","Generation Unit - Bay 5","true","true","true"
