tag_id,plant,unit,device_type,ip_address,mac_address,switch_port,vlan,network_segment,communication_peers,bandwidth_usage,latency_ms,packet_loss,uptime_hours
"GEN-001","Pacific Power","Generation Unit","DMS","192.168.219.26","f7:fc:9f:de:c8:ae","SW26","VLAN-32","Corporate Network","4","85","14","0.8890990681933775","39"
"GEN-002","Pacific Power","Generation Unit","Grid Controller","192.168.168.10","d9:94:ef:5e:3f:b4","SW23","VLAN-48","Safety Network","6","84","6","2.6960637041692093","4333"
"GEN-003","Pacific Power","Generation Unit","Environmental Monitor","192.168.170.53","17:1a:0a:d3:38:da","SW7","VLAN-47","Corporate Network","4","52","33","1.3417513268858139","6534"
"GEN-004","Pacific Power","Generation Unit","Environmental Monitor","192.168.12.78","dd:e2:67:eb:29:27","SW10","VLAN-62","Control Network","8","6","12","2.212335621238064","4477"
"GEN-005","Pacific Power","Generation Unit","Protection Relay","192.168.60.105","8b:fc:c2:1b:ac:fb","SW12","VLAN-34","DMZ","2","92","19","1.773216686205138","1092"
"GEN-006","Pacific Power","Generation Unit","Protection Relay","192.168.54.41","aa:87:ed:dc:2e:4a","SW12","VLAN-48","Control Network","10","20","12","2.141056293487118","3499"
"GEN-007","Pacific Power","Generation Unit","RTU","192.168.60.181","dc:3f:73:85:c4:3f","SW42","VLAN-53","Corporate Network","9","18","19","3.6493389546494672","811"
"GEN-008","Pacific Power","Generation Unit","IED","192.168.30.42","0b:26:ea:39:37:e3","SW29","VLAN-91","Corporate Network","4","98","2","1.5882096748138474","3470"
"GEN-009","Pacific Power","Generation Unit","DMS","192.168.183.108","64:9c:44:30:9b:c1","SW6","VLAN-76","Control Network","9","34","36","2.5658502771106075","8418"
"GEN-010","Pacific Power","Generation Unit","IED","192.168.56.70","56:af:23:99:0a:32","SW14","VLAN-54","Safety Network","5","27","49","0.5144969586507386","5614"
"GEN-011","Pacific Power","Generation Unit","EMS","192.168.143.182","30:fc:e3:21:9b:47","SW5","VLAN-97","Corporate Network","10","47","22","1.849500116983167","3385"
"GEN-012","Pacific Power","Generation Unit","HMI","192.168.203.153","d0:ad:37:f9:58:f7","SW22","VLAN-42","DMZ","2","3","25","1.0953320843953829","4864"
"GEN-013","Pacific Power","Generation Unit","RTU","192.168.18.147","75:1a:26:a6:e3:30","SW17","VLAN-35","Corporate Network","7","72","5","4.844604928378438","6600"
"GEN-014","Pacific Power","Generation Unit","SCADA","192.168.228.223","a5:e0:04:19:95:4f","SW48","VLAN-9","Control Network","5","21","27","2.6546038463718413","157"
"GEN-015","Pacific Power","Generation Unit","DMS","192.168.19.67","3f:ee:53:15:4e:7c","SW5","VLAN-62","Control Network","6","42","32","2.140343570249703","3435"
"GEN-016","Pacific Power","Generation Unit","Environmental Monitor","192.168.157.120","50:59:a1:96:33:1a","SW16","VLAN-35","Safety Network","9","73","25","4.725579733248518","1704"
