tag_id,plant,unit,device_type,ip_address,mac_address,protocol,vendor,model,firmware_version,last_seen,discovery_method,confidence_level,network_segment,criticality,is_managed,has_security_patches
"GEN-001","Pacific Power","Generation Unit","DMS","192.168.205.247","74:47:d5:c6:ee:6c","Profinet","Emerson","DMS-9799","1.1.99","2025-10-18T14:22:23.804Z","Asset Inventory","96","VLAN-7","High","false","false"
"GEN-002","Pacific Power","Generation Unit","Grid Controller","192.168.100.63","46:c7:c8:0c:02:90","OPC UA","Emerson","GridController-3981","4.4.12","2025-10-20T11:42:47.624Z","Protocol Analysis","92","VLAN-92","Critical","true","true"
"GEN-003","Pacific Power","Generation Unit","Environmental Monitor","192.168.124.187","da:23:95:11:36:86","DNP3","Siemens","EnvironmentalMonitor-3406","2.0.40","2025-10-20T20:36:14.716Z","SNMP","93","VLAN-53","Critical","true","true"
"GEN-004","Pacific Power","Generation Unit","Environmental Monitor","192.168.16.234","f7:33:db:47:ba:98","Profinet","ABB","EnvironmentalMonitor-5974","2.3.1","2025-10-22T13:43:19.954Z","Asset Inventory","80","VLAN-84","Medium","true","false"
"GEN-005","Pacific Power","Generation Unit","Protection Relay","192.168.135.206","f8:6a:68:55:57:f6","OPC UA","Rockwell","ProtectionRelay-4272","5.7.92","2025-10-22T19:21:36.126Z","Protocol Analysis","76","VLAN-29","High","true","false"
"GEN-006","Pacific Power","Generation Unit","Protection Relay","192.168.119.40","03:f0:ae:2b:7d:29","Modbus TCP","Emerson","ProtectionRelay-7614","2.9.36","2025-10-22T08:50:12.142Z","Network Scan","75","VLAN-49","Critical","false","true"
"GEN-007","Pacific Power","Generation Unit","RTU","192.168.1.159","de:c1:c9:6d:21:7d","Modbus TCP","Emerson","RTU-1918","4.5.77","2025-10-19T06:25:20.187Z","SNMP","77","VLAN-20","Critical","false","true"
"GEN-008","Pacific Power","Generation Unit","IED","192.168.81.144","bc:e1:ce:19:b6:a0","DNP3","Schneider","IED-3541","5.0.20","2025-10-21T16:28:12.587Z","Protocol Analysis","62","VLAN-32","High","true","true"
"GEN-009","Pacific Power","Generation Unit","DMS","192.168.83.30","5c:47:dd:99:a8:2c","DNP3","Emerson","DMS-9296","5.1.26","2025-10-18T22:46:51.914Z","SNMP","72","VLAN-85","High","true","true"
"GEN-010","Pacific Power","Generation Unit","IED","192.168.152.177","49:c5:88:06:15:78","Ethernet/IP","Siemens","IED-6257","2.4.73","2025-10-19T22:59:10.389Z","Protocol Analysis","79","VLAN-91","High","true","false"
"GEN-011","Pacific Power","Generation Unit","EMS","192.168.120.92","05:f2:37:df:05:20","Ethernet/IP","Emerson","EMS-7006","4.7.17","2025-10-22T12:30:05.832Z","Network Scan","60","VLAN-83","Medium","true","true"
"GEN-012","Pacific Power","Generation Unit","HMI","192.168.244.190","4e:66:10:50:1e:da","Modbus TCP","Rockwell","HMI-4168","2.9.21","2025-10-19T15:25:34.561Z","Asset Inventory","71","VLAN-96","Critical","false","true"
"GEN-013","Pacific Power","Generation Unit","RTU","192.168.153.157","f3:6b:bb:3a:83:b5","OPC UA","Rockwell","RTU-9877","4.5.97","2025-10-18T18:14:25.405Z","Protocol Analysis","63","VLAN-1","High","false","false"
"GEN-014","Pacific Power","Generation Unit","SCADA","192.168.134.142","7d:93:63:1e:7c:7c","DNP3","ABB","SCADA-5059","2.7.23","2025-10-23T14:43:49.847Z","Network Scan","86","VLAN-60","Critical","false","true"
"GEN-015","Pacific Power","Generation Unit","DMS","192.168.126.103","f9:04:fc:bd:88:18","Profinet","ABB","DMS-3251","5.3.51","2025-10-22T17:37:26.797Z","SNMP","90","VLAN-36","Low","true","false"
"GEN-016","Pacific Power","Generation Unit","Environmental Monitor","192.168.240.42","3a:e2:d9:71:b8:11","Ethernet/IP","Siemens","EnvironmentalMonitor-8073","5.8.88","2025-10-20T01:21:42.684Z","Asset Inventory","65","VLAN-60","Low","false","false"
"GEN-017","Pacific Power","Generation Unit","RTU","192.168.207.197","45:b5:81:78:a0:f7","DNP3","Rockwell","RTU-5459","5.6.49","2025-10-24T16:44:00.290Z","SNMP","66","VLAN-58","Critical","true","true"
