tag_id,plant,unit,device_type,ip_address,security_level,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"GEN-001","Pacific Power","Generation Unit","DMS","192.168.197.179","1","0","1","2025-10-14T03:58:59.918Z","false","true","Enterprise","false","true","37"
"GEN-002","Pacific Power","Generation Unit","Grid Controller","192.168.211.150","1","7","0","2025-10-02T22:46:15.180Z","false","false","None","true","true","31"
"GEN-003","Pacific Power","Generation Unit","Environmental Monitor","192.168.98.119","3","9","1","2025-09-30T14:05:35.852Z","false","false","None","true","false","31"
"GEN-004","Pacific Power","Generation Unit","Environmental Monitor","192.168.9.183","2","1","3","2025-10-08T19:46:17.887Z","true","true","Advanced","false","true","1"
"GEN-005","Pacific Power","Generation Unit","Protection Relay","192.168.215.14","4","8","0","2025-10-21T19:54:58.234Z","false","false","Enterprise","false","true","42"
"GEN-006","Pacific Power","Generation Unit","Protection Relay","192.168.144.249","2","0","3","2025-10-03T16:40:20.314Z","false","false","Advanced","false","false","57"
"GEN-007","Pacific Power","Generation Unit","RTU","192.168.50.94","4","9","0","2025-10-11T05:00:14.857Z","true","true","None","false","false","35"
"GEN-008","Pacific Power","Generation Unit","IED","192.168.65.154","4","6","1","2025-10-18T09:37:17.899Z","false","false","Advanced","true","false","67"
"GEN-009","Pacific Power","Generation Unit","DMS","192.168.84.1","2","7","3","2025-09-30T08:45:51.036Z","false","true","Basic","true","true","28"
"GEN-010","Pacific Power","Generation Unit","IED","192.168.60.109","4","8","2","2025-09-29T01:53:42.421Z","true","false","Enterprise","false","true","10"
"GEN-011","Pacific Power","Generation Unit","EMS","192.168.222.168","1","0","4","2025-10-01T12:35:44.128Z","false","true","Basic","false","false","62"
"GEN-012","Pacific Power","Generation Unit","HMI","192.168.127.13","4","3","0","2025-10-19T10:13:31.396Z","true","true","Advanced","false","true","5"
"GEN-013","Pacific Power","Generation Unit","RTU","192.168.94.53","4","2","3","2025-10-21T23:44:59.905Z","false","true","Basic","true","true","91"
